crop,month,n,price_median,price_p10,price_p90,volume_median
土豆,1,123,1.1,0.98,1.35,275.0
土豆,2,105,1.15,1.08,1.43,270.0
土豆,3,132,1.15,1.1,1.43,285.0
土豆,4,123,1.15,1.05,1.474,290.0
土豆,5,119,1.25,1.04,1.756,290.0
土豆,6,122,1.13,0.95,1.4250000000000003,302.5
土豆,7,130,1.03,0.798,1.25,300.0
土豆,8,130,1.05,0.74,1.28,305.0
土豆,9,115,1.03,0.81,1.35,304.0
土豆,10,97,0.98,0.83,1.35,302.0
土豆,11,105,1.1,0.9380000000000001,1.25,297.0
土豆,12,109,1.04,0.958,1.3,295.0
尖椒,1,123,4.13,3.022,6.1739999999999995,86.0
尖椒,2,105,4.15,2.88,6.08,86.0
尖椒,3,132,3.34,2.553,4.148000000000001,86.0
尖椒,4,123,2.73,1.83,3.4899999999999998,86.0
尖椒,5,119,1.95,1.696,2.43,84.0
尖椒,6,122,1.71,1.45,1.9680000000000002,86.0
尖椒,7,130,1.7,1.35,2.8100000000000005,84.0
尖椒,8,130,1.7,1.35,2.5820000000000003,86.0
尖椒,9,115,1.85,1.25,3.63,86.0
尖椒,10,97,2.18,1.268,3.52,86.0
尖椒,11,105,2.68,1.38,4.118,81.0
尖椒,12,109,3.08,1.25,4.08,86.0
甘蓝,1,123,1.13,0.75,2.103999999999999,110.0
甘蓝,2,105,1.33,1.0,1.9220000000000006,106.0
甘蓝,3,132,1.13,0.781,1.477,106.0
甘蓝,4,123,0.8,0.662,1.45,106.0
甘蓝,5,119,0.77,0.538,1.11,110.0
甘蓝,6,122,0.645,0.462,0.7990000000000002,108.0
甘蓝,7,130,0.675,0.448,0.9,106.0
甘蓝,8,130,0.85,0.69,1.6320000000000001,105.0
甘蓝,9,115,0.94,0.754,1.83,108.0
甘蓝,10,97,0.95,0.58,1.7880000000000003,108.0
甘蓝,11,105,1.0,0.56,2.4,106.0
甘蓝,12,109,0.96,0.65,1.884,106.0
芸豆,1,123,5.05,3.8,6.25,103.0
芸豆,2,105,5.58,4.33,6.7,97.0
芸豆,3,132,5.415,4.359999999999999,6.58,97.0
芸豆,4,123,4.73,4.2,6.18,97.0
芸豆,5,119,3.83,3.24,4.466,97.0
芸豆,6,122,3.63,2.5820000000000003,3.995,95.0
芸豆,7,130,3.48,2.8,3.9870000000000005,96.0
芸豆,8,130,3.525,2.88,4.437,96.0
芸豆,9,115,3.8,3.3,6.25,97.0
芸豆,10,97,3.85,3.11,5.178000000000001,98.0
芸豆,11,105,4.08,2.88,5.518000000000001,98.0
芸豆,12,109,4.3,3.7,5.33,101.0
芹菜,1,123,2.03,1.58,2.496,98.0
芹菜,2,105,2.0,1.22,2.88,94.0
芹菜,3,132,1.625,1.33,2.83,99.5
芹菜,4,123,1.55,1.156,2.246,100.0
芹菜,5,119,1.65,1.13,2.1100000000000003,98.0
芹菜,6,122,1.38,1.25,1.877,98.0
芹菜,7,130,1.53,1.28,1.8050000000000004,98.0
芹菜,8,130,1.615,1.33,2.2050000000000005,98.0
芹菜,9,115,1.6,1.2,3.6,98.0
芹菜,10,97,1.75,1.28,2.8400000000000003,97.0
芹菜,11,105,2.08,1.038,2.98,97.0
芹菜,12,109,1.95,1.18,2.33,97.0
茄子,1,123,2.83,2.2,3.4939999999999998,92.0
茄子,2,105,2.65,1.8,3.6600000000000006,93.0
茄子,3,132,2.48,1.832,3.145,95.0
茄子,4,123,2.1,1.63,2.8439999999999994,96.0
茄子,5,119,1.68,1.33,2.156,95.0
茄子,6,122,1.3,0.98,1.75,96.0
茄子,7,130,1.24,0.65,2.053,95.0
茄子,8,130,1.58,0.85,2.23,95.0
茄子,9,115,1.47,0.65,2.1800000000000006,98.0
茄子,10,97,1.8,0.8,2.53,98.0
茄子,11,105,2.03,1.35,3.340000000000001,96.0
茄子,12,109,2.65,1.84,3.98,96.0
西红柿,1,123,3.08,2.3,4.45,77.0
西红柿,2,105,3.03,2.5,4.268000000000001,74.0
西红柿,3,132,2.88,1.982,4.6240000000000006,75.0
西红柿,4,123,2.58,1.83,3.424,79.0
西红柿,5,119,2.2,1.67,2.7,77.0
西红柿,6,122,1.88,1.5,2.1,77.0
西红柿,7,130,1.71,1.398,1.95,77.0
西红柿,8,130,1.98,1.55,2.33,77.0
西红柿,9,115,2.0,1.68,2.592,77.0
西红柿,10,97,2.58,1.58,3.63,77.0
西红柿,11,105,2.93,1.97,3.53,76.0
西红柿,12,109,2.75,2.25,4.44,77.0
青椒,1,123,4.75,3.3440000000000003,5.95,71.0
青椒,2,105,4.83,3.15,6.672000000000001,69.0
青椒,3,132,3.83,2.75,5.195,69.0
青椒,4,123,2.83,2.1,3.68,71.0
青椒,5,119,2.1,1.85,2.53,71.0
青椒,6,122,1.78,1.5,2.13,71.0
