crop,variable,seasonal_range
土豆,price,0.26596560588502927
土豆,volume,0.13636640700240166
尖椒,price,0.997621744414965
尖椒,volume,0.058773938099953016
甘蓝,price,0.778614847079043
甘蓝,volume,0.12052942427142765
芸豆,price,0.5048581059749586
芸豆,volume,0.0815894853328587
芹菜,price,0.3453010744608942
芹菜,volume,0.05594959799227328
茄子,price,0.7709535442867734
茄子,volume,0.07481627351065434
西红柿,price,0.6432871967766277
西红柿,volume,0.08690555332925298
青椒,price,1.0787091430152995
青椒,volume,0.07909697974389485
韭菜,price,0.8819822342267746
韭菜,volume,0.11730964701463509
黄瓜,price,0.8485322929087029
黄瓜,volume,0.08971575315036728
