crop,variable,month,seasonal_index,n
土豆,price,1,0.9882791512168584,123
土豆,price,2,1.0727671427938958,105
土豆,price,3,1.0690533290478899,132
土豆,price,4,1.0790520583640608,123
土豆,price,5,1.152942281959238,119
土豆,price,6,1.0387758299289842,122
土豆,price,7,0.8869766760742088,130
土豆,price,8,0.9082421648277279,130
土豆,price,9,0.9324126446115316,115
土豆,price,10,0.9092463881077413,97
土豆,price,11,0.9795975160307812,105
土豆,price,12,0.9758839147900915,109
土豆,volume,1,0.9656608653275208,123
土豆,volume,2,0.9087274012849113,105
土豆,volume,3,0.931177333071785,132
土豆,volume,4,0.9627261506861493,123
土豆,volume,5,1.0041867751013656,119
土豆,volume,6,1.0347240250299323,122
土豆,volume,7,1.0432426805904478,130
土豆,volume,8,1.0387999741179712,130
土豆,volume,9,1.0420147275592353,115
土豆,volume,10,1.045093808287313,97
土豆,volume,11,1.0031525436126247,105
土豆,volume,12,1.02329999426249,109
尖椒,price,1,1.5932945947324408,123
尖椒,price,2,1.6321749168832063,105
尖椒,price,3,1.2829483382200118,132
尖椒,price,4,1.0468737243182125,123
尖椒,price,5,0.755154630966826,119
尖椒,price,6,0.6345531724682413,122
尖椒,price,7,0.6872899726953037,130
尖椒,price,8,0.7063198761594506,130
尖椒,price,9,0.8276295740534196,115
尖椒,price,10,0.8533050913751049,97
尖椒,price,11,0.9630401455722345,105
尖椒,price,12,1.0735446898814909,109
尖椒,volume,1,0.9916581668712792,123
尖椒,volume,2,0.980853243689463,105
尖椒,volume,3,0.9937443104517861,132
尖椒,volume,4,0.996404305317107,123
尖椒,volume,5,0.9877081034118271,119
尖椒,volume,6,0.9990209059061758,122
尖椒,volume,7,0.990980564336244,130
尖椒,volume,8,1.0081076255668877,130
尖椒,volume,9,1.039627181789416,115
尖椒,volume,10,1.0227497773250613,97
尖椒,volume,11,0.9997564350994175,105
尖椒,volume,12,0.9932744664961335,109
甘蓝,price,1,1.2455917046488447,123
甘蓝,price,2,1.3893464226790715,105
甘蓝,price,3,1.1086720027283992,132
甘蓝,price,4,0.9443958274788434,123
甘蓝,price,5,0.7813826481487013,119
甘蓝,price,6,0.6107315756000284,122
甘蓝,price,7,0.6585374330748219,130
甘蓝,price,8,0.9152252114195801,130
甘蓝,price,9,1.0208368120882976,115
甘蓝,price,10,1.0608027436641798,97
甘蓝,price,11,1.2305823604831634,105
甘蓝,price,12,1.1634612503978,109
甘蓝,volume,1,1.0586211885832129,123
甘蓝,volume,2,0.9725364693465842,105
甘蓝,volume,3,1.0086889735551543,132
甘蓝,volume,4,1.0355475556912384,123
甘蓝,volume,5,1.0268705534325222,119
甘蓝,volume,6,1.0280379156950836,122
甘蓝,volume,7,0.9880514818112743,130
甘蓝,volume,8,0.9380917643117852,130
甘蓝,volume,9,0.9567883317462963,115
甘蓝,volume,10,0.9986593082901333,97
甘蓝,volume,11,1.0035730531482812,105
甘蓝,volume,12,0.9803793161354695,109
芸豆,price,1,1.1469838914008754,123
芸豆,price,2,1.2646235903948084,105
芸豆,price,3,1.2946712185103744,132
芸豆,price,4,1.1462988817325488,123
芸豆,price,5,0.8805278878129146,119
芸豆,price,6,0.7898131125354158,122
芸豆,price,7,0.7924285836211713,130
芸豆,price,8,0.8329451253320287,130
芸豆,price,9,0.9629165613677884,115
芸豆,price,10,0.9152912523521393,97
芸豆,price,11,0.9777838584992529,105
芸豆,price,12,1.0056842142102407,109
芸豆,volume,1,1.0490815284835422,123
芸豆,volume,2,0.985322801813907,105
芸豆,volume,3,0.9997298290564957,132
芸豆,volume,4,1.0023151432207713,123
芸豆,volume,5,0.9948929952322093,119
芸豆,volume,6,0.9674920431506835,122
芸豆,volume,7,0.9703896920165461,130
芸豆,volume,8,0.9717990206564728,130
芸豆,volume,9,0.9963888443610762,115
芸豆,volume,10,1.0186808902152658,97
芸豆,volume,11,1.018075914339577,105
芸豆,volume,12,1.0371505958888347,109
芹菜,price,1,1.137442476810138,123
芹菜,price,2,1.1665567387670406,105
芹菜,price,3,1.0349583966159561,132
芹菜,price,4,0.8951148425927105,123
芹菜,price,5,0.8925282903781644,119
芹菜,price,6,0.8212556643061464,122
芹菜,price,7,0.847001442633952,130
芹菜,price,8,0.9854028738620134,130
芹菜,price,9,1.0692051171280939,115
芹菜,price,10,1.099461976738783,97
芹菜,price,11,1.115039873847228,105
芹菜,price,12,1.0054153952057383,109
芹菜,volume,1,1.0021725612186738,123
芹菜,volume,2,0.9690509091706696,105
芹菜,volume,3,0.99898368010032,132
芹菜,volume,4,1.0049820819212987,123
芹菜,volume,5,0.9920434266439853,119
芹菜,volume,6,1.008970815628569,122
芹菜,volume,7,0.9910539783837609,130
芹菜,volume,8,0.9885442882049884,130
芹菜,volume,9,1.0059564323235388,115
芹菜,volume,10,1.004964192311003,97
芹菜,volume,11,1.0250005071629429,105
芹菜,volume,12,1.0111636339475274,109
茄子,price,1,1.41176314412757,123
茄子,price,2,1.3502750893781723,105
茄子,price,3,1.2813409964024747,132
茄子,price,4,1.0923074708380707,123
茄子,price,5,0.8454800737246485,119
茄子,price,6,0.6561571775563368,122
茄子,price,7,0.6408095998407966,130
茄子,price,8,0.7628229369403512,130
茄子,price,9,0.7094436644380013,115
茄子,price,10,0.8590224849584778,97
茄子,price,11,1.1277366937472897,105
茄子,price,12,1.3268287058525536,109
