crop,variable,seasonal_strength,trend_strength
土豆,price,0.5111610949689929,0.6325499512791573
土豆,volume,0.11344120356088372,0.48725955534370047
尖椒,price,0.5010170311196048,0.09213603635477507
尖椒,volume,0.0,0.08772688227898873
甘蓝,price,0.13853386097831477,0.021646546037036418
甘蓝,volume,0.21735925592092487,0.42898387076918065
芸豆,price,0.48096763680250876,0.0097283830827527
芸豆,volume,0.133362775288696,0.1136298154396117
芹菜,price,0.0,0.02847737983821652
芹菜,volume,0.017119372950184286,0.12112663644132404
茄子,price,0.5715805728144018,0.15446933034029464
茄子,volume,0.010352281216329917,0.31872754319000063
西红柿,price,0.46753794994614584,0.14436135216436463
西红柿,volume,0.007097031506131168,0.3351360009201937
青椒,price,0.6478788052754589,0.0495922590354867
青椒,volume,0.0,0.05777292375930032
韭菜,price,0.6225799859180167,0.11767352516243856
韭菜,volume,0.09694127314376255,0.003618860013770986
黄瓜,price,0.4584623387570581,0.06819418928829046
黄瓜,volume,0.013824492846256198,0.16689097677730236
