outcome,exposure,crop,beta_raw,p_raw,r2,n
price,precipitation,土豆,0.0005877928090981858,0.9173655488656374,0.0026577550635328295,918
price,precipitation,尖椒,0.0008672265613788439,0.7965841532025859,0.004958022862111,918
price,precipitation,甘蓝,0.004180476049860686,0.24848488359834686,0.0013808277650936285,918
price,precipitation,芸豆,0.007569876071936823,0.10985153489611824,0.018113215748078892,918
price,precipitation,芹菜,-0.001017699391615736,0.7801258412758711,0.004563749009256934,918
price,precipitation,茄子,-0.005049397359790805,0.28113968563813607,0.010462452244832443,918
price,precipitation,西红柿,-0.0020151291093086065,0.5016773503872374,0.007786080726134514,918
price,precipitation,青椒,0.001303763185726642,0.7328211236638216,0.005207969692015091,918
price,precipitation,韭菜,-0.001512695648879645,0.7384940493893988,0.0004982122477313888,918
price,precipitation,黄瓜,0.00038718086727622825,0.9574840070109543,0.00889551133915023,918
price,temp_max,土豆,0.015653207987111548,0.19053336214388172,0.020874652810865424,918
price,temp_max,尖椒,0.0021616090953007062,0.7794246221855842,0.005876901217582664,918
price,temp_max,甘蓝,0.011250446815495252,0.23267673974048286,0.02068592549128745,918
price,temp_max,芸豆,0.015523465240922647,0.038080870046132254,0.05315921949789226,918
price,temp_max,芹菜,0.001763392732736082,0.8001966845178978,0.005031470997888143,918
price,temp_max,茄子,-0.014993344140529385,0.05021305257853018,0.0562911052240177,918
price,temp_max,西红柿,-0.01349951685153851,0.1351961266173022,0.04494598510132308,918
price,temp_max,青椒,0.003919044517742073,0.6049133111143191,0.008322496362465848,918
price,temp_max,韭菜,-0.00556167362124467,0.46242558104948084,0.005580013696032671,918
price,temp_max,黄瓜,-0.005554788319975791,0.6056814878745514,0.011834892034370825,918
price,vpd,土豆,0.2752044083850306,0.18555789420734348,0.027475258496719057,918
price,vpd,尖椒,-0.03126653091343043,0.7312331375624136,0.00579934362093848,918
price,vpd,甘蓝,0.06723959467566035,0.5631517428888342,0.003295989036101621,918
price,vpd,芸豆,0.16918398219195277,0.07464416251135884,0.034365607939180975,918
