outcome,cum_days,crop,beta_raw_per_mm,beta_per_sd,p_raw,n,x_sd,x_mean,q_fdr
price,1,土豆,0.0008689419406427415,0.007203815120610801,0.26457348940641046,916,8.290329633855931,2.5412765957446806,0.5276042248655172
price,1,尖椒,0.0005156180388296861,0.004274643507060425,0.3165625349193103,916,8.290329633855931,2.5412765957446806,0.5276042248655172
price,1,甘蓝,0.0012506135084225797,0.010367998229376247,0.0038916750578364737,916,8.290329633855931,2.5412765957446806,0.03891675057836474
price,1,芸豆,0.0007207133941879133,0.005974951609352948,0.5859252229731732,916,8.290329633855931,2.5412765957446806,0.6032882482646622
price,1,芹菜,0.0015001666302665011,0.012436875870620168,0.1512535447749129,916,8.290329633855931,2.5412765957446806,0.504178482583043
price,1,茄子,0.0012000809119505195,0.009949066347368243,0.010036643019174974,916,8.290329633855931,2.5412765957446806,0.05018321509587487
price,1,西红柿,0.00045628123327905146,0.0037827218296256513,0.496602801611814,916,8.290329633855931,2.5412765957446806,0.6032882482646622
price,1,青椒,0.00036418344420414473,0.003019200799645339,0.6032882482646622,916,8.290329633855931,2.5412765957446806,0.6032882482646622
price,1,韭菜,0.0005993029903979115,0.004968419340954282,0.5353044780996488,916,8.290329633855931,2.5412765957446806,0.6032882482646622
price,1,黄瓜,0.0012738040937650837,0.010560255826267673,0.30604241200023075,916,8.290329633855931,2.5412765957446806,0.5276042248655172
price,3,土豆,0.0003793777374402488,0.006463593985538939,0.5156558489993277,916,17.03735709203796,7.8221985815602855,0.6119758311422604
price,3,尖椒,0.0001594584246726922,0.0027167501224824937,0.6440043621811922,916,17.03735709203796,7.8221985815602855,0.6440043621811922
price,3,甘蓝,0.0006903768705525091,0.011762197271686765,0.01570290284977323,916,17.03735709203796,7.8221985815602855,0.06743054290827839
price,3,芸豆,0.00052785774729878,0.008993300934528051,0.49869488972772213,916,17.03735709203796,7.8221985815602855,0.6119758311422604
price,3,芹菜,0.0008149487907645025,0.013884573559979357,0.1122505048510717,916,17.03735709203796,7.8221985815602855,0.28062626212767927
price,3,茄子,0.00037117456840452326,0.006323833665390933,0.1861250507955211,916,17.03735709203796,7.8221985815602855,0.35649644862804936
price,3,西红柿,0.0002877398655490098,0.004902326838973472,0.21389786917682962,916,17.03735709203796,7.8221985815602855,0.35649644862804936
price,3,青椒,0.0002214650254372657,0.0037731787217719663,0.5507782480280343,916,17.03735709203796,7.8221985815602855,0.6119758311422604
price,3,韭菜,0.0014064763776396186,0.023962640287362218,0.0008742007197067989,916,17.03735709203796,7.8221985815602855,0.00874200719706799
price,3,黄瓜,0.0023211202468273397,0.03954575449875668,0.020229162872483518,916,17.03735709203796,7.8221985815602855,0.06743054290827839
price,7,土豆,0.00032010241113424173,0.009193460256063083,0.3491269692258061,916,28.720371781915787,18.064822695035463,0.5023694914573412
price,7,尖椒,0.0001739611991908507,0.00499623031638914,0.401895593165873,916,28.720371781915787,18.064822695035463,0.5023694914573412
price,7,甘蓝,0.0005068835550896553,0.014557884152314092,0.00901933707974401,916,28.720371781915787,18.064822695035463,0.030064456932480037
price,7,芸豆,0.00035497419483676123,0.010194990848697995,0.38838114109991295,916,28.720371781915787,18.064822695035463,0.5023694914573412
price,7,芹菜,0.00041703039606128965,0.011977268019239828,0.10097329988416859,916,28.720371781915787,18.064822695035463,0.25243324971042147
price,7,茄子,0.00021024768668251,0.006038391727809432,0.17340970302806102,916,28.720371781915787,18.064822695035463,0.34681940605612205
