outcome,exposure,crop,wald_F,df1,p_raw,n,ar_control,q_fdr
price,precip_7d,土豆,0.38840500064912353,5,0.8569534732697235,916,True,0.9521705258552484
price,precip_7d,尖椒,0.6223864334025296,5,0.682763782585539,916,True,0.8275924637400474
price,precip_7d,甘蓝,0.23451953736567582,5,0.9473682417272865,916,True,0.9842786927036743
price,precip_7d,芸豆,2.0911952278619657,5,0.06433577562719628,916,True,0.2859367805653168
price,precip_7d,芹菜,0.19576107439686272,5,0.9641710802445088,916,True,0.9888934156353937
price,precip_7d,茄子,0.8467326128625556,5,0.5166886223874734,916,True,0.7381266034106763
price,precip_7d,西红柿,1.7325787689162757,5,0.12449273818070583,916,True,0.4149757939356861
price,precip_7d,青椒,0.8012010549576469,5,0.5488706517674319,916,True,0.750439077705576
price,precip_7d,韭菜,4.40693854589107,5,0.0005696743331004006,916,True,0.0079801705062262
price,precip_7d,黄瓜,4.383831160393568,5,0.0005985127879669649,916,True,0.0079801705062262
price,temp_max,土豆,1.1676334163494146,5,0.32320802797011305,916,True,0.5927824017255019
price,temp_max,尖椒,0.5174145063538615,5,0.7632394949181511,916,True,0.8599881632880576
price,temp_max,甘蓝,0.3216609258067467,5,0.9000937906159573,916,True,0.9715944491058519
price,temp_max,芸豆,1.2107402639984106,5,0.302003900191842,916,True,0.5892759028133502
price,temp_max,芹菜,1.0274781851894037,5,0.40006036739565953,916,True,0.6400965878330552
price,temp_max,茄子,1.606845119175803,5,0.15557217449195193,916,True,0.4786836138213906
price,temp_max,西红柿,1.4076703260610577,5,0.21895286495644628,916,True,0.5473821623911157
price,temp_max,青椒,0.6056889201971267,5,0.6956079217851654,916,True,0.8305766230270631
price,temp_max,韭菜,1.3262449567143277,5,0.25063367749346943,916,True,0.5892759028133502
price,temp_max,黄瓜,0.7362570788598847,5,0.5963572665381213,916,True,0.7675213348474619
price,vpd,土豆,0.07394971169649886,5,0.9961087022156514,916,True,0.9961087022156514
price,vpd,尖椒,0.9358823105656581,5,0.45680368568605345,916,True,0.6767462010163755
price,vpd,甘蓝,0.36838717527282183,5,0.870400003868592,916,True,0.953863017938183
price,vpd,芸豆,0.9691412000776756,5,0.43561776132099317,916,True,0.6664797070652554
price,vpd,芹菜,0.30354745094210456,5,0.9108697960367361,916,True,0.9715944491058519
price,vpd,茄子,0.5463583224774023,5,0.7411904375215299,916,True,0.850594492644897
price,vpd,西红柿,1.4663096992582711,5,0.19830613029459554,916,True,0.5470513939161257
price,vpd,青椒,0.6998972520222774,5,0.6236110845635627,916,True,0.7675213348474619
price,vpd,韭菜,1.2218289274008776,5,0.29673126356424595,916,True,0.5892759028133502
price,vpd,黄瓜,0.24624572785782647,5,0.9417288631840821,916,True,0.9842786927036743
price,soil_moisture_0_7,土豆,1.111310322974496,5,0.3526297512848131,916,True,0.6041134975977406
price,soil_moisture_0_7,尖椒,1.4148350899890163,5,0.21633537907194011,916,True,0.5473821623911157
price,soil_moisture_0_7,甘蓝,1.2278871728382215,5,0.293881734031173,916,True,0.5892759028133502
price,soil_moisture_0_7,芸豆,1.4400524557263878,5,0.2073344145345688,916,True,0.5473821623911157
price,soil_moisture_0_7,芹菜,1.3435597269554844,5,0.24359326825408933,916,True,0.5892759028133502
price,soil_moisture_0_7,茄子,0.542330398823203,5,0.7442701810642849,916,True,0.850594492644897
price,soil_moisture_0_7,西红柿,0.7818635476587646,5,0.5628293082791821,916,True,0.750439077705576
price,soil_moisture_0_7,青椒,1.1302119356856988,5,0.3425376505882822,916,True,0.6041134975977406
price,soil_moisture_0_7,韭菜,2.614385477430297,5,0.02337830474183833,916,True,0.13359031281050474
