event,hazard,t0,crop,response,post_mean,n_post
0,heat,2025-06-23,土豆,price,-0.13638599915887095,10
0,heat,2025-06-23,土豆,volume,0.05152359968223981,10
0,heat,2025-06-23,尖椒,price,0.1065978403088885,10
0,heat,2025-06-23,尖椒,volume,-0.5058680696074465,10
0,heat,2025-06-23,甘蓝,price,-0.050296078185108194,10
0,heat,2025-06-23,甘蓝,volume,-0.08150096677008858,10
0,heat,2025-06-23,芸豆,price,0.16369371893451226,10
0,heat,2025-06-23,芸豆,volume,0.22387959669730537,10
0,heat,2025-06-23,芹菜,price,0.1763945998548873,10
0,heat,2025-06-23,芹菜,volume,-0.061828319618687885,10
0,heat,2025-06-23,茄子,price,0.45636915096843805,10
0,heat,2025-06-23,茄子,volume,0.07082152974504245,10
0,heat,2025-06-23,西红柿,price,-0.0323678036875263,10
0,heat,2025-06-23,西红柿,volume,0.06370190506167843,10
0,heat,2025-06-23,青椒,price,0.20694053409031019,10
0,heat,2025-06-23,青椒,volume,-0.17916160798597064,10
0,heat,2025-06-23,韭菜,price,-0.012988504489920888,10
0,heat,2025-06-23,韭菜,volume,0.9763253743423717,10
0,heat,2025-06-23,黄瓜,price,0.35410764872521244,10
0,heat,2025-06-23,黄瓜,volume,0.47214353163361666,10
4,rain,2023-08-04,土豆,price,0.28963426730465575,10
4,rain,2023-08-04,土豆,volume,0.6142683702376134,10
4,rain,2023-08-04,尖椒,price,0.022212552830883366,10
4,rain,2023-08-04,尖椒,volume,-0.11299910126296209,10
4,rain,2023-08-04,甘蓝,price,-0.24969923218174367,10
4,rain,2023-08-04,甘蓝,volume,0.04700284038164424,10
4,rain,2023-08-04,芸豆,price,-1.122631367399247,10
4,rain,2023-08-04,芸豆,volume,0.0817953873397013,10
4,rain,2023-08-04,芹菜,price,-0.27846832784105147,10
4,rain,2023-08-04,芹菜,volume,-0.8105130626377084,10
4,rain,2023-08-04,茄子,price,0.08494280299649756,10
4,rain,2023-08-04,茄子,volume,0.021680060126033473,10
4,rain,2023-08-04,西红柿,price,-0.33691311828042736,10
4,rain,2023-08-04,西红柿,volume,0.04480545759380254,10
4,rain,2023-08-04,青椒,price,0.005482314054858872,10
4,rain,2023-08-04,青椒,volume,0.04215567246728722,10
4,rain,2023-08-04,韭菜,price,0.7854337832079634,10
4,rain,2023-08-04,韭菜,volume,0.16708099670463097,10
4,rain,2023-08-04,黄瓜,price,0.12072008082877053,10
4,rain,2023-08-04,黄瓜,volume,-0.28415332138521154,10
5,rain,2024-07-23,土豆,price,0.6672640727679175,10
5,rain,2024-07-23,土豆,volume,-0.15007419398354244,10
5,rain,2024-07-23,尖椒,price,0.2932830355938411,10
5,rain,2024-07-23,尖椒,volume,0.05058680696074467,10
5,rain,2024-07-23,甘蓝,price,0.15738117721120554,10
5,rain,2024-07-23,甘蓝,volume,0.5317496917734088,10
5,rain,2024-07-23,芸豆,price,0.10216136189561806,10
5,rain,2024-07-23,芸豆,volume,-0.14051890822429064,10
5,rain,2024-07-23,芹菜,price,0.3285618160683893,10
5,rain,2024-07-23,芹菜,volume,0.12740381012335686,10
5,rain,2024-07-23,茄子,price,-0.09161390236985255,10
5,rain,2024-07-23,茄子,volume,-0.04336012025206683,10
5,rain,2024-07-23,西红柿,price,0.11836651563363776,10
5,rain,2024-07-23,西红柿,volume,0.5114888259364179,10
5,rain,2024-07-23,青椒,price,0.3260542774510176,10
5,rain,2024-07-23,青椒,volume,0.10791852151625525,10
5,rain,2024-07-23,韭菜,price,1.088613580617601,10
5,rain,2024-07-23,韭菜,volume,-0.37940105220558473,10
5,rain,2024-07-23,黄瓜,price,1.5097420465953113,10
5,rain,2024-07-23,黄瓜,volume,-0.39950606522844484,10
6,rain,2024-08-19,土豆,price,-0.8238422847892701,10
6,rain,2024-08-19,土豆,volume,0.005246039240373482,10
6,rain,2024-08-19,尖椒,price,0.8902207404837919,10
6,rain,2024-08-19,尖椒,volume,0.25480762024671383,10
6,rain,2024-08-19,甘蓝,price,0.34133320252300414,10
6,rain,2024-08-19,甘蓝,volume,5.551115123125783e-18,10
6,rain,2024-08-19,芸豆,price,1.1533133488400362,10
6,rain,2024-08-19,芸豆,volume,0.25668120568970426,10
6,rain,2024-08-19,芹菜,price,2.1852064565504543,10
6,rain,2024-08-19,芹菜,volume,0.04871322151775411,10
6,rain,2024-08-19,茄子,price,0.2196373234271119,10
6,rain,2024-08-19,茄子,volume,-0.3083386329035863,10
6,rain,2024-08-19,西红柿,price,0.08133565040747165,10
6,rain,2024-08-19,西红柿,volume,-1.3745871866740609,10
6,rain,2024-08-19,青椒,price,0.76872454570342,10
6,rain,2024-08-19,青椒,volume,0.1663743873375602,10
6,rain,2024-08-19,韭菜,price,0.3726218962747644,10
6,rain,2024-08-19,韭菜,volume,0.44966050631773,10
6,rain,2024-08-19,黄瓜,price,-1.3981775048182183,10
6,rain,2024-08-19,黄瓜,volume,0.15795766503981815,10
7,rain,2025-08-28,土豆,price,0.23068717572014652,10
7,rain,2025-08-28,土豆,volume,-0.13088332594605342,10
7,rain,2025-08-28,尖椒,price,0.35456247516142303,10
7,rain,2025-08-28,尖椒,volume,0.23125397467768982,10
7,rain,2025-08-28,甘蓝,price,0.3244533136102931,10
7,rain,2025-08-28,甘蓝,volume,-0.2515957594873014,10
7,rain,2025-08-28,芸豆,price,0.19990127234158,10
7,rain,2025-08-28,芸豆,volume,-0.9737438327689893,10
7,rain,2025-08-28,芹菜,price,0.11745100702937532,10
7,rain,2025-08-28,芹菜,volume,-0.07146390189692495,10
7,rain,2025-08-28,茄子,price,0.5160734981494499,10
7,rain,2025-08-28,茄子,volume,-0.1840396215143283,10
7,rain,2025-08-28,西红柿,price,0.34544116236576394,10
7,rain,2025-08-28,西红柿,volume,0.47642601264616646,10
7,rain,2025-08-28,青椒,price,0.1750291433193747,10
7,rain,2025-08-28,青椒,volume,-0.007226686708677843,10
7,rain,2025-08-28,韭菜,price,1.8030257811722805,10
7,rain,2025-08-28,韭菜,volume,-0.23703532404463204,10
7,rain,2025-08-28,黄瓜,price,2.8963846581545214,10
7,rain,2025-08-28,黄瓜,volume,0.13489815189531904,10
8,rain,2026-07-11,土豆,price,-0.20190924683033096,10
8,rain,2026-07-11,土豆,volume,-1.1118954813176198,10
