event,hazard,crop,response,trough_abs,recovery_day,censored
0,heat,土豆,price,1.1183651931027374,42,1
0,heat,土豆,volume,0.8665332673831259,42,1
0,heat,尖椒,price,0.4575217039806273,22,0
0,heat,尖椒,volume,1.8548495885606369,42,1
0,heat,甘蓝,price,0.2340366643873531,14,0
0,heat,甘蓝,volume,0.7915898496635041,42,1
0,heat,芸豆,price,0.7510195187249016,5,0
0,heat,芸豆,volume,1.31903584041406,42,1
0,heat,芹菜,price,0.24079042545100676,10,0
0,heat,芹菜,volume,0.7869058860560276,19,0
0,heat,茄子,price,0.5829268257304441,42,1
0,heat,茄子,volume,0.5901794145420208,14,0
0,heat,西红柿,price,0.7006563492838775,26,0
0,heat,西红柿,volume,1.0304719936447984,19,0
0,heat,青椒,price,0.8413003021428498,24,0
0,heat,青椒,volume,0.7693410225279914,3,0
0,heat,韭菜,price,0.6687940469810159,25,0
0,heat,韭菜,volume,1.6440712262242008,42,1
0,heat,黄瓜,price,0.8774625158005704,42,1
0,heat,黄瓜,volume,0.8093889113719143,4,0
4,rain,土豆,price,4.364351973083849,42,1
4,rain,土豆,volume,1.006068149639459,42,1
4,rain,尖椒,price,0.490400424371329,42,1
4,rain,尖椒,volume,2.185525253109227,42,1
4,rain,甘蓝,price,0.3344923562302299,4,0
4,rain,甘蓝,volume,0.45827769372103155,15,0
4,rain,芸豆,price,1.4978168523581035,18,0
4,rain,芸豆,volume,0.9314396202295838,42,1
4,rain,芹菜,price,0.615194868533598,42,1
4,rain,芹菜,volume,1.1878531708560034,21,0
4,rain,茄子,price,0.26474463929525194,15,0
4,rain,茄子,volume,1.2429901138925827,42,1
4,rain,西红柿,price,0.45785628894519603,1,0
4,rain,西红柿,volume,0.6979774912797977,9,0
4,rain,青椒,price,0.43913889348517254,42,1
4,rain,青椒,volume,0.3372453797382976,2,0
4,rain,韭菜,price,1.0833338686434595,22,0
4,rain,韭菜,volume,0.7708465822589659,17,0
4,rain,黄瓜,price,2.0757797250830734,42,1
4,rain,黄瓜,volume,1.864485170838874,42,1
5,rain,土豆,price,1.445337341735562,26,0
5,rain,土豆,volume,0.4603399433427762,15,0
5,rain,尖椒,price,1.364037116262936,42,1
5,rain,尖椒,volume,0.7588021044111696,42,1
5,rain,甘蓝,price,1.6402388923635385,42,1
5,rain,甘蓝,volume,1.074479465677832,42,1
5,rain,芸豆,price,3.251101903418568,42,1
5,rain,芸豆,volume,1.1522550474391835,42,1
5,rain,芹菜,price,3.609737223246748,42,1
5,rain,芹菜,volume,0.3934529430280139,4,0
5,rain,茄子,price,0.7448608583983662,42,1
5,rain,茄子,volume,0.7467576265633733,42,1
5,rain,西红柿,price,0.33724537973829793,28,0
5,rain,西红柿,volume,1.039839920859751,42,1
5,rain,青椒,price,1.1675041845648684,42,1
5,rain,青椒,volume,0.5733171455551059,4,0
5,rain,韭菜,price,2.2555551204002264,42,1
5,rain,韭菜,volume,1.7564863528036332,42,1
5,rain,黄瓜,price,2.790033095564996,28,0
5,rain,黄瓜,volume,1.0895619960775769,42,1
6,rain,土豆,price,2.192094968298935,42,1
6,rain,土豆,volume,0.8753391189651814,42,1
6,rain,尖椒,price,2.5065896676580612,42,1
6,rain,尖椒,volume,0.5246039240373519,12,0
6,rain,甘蓝,price,0.8686623417501607,42,1
6,rain,甘蓝,volume,0.5646899381664519,12,0
6,rain,芸豆,price,2.2031483384856156,42,1
6,rain,芸豆,volume,1.5550759176821498,42,1
6,rain,芹菜,price,3.2409662441383706,42,1
6,rain,芹菜,volume,0.48713221517754096,27,0
6,rain,茄子,price,0.8314588627318659,42,1
6,rain,茄子,volume,0.915380316432522,24,0
6,rain,西红柿,price,2.479745439252188,42,1
6,rain,西红柿,volume,1.6612457594516141,15,0
6,rain,青椒,price,2.6603232944776916,42,1
6,rain,青椒,volume,0.44966050631773014,1,0
6,rain,韭菜,price,0.7163946059434811,7,0
6,rain,韭菜,volume,1.1241512657943251,15,0
6,rain,黄瓜,price,2.3374989919420655,42,1
6,rain,黄瓜,volume,0.5626521207257753,15,0
7,rain,土豆,price,0.5242890357276053,8,0
7,rain,土豆,volume,1.3543346202188775,42,1
7,rain,尖椒,price,0.7243532132241158,42,1
7,rain,尖椒,volume,3.5458942783912435,42,1
7,rain,甘蓝,price,0.5581992492220099,14,0
7,rain,甘蓝,volume,1.3382753164218157,42,1
7,rain,芸豆,price,0.6040768889817858,2,0
7,rain,芸豆,volume,1.2304210773901039,17,0
7,rain,芹菜,price,0.6875761181260529,42,1
7,rain,芹菜,volume,0.762816930360435,42,1
7,rain,茄子,price,1.7033222866044886,42,1
7,rain,茄子,volume,1.1080919619972638,23,0
7,rain,西红柿,price,0.8516968703407259,26,0
7,rain,西红柿,volume,1.5095745569238082,23,0
7,rain,青椒,price,0.725258881157629,17,0
7,rain,青椒,volume,0.8672024050413367,42,1
7,rain,韭菜,price,2.285195526798117,19,0
7,rain,韭菜,volume,0.9250158987107591,42,1
7,rain,黄瓜,price,3.784047805811374,24,0
7,rain,黄瓜,volume,1.2140833670578715,42,1
8,rain,土豆,price,0.621933037958937,19,0
8,rain,土豆,volume,1.3692669553284258,27,0
8,rain,尖椒,price,0.6232045957375913,20,0
8,rain,尖椒,volume,1.6541082910973643,4,0
8,rain,甘蓝,price,0.5358736109124829,3,0
8,rain,甘蓝,volume,1.3128480854098015,42,1
8,rain,芸豆,price,0.8457899999785881,11,0
8,rain,芸豆,volume,0.7033975063113065,3,0
8,rain,芹菜,price,0.8084253531440904,23,0
8,rain,芹菜,volume,1.0774332911119637,11,0
8,rain,茄子,price,1.0047101938036782,42,1
8,rain,茄子,volume,1.9873388448863967,11,0
8,rain,西红柿,price,0.7754349547724125,42,1
8,rain,西红柿,volume,1.300803607562005,15,0
8,rain,青椒,price,0.7331072183358708,25,0
8,rain,青椒,volume,1.300803607562005,15,0
8,rain,韭菜,price,1.8445257504053818,18,0
8,rain,韭菜,volume,2.323245949308272,42,1
8,rain,黄瓜,price,3.5898419341480805,42,1
8,rain,黄瓜,volume,2.60160721512401,11,0
9,rain,土豆,price,0.3747170885981074,42,1
9,rain,土豆,volume,0.999902967996005,42,1
9,rain,尖椒,price,0.1776884258836191,42,1
9,rain,尖椒,volume,0.8618493037756494,13,0
9,rain,甘蓝,price,0.327384403722558,5,0
9,rain,甘蓝,volume,0.6276511234018316,42,1
9,rain,芸豆,price,0.8029651898530896,42,1
9,rain,芸豆,volume,1.154128632882174,42,1
9,rain,芹菜,price,0.35598123416820293,42,1
9,rain,芹菜,volume,0.4769126582157744,9,0
9,rain,茄子,price,0.50118410599997,2,0
9,rain,茄子,volume,1.0304719936447984,42,1
9,rain,西红柿,price,0.5192508227716646,2,0
9,rain,西红柿,volume,0.749434177196217,13,0
9,rain,青椒,price,0.7419398354242547,42,1
9,rain,青椒,volume,0.8805851582055548,9,0
9,rain,韭菜,price,0.9871118733927313,42,1
9,rain,韭菜,volume,1.6154470041785118,9,0
9,rain,黄瓜,price,2.4731327847475155,13,0
9,rain,黄瓜,volume,0.8805851582055548,5,0
