crop,test_year,model,rmse,mae,n_test
土豆,2025,baseline,0.1666013648873604,0.11509781004958944,250
土豆,2025,weather,0.1665547609560767,0.11396631931895819,250
土豆,2026,baseline,0.20316619318402945,0.13548937589066218,175
土豆,2026,weather,0.20265455874115812,0.13489799140211278,175
尖椒,2025,baseline,0.2277499365218846,0.15371913270993037,250
尖椒,2025,weather,0.2293474515214717,0.1534999852936147,250
尖椒,2026,baseline,0.13615330231663506,0.090421805132673,175
尖椒,2026,weather,0.13650527514158248,0.09041601608047338,175
甘蓝,2025,baseline,0.2665029082881312,0.14897650279054198,250
甘蓝,2025,weather,0.27006947961656097,0.15343326611427036,250
甘蓝,2026,baseline,0.1325390371262778,0.08306115143224005,175
甘蓝,2026,weather,0.13271907166327523,0.08343422364304007,175
芸豆,2025,baseline,0.2544966754780129,0.17658254545387625,250
芸豆,2025,weather,0.2547706472952893,0.17874093854528075,250
芸豆,2026,baseline,0.20558247529938867,0.15250564450431658,175
芸豆,2026,weather,0.21246388348549075,0.15376213599358218,175
芹菜,2025,baseline,0.24601645263274052,0.15269918900855145,250
芹菜,2025,weather,0.2491759543896554,0.15518833938079576,250
芹菜,2026,baseline,0.11888727969757454,0.07549192485476448,175
芹菜,2026,weather,0.1203024603655735,0.07786016763947091,175
茄子,2025,baseline,0.17486717974776236,0.11745711064930485,250
茄子,2025,weather,0.18009144916632075,0.12237692551822836,250
茄子,2026,baseline,0.19392831971793942,0.12669831449751925,175
茄子,2026,weather,0.19094775258243124,0.12586747138970886,175
西红柿,2025,baseline,0.28191570760986784,0.17492928101896899,250
西红柿,2025,weather,0.2819895634422119,0.17492237638909955,250
西红柿,2026,baseline,0.1592650424025522,0.11496107301510584,175
西红柿,2026,weather,0.15709235879659458,0.11443860495772774,175
青椒,2025,baseline,0.21868483458469015,0.1393330424828619,250
青椒,2025,weather,0.2214791360666811,0.1394166203158008,250
青椒,2026,baseline,0.1963782826857721,0.11328882269314941,175
青椒,2026,weather,0.19619753597430148,0.114511301882234,175
韭菜,2025,baseline,0.3087509216434281,0.199940068963025,250
韭菜,2025,weather,0.31937929924463776,0.21021637132873616,250
韭菜,2026,baseline,0.22323692656324357,0.15559110420361877,175
韭菜,2026,weather,0.2290675077116842,0.15804299542164468,175
黄瓜,2025,baseline,0.3316355633681114,0.2218870986653056,250
黄瓜,2025,weather,0.33449256596599874,0.2233686237705712,250
黄瓜,2026,baseline,0.30280172669480154,0.19368403491868963,175
黄瓜,2026,weather,0.3046778050039657,0.19563415422880473,175
