crop,outcome,exposure,beta,se_cluster,t,p_raw,n,n_clusters,r2,ci_low,ci_high,q_fdr
粮食,log_yield,growing_season_temp_mean,-0.15035142226531437,0.10757822056718272,-1.3976009407166177,0.1622329357172776,56,8,0.8328491783367337,-0.3612047345769925,0.06050189004636375,0.274136646098566
粮食,log_yield,growing_season_precip,0.0001947156186935992,0.00022603684516972803,0.8614330931197959,0.3889995561517041,56,8,0.8257746490233133,-0.0002483165978390677,0.0006377478352262661,0.8307660504101587
粮食,log_yield,max_1d_precip,0.0010153717879758106,0.0008033545482708608,1.2639149055187344,0.2062605712063874,56,8,0.8322237519419207,-0.0005592031266350766,0.002589946702586698,0.42791683981986184
粮食,log_yield,heavy_rain_days,0.036147552597991406,0.01326074943580267,2.7259057094010615,0.0064125314179414574,56,8,0.8580877739875068,0.010156483703818171,0.06213862149216464,0.036374786379416414
粮食,log_yield,vpd_mean,-0.7963623541526978,0.5040504489189512,-1.5799258900784134,0.11412383935271879,56,8,0.8310984893204969,-1.7843012340338422,0.19157652572844652,0.306901987148385
粮食,log_yield,et0_sum,-0.0016596842168840314,0.001125629572991714,-1.4744497272516568,0.1403605439756861,56,8,0.8301115900966911,-0.0038659181799477905,0.0005465497461797277,0.26528027220382494
谷物,log_yield,growing_season_temp_mean,-0.14646524174603687,0.10467773232190358,-1.3992015159024356,0.1617525621403576,56,8,0.8097538865211322,-0.3516335970969679,0.058703113604894164,0.274136646098566
谷物,log_yield,growing_season_precip,0.00021934756963561336,0.00022690478105891996,0.9666943491096196,0.3336968528579184,56,8,0.8040979878311115,-0.00022538580123986974,0.0006640809405110965,0.8307660504101587
谷物,log_yield,max_1d_precip,0.0010218038642962786,0.0007983989681753487,1.2798161132791752,0.20060981553485058,56,8,0.8098349933777491,-0.0005430581133274049,0.002586665841919962,0.42791683981986184
谷物,log_yield,heavy_rain_days,0.03562691262245443,0.013451371358183398,2.648571039619698,0.008083285862092537,56,8,0.8356566075293903,0.009262224760414974,0.06199160048449389,0.036374786379416414
谷物,log_yield,vpd_mean,-0.8085631610211468,0.5084653572091447,-1.5902030483633605,0.11178904361723922,56,8,0.8088218346097419,-1.8051552611510702,0.18802893910877672,0.306901987148385
谷物,log_yield,et0_sum,-0.0016124062935983386,0.001062010105502368,-1.5182588990861003,0.12894914459005286,56,8,0.8069916597466809,-0.00369394610038298,0.00046913351318630296,0.26528027220382494
稻谷,log_yield,growing_season_temp_mean,-0.16678417342070354,0.1220227867012021,-1.3668280976823526,0.17167919352176464,56,8,0.8009267059360344,-0.40594883535505966,0.07238048851365259,0.274136646098566
稻谷,log_yield,growing_season_precip,0.00032708461380616285,0.00022948025339684746,1.425327926758583,0.15406243111611484,56,8,0.7997064384271366,-0.00012269668285165813,0.0007768659104639838,0.8307660504101587
稻谷,log_yield,max_1d_precip,0.0010016463825328024,0.0008483670672193198,1.1806757018702811,0.23773157767770103,56,8,0.7990087282375036,-0.0006611530692170642,0.002664445834282669,0.42791683981986184
稻谷,log_yield,heavy_rain_days,0.018029475361350578,0.019933425577516317,0.9044845448785642,0.3657385258569429,56,8,0.7983514668320258,-0.0210400387705814,0.057098989493282556,0.4702352475303551
稻谷,log_yield,vpd_mean,-0.7634230316738391,0.509784295089165,-1.4975412915384354,0.13425246980500355,56,8,0.7981244010217083,-1.7626002500486024,0.2357541867009243,0.306901987148385
稻谷,log_yield,et0_sum,-0.0014191872662861812,0.0009846437029560852,-1.4413206137667003,0.14949412625810407,56,8,0.7967532318338506,-0.003349088924080108,0.0005107143915077457,0.26528027220382494
玉米,log_yield,growing_season_temp_mean,-0.16699299743669313,0.12136131108454282,-1.375998627110763,0.16882205831227348,56,8,0.7295249873572863,-0.40486116716239706,0.07087517228901077,0.274136646098566
玉米,log_yield,growing_season_precip,0.0001787340581623051,0.00028429117326131355,0.6287006948260652,0.5295450231524409,56,8,0.7205768432791269,-0.0003784766414298694,0.0007359447577544796,0.8307660504101587
玉米,log_yield,max_1d_precip,0.0010178871752218686,0.0007870942790182633,1.2932214124227552,0.19593449195028823,56,8,0.726769229767959,-0.0005248176116539273,0.0025605919620976646,0.42791683981986184
