crop,exposure,t_stat,p_wild_boot,n_clusters
粮食,growing_season_temp_mean,-1.3976009407166148,0.22408026755852842,8
粮食,growing_season_precip,0.8614330931197973,0.4180602006688963,8
粮食,max_1d_precip,1.2639149055187344,0.21739130434782608,8
粮食,heavy_rain_days,2.725905709401064,0.056856187290969896,8
谷物,growing_season_temp_mean,-1.3992015159024356,0.22408026755852842,8
谷物,growing_season_precip,0.9666943491096164,0.38127090301003347,8
谷物,max_1d_precip,1.2798161132791828,0.2508361204013378,8
谷物,heavy_rain_days,2.6485710396197,0.056856187290969896,8
稻谷,growing_season_temp_mean,-1.3668280976823526,0.2709030100334448,8
稻谷,growing_season_precip,1.425327926758583,0.13377926421404682,8
稻谷,max_1d_precip,1.1806757018702811,0.20735785953177258,8
稻谷,heavy_rain_days,0.9044845448785642,0.2909698996655518,8
玉米,growing_season_temp_mean,-1.3759986271107607,0.2842809364548495,8
玉米,growing_season_precip,0.6287006948260648,0.5785953177257525,8
玉米,max_1d_precip,1.2932214124227552,0.2140468227424749,8
玉米,heavy_rain_days,1.775631269130716,0.10367892976588629,8
豆类,growing_season_temp_mean,-1.3323117608704274,0.15719063545150502,8
豆类,growing_season_precip,0.4591152966433539,0.6923076923076923,8
豆类,max_1d_precip,0.03947338814501217,0.9966555183946488,8
豆类,heavy_rain_days,2.4163276599305425,0.056856187290969896,8
大豆,growing_season_temp_mean,-1.3812099324272784,0.14715719063545152,8
大豆,growing_season_precip,0.5272374152773451,0.6655518394648829,8
大豆,max_1d_precip,-0.09366165481689451,0.919732441471572,8
大豆,heavy_rain_days,2.389055879063841,0.056856187290969896,8
蔬菜及食用菌,growing_season_temp_mean,-0.6743731472070942,0.5451505016722408,8
蔬菜及食用菌,growing_season_precip,0.25163220408340947,0.7926421404682275,8
蔬菜及食用菌,max_1d_precip,1.6858519056030146,0.15384615384615385,8
蔬菜及食用菌,heavy_rain_days,1.477717435452871,0.14381270903010032,8
瓜果,growing_season_temp_mean,-0.3687385144885802,0.7324414715719063,8
瓜果,growing_season_precip,-0.9895567001294494,0.3411371237458194,8
瓜果,max_1d_precip,0.6637804497971336,0.5150501672240803,8
瓜果,heavy_rain_days,0.10119538408998364,0.9096989966555183,8
甜瓜,growing_season_temp_mean,-0.08121451027519339,0.919732441471572,8
甜瓜,growing_season_precip,-0.08768937624636944,0.9230769230769231,8
甜瓜,max_1d_precip,0.6768888439783711,0.44816053511705684,8
甜瓜,heavy_rain_days,0.3623538328144593,0.6889632107023411,8
