crop,response,pre_mean,event_mean(-2..2),post_3_14,post_15_28,post_29_42,trough_offset,trough_z,peak_offset,peak_z,recovery_offset,recovery_days
土豆,price,5.551115123125783e-17,0.08093889113719115,-0.19728854714690375,-0.20234722784297837,-0.3147623544224105,23,-0.45865371644408415,1,0.260803093664283,24.0,1.0
土豆,volume,-1.1102230246251565e-16,-0.5433397784672575,-0.7096204865326681,-0.6182831961868792,-0.35635595125680125,10,-0.8431134493457442,36,0.12365663923737569,18.0,8.0
尖椒,price,1.1102230246251566e-17,-0.15423355366698133,-0.5139619587211655,-0.6198570079589907,-0.30689329556185074,22,-0.7230540941589099,1,0.10656953999730218,29.0,7.0
尖椒,volume,6.661338147750939e-17,-1.0192304809868549,0.20796798417195025,0.48338504429155993,0.41593596834390045,1,-1.3939475695849632,22,1.41643059490085,2.0,1.0
甘蓝,price,-1.3877787807814457e-17,0.36347557594016516,0.3572302911301966,0.04871322151775405,-0.22607931012085883,42,-0.43592087973579957,1,0.6132869683389042,,
甘蓝,volume,1.1102230246251566e-17,-0.31226424049842366,-0.009367927214952696,-0.07494341771962167,-0.6520077341607087,35,-1.0866795569345147,15,0.1873585442990542,,
芸豆,price,-1.6653345369377347e-17,-0.46018827214024816,-0.6279187784651157,-0.34259848100398493,0.5433397784672569,4,-0.8473959303582934,32,0.8067123607390699,14.0,10.0
芸豆,volume,9.992007221626409e-17,-0.5823103556814605,-0.19728854714690403,0.10117361392148938,-0.053959260758127583,0,-0.7621745582085525,15,0.3170106569539999,2.0,2.0
芹菜,price,6.661338147750939e-17,0.12957322484681993,0.01863724466974813,-0.7605770800940034,-0.5351551683741936,25,-1.0330358474088912,3,0.4579437261709519,32.0,7.0
芹菜,volume,-1.1102230246251566e-17,-0.7475605917532263,-0.1152255047439184,0.3203831107513827,0.3203831107513827,0,-0.8599757183326588,11,0.7138360537793966,9.0,9.0
茄子,price,1.3877787807814457e-17,0.35255297144273096,0.24522044367141105,-0.4455944272712401,-0.5876680127780121,39,-0.9772940578799176,2,0.5008452660794294,,
茄子,volume,-2.7755575615628914e-17,-0.7229157370800431,-0.7834469590843529,0.42544801751600614,0.498085483921178,8,-1.1725762433977733,32,0.9027799396071351,11.0,3.0
西红柿,price,-8.326672684688674e-18,0.2313253493612323,-0.07531813480821983,-0.24281667341157406,-0.4534076772037109,42,-0.8678447771932185,2,0.3312499063207277,,
西红柿,volume,1.1102230246251566e-17,0.06905500632736568,0.24570734809504538,0.24570734809504535,0.10117361392148924,11,-0.28424967720799366,14,0.6793085506157137,16.0,5.0
青椒,price,-2.7755575615628915e-18,-0.28798711518258263,-0.514605790809757,-0.43473995315355085,-0.48563334682314857,30,-0.7621745582085527,1,-0.2471088873355162,32.0,2.0
青椒,volume,-1.1102230246251566e-17,-0.08618493037756496,1.3517918971176761,0.978011601241063,0.7306983227663115,0,-0.4609020189756734,7,1.5625702594541122,1.0,1.0
韭菜,price,2.2204460492503132e-17,0.07099902731332587,1.5320258862453588,0.6638409053795966,-0.4561687504881185,36,-0.7898641788607497,11,1.7128515339339856,38.0,2.0
韭菜,volume,-8.881784197001253e-17,-0.7616124825756555,-1.5555443140428977,-1.0791852151625525,-1.703089167678403,32,-2.8412923242951575,14,-0.1433292863887765,42.0,10.0
黄瓜,price,1.1102230246251566e-17,1.3048914303467125,3.4385889302926964,2.086541544250975,1.8368923670421051,42,-0.08496831645354508,7,3.839341556864829,,
黄瓜,volume,0.0,-1.2646701740186161,-1.5176042088223392,0.22764063132335094,-0.10117361392148924,2,-2.7822743828409555,18,0.7588021044111697,14.0,12.0
