crop,method,window,target,n_days,mean_gap_z,mean_gap_pct,ci_low_z,ci_high_z
土豆,A,during,volume,5,-0.064990201726307,-1.0123344979713775,-0.2041156550718431,-0.022079069171800813
土豆,A,during,price,5,-0.3331217750688257,-7.8083030204854165,-0.6460632006100981,-0.31593749524030457
尖椒,A,during,volume,5,-0.07539302190991423,-0.3912614981230943,-0.20200538777067967,-0.011349864596806081
尖椒,A,during,price,5,-0.3196447681614481,-13.183306603630573,-0.5573552360420205,-0.3087539816769559
甘蓝,A,during,volume,5,-0.11316276143492543,-1.3727054463007125,-0.1396698334414068,0.009245093852350603
甘蓝,A,during,price,5,-0.369431937557541,-22.753445465682802,-0.43222694563555886,-0.29894422017881617
芸豆,A,during,volume,5,-0.08487227252531214,-0.6525542858208089,-0.2505532936156068,-0.034860596035019085
芸豆,A,during,price,5,-0.30759993368050975,-7.790592359138124,-0.46848602944253104,-0.291348139489132
芹菜,A,during,volume,5,-0.07160331090285413,-0.6499534821096217,-0.1623109711920152,-0.00426318486537855
芹菜,A,during,price,5,-0.3450198529093019,-13.418833686056155,-0.5503855667321648,-0.3237072103281323
茄子,A,during,volume,5,-0.0926449776985998,-0.9431178936305677,-0.19606280750011082,-0.02173144307485078
茄子,A,during,price,5,-0.3929496130530719,-21.37303675330195,-0.41792514091428146,-0.3022723027188109
西红柿,A,during,volume,5,-0.04342676913184577,-0.5633207969484625,-0.1722691155785103,0.020520874760052463
西红柿,A,during,price,5,-0.335537785764574,-13.32504431717565,-0.47138212844719946,-0.3025933286106108
青椒,A,during,volume,5,-0.03860769188714226,-0.2476549270845862,-0.21640686452323998,-0.015489832650335256
青椒,A,during,price,5,-0.3893865549590072,-15.50680511835536,-0.4262227685661898,-0.28945796163130866
韭菜,A,during,volume,5,-0.18055184538318306,-1.3234196409764127,-0.18508533266453647,-0.008188660836550371
韭菜,A,during,price,5,-0.33905707896327186,-10.576094667174331,-0.6559646604949845,-0.3206469406684224
黄瓜,A,during,volume,5,-0.02972789502822591,-0.16951760449556819,-0.19172372469958132,0.019542039099355875
黄瓜,A,during,price,5,-0.43097139992399197,-15.104309814228378,-0.4256766275183952,-0.29846527272687534
POOLED,A,during,volume,5,-0.07949807476283097,-0.7325840073461213,,
POOLED,A,during,price,5,-0.3562720700041544,-14.083977180522872,,
土豆,A,post,volume,10,-0.037359847125093194,-0.5810415474443672,,
土豆,A,post,price,10,-0.6502846376581056,-15.55100401255443,,
尖椒,A,post,volume,10,-0.0493951965631339,-0.2561347186523014,,
尖椒,A,post,price,10,-0.4837224497400743,-19.632459151411474,,
甘蓝,A,post,volume,10,-0.08155000865034692,-1.0005907031136445,,
甘蓝,A,post,price,10,-0.5201233766485087,-31.579859085955366,,
芸豆,A,post,volume,10,-0.05683198347241562,-0.4385996026873822,,
芸豆,A,post,price,10,-0.4762337838902212,-12.00894458114197,,
芹菜,A,post,volume,10,-0.03574945682711218,-0.32450292668495834,,
芹菜,A,post,price,10,-0.6024941833624565,-23.136710089661488,,
茄子,A,post,volume,10,-0.06557014177150045,-0.6648868126290773,,
茄子,A,post,price,10,-0.5781961414650781,-34.45683602724027,,
西红柿,A,post,volume,10,-0.03040142692587839,-0.3934813270966767,,
西红柿,A,post,price,10,-0.49336050451355834,-18.942671120874678,,
青椒,A,post,volume,10,0.002440279155168494,0.016807562635296914,,
青椒,A,post,price,10,-0.5347731213564404,-20.275217347001906,,
韭菜,A,post,volume,10,-0.13121580340324007,-0.9542277344308093,,
韭菜,A,post,price,10,-0.6292570892105805,-20.01627019673171,,
黄瓜,A,post,volume,10,-0.03625053799001205,-0.20714703049154806,,
黄瓜,A,post,price,10,-0.6927186028544703,-24.00661963559519,,
POOLED,A,post,volume,10,-0.052188412357356426,-0.4803804840595468,,
POOLED,A,post,price,10,-0.5661163890699494,-21.960659124816843,,
土豆,B,during,volume,5,-0.025643912019767595,-0.39957705729444604,,
土豆,B,during,price,5,-0.3395972308852408,-7.96066427745586,,
尖椒,B,during,volume,5,-0.06472941188793864,-0.3355227413732308,,
尖椒,B,during,price,5,-0.32590306384972045,-13.44394762284088,,
甘蓝,B,during,volume,5,-0.10499476477271888,-1.2736246766075427,,
甘蓝,B,during,price,5,-0.3841382267325056,-23.66070373107092,,
芸豆,B,during,volume,5,-0.04733358849625356,-0.3632008560250065,,
芸豆,B,during,price,5,-0.3639616589746577,-9.21688366120896,,
芹菜,B,during,volume,5,-0.037365776982853774,-0.3391744956415041,,
芹菜,B,during,price,5,-0.3554575843180555,-13.825071491999594,,
茄子,B,during,volume,5,-0.04340689631462794,-0.4420790836866919,,
茄子,B,during,price,5,-0.41908553229608225,-22.793962750166536,,
西红柿,B,during,volume,5,-0.026651712686152174,-0.34763050586966576,,
西红柿,B,during,price,5,-0.34406342702323206,-13.663618845660107,,
青椒,B,during,volume,5,-0.040408477506009254,-0.25841556891058565,,
青椒,B,during,price,5,-0.4007620264761617,-15.962626551640648,,
韭菜,B,during,volume,5,-0.06347061804772516,-0.4682355475234382,,
韭菜,B,during,price,5,-0.3685486275432665,-11.502524368162208,,
黄瓜,B,during,volume,5,-0.02070732684949812,-0.11807954918102273,,
黄瓜,B,during,price,5,-0.44140630087867205,-15.471857374622498,,
POOLED,B,during,volume,5,-0.04747124855635451,-0.4345540082113134,,
POOLED,B,during,price,5,-0.3742923678977595,-14.750186067482819,,
