crop,weather_sensitivity_hazard,weather_sensitivity_effect,weather_sensitivity_sig,max_volume_shock_mean,max_price_shock_mean,peak_lag_days,recovery_days_median,volatility_volume_z,volatility_price_z,threshold_volume,threshold_price,fingerprint_cluster
土豆,precip_7d,0.0710654848709387,不显著,-0.21554787106014678,0.2825810670600557,13,1.0,1.028949684682806,1.0982889827466307,无支持(FDR p=0.76),无支持(FDR p=0.53),量平稳(-0.18)、价平稳(-0.22)
尖椒,soil_z,0.4319782969034734,不显著,-0.5383435506192826,0.3796112229724294,3,3.0,2.1476845717583477,1.4144264246757257,无支持(FDR p=0.71),无支持(FDR p=0.57),量平稳(-0.18)、价平稳(-0.22)
甘蓝,temp_min,-0.1161033432773143,不显著,-0.3378101793944317,0.27313114112793363,3,2.0,1.3998517698646205,1.437803887334504,无支持(FDR p=0.71),无支持(FDR p=0.53),量平稳(-0.18)、价平稳(-0.22)
芸豆,soil_z,0.1572057434732273,不显著,-0.5646257908612331,0.19907596821611023,14,3.0,1.1828509836600054,1.1846086016604382,无支持(FDR p=0.92),无支持(FDR p=0.80),量平稳(-0.18)、价平稳(-0.22)
芹菜,soil_z,0.272519968021706,不显著,-0.33972788045026003,0.6375711993665341,14,2.0,1.55981667502075,1.2867603448923859,无支持(FDR p=0.71),无支持(FDR p=0.63),量平稳(-0.18)、价平稳(-0.22)
茄子,soil_z,-0.1577064769587827,不显著,-0.5623004449836884,0.24348931903458165,0,3.0,1.4397237205004882,1.103864078459226,无支持(FDR p=0.87),无支持(FDR p=0.71),量平稳(-0.18)、价平稳(-0.22)
西红柿,soil_z,0.2121016631302168,不显著,-0.4916579169363075,0.25868427262918303,10,2.5,1.090094852189889,1.2143626425984453,无支持(FDR p=0.71),无支持(FDR p=0.47),量平稳(-0.18)、价平稳(-0.22)
青椒,soil_z,0.115011963961905,不显著,-0.6071978156491848,0.45860010550335417,10,1.0,1.6542720766242958,1.257394537751085,无支持(FDR p=0.73),无支持(FDR p=0.53),量平稳(-0.18)、价平稳(-0.22)
韭菜,temp_min,-0.1659404121230426,不显著,-0.44262870595200643,0.6769005284605732,8,2.0,1.6474090981104594,1.1845644883994684,无支持(FDR p=0.71),无支持(FDR p=0.29),量平稳(-0.18)、价平稳(-0.22)
黄瓜,soil_z,-0.1677341293332987,不显著,-0.7071614056387427,1.1215750754422953,12,1.0,1.8600414337485738,1.3809140410770808,无支持(FDR p=0.92),无支持(FDR p=0.29),价深谷(-1.18)；量平稳(-0.18)、价平稳(-0.22)
