crop,variable,unit,n_obs,mean,std,min,p05,p25,median,p75,p95,max,iqr,cv,p95_minus_p05_over_median,daily_log_change_std,annualized_vol_pct
土豆,price,元/500g,1410,1.121354609929078,0.19432347512436898,0.64,0.83,1.0,1.1,1.2,1.45,1.93,0.19999999999999996,0.17329350894331214,0.5636363636363636,0.024091223247898298,38.243631295966004
土豆,volume,unknown,1410,290.8829787234043,37.906703402880154,130.0,218.35000000000002,270.0,295.0,320.0,345.0,360.0,50.0,0.13031599019386075,0.42932203389830503,0.04512375846007887,71.63174586354936
尖椒,price,元/500g,1410,2.6759503546099292,1.201738206596145,1.08,1.28,1.75,2.4,3.3,5.1754999999999995,6.78,1.5499999999999998,0.4490883788355339,1.6231249999999997,0.046963503230642495,74.55225014679512
尖椒,volume,unknown,1410,85.64943262411347,6.871864059091123,46.0,79.0,81.0,86.0,86.0,98.0,117.0,5.0,0.08023245278517396,0.22093023255813954,0.048809304334518695,77.48236856112207
甘蓝,price,元/500g,1410,1.0359787234042552,0.46240683895652984,0.39,0.53,0.7,0.885,1.28,1.890999999999999,2.93,0.5800000000000001,0.4463478144001336,1.5378531073446315,0.05498106746846862,87.27973880305893
甘蓝,volume,unknown,1410,111.69614184397163,14.637005801396487,52.0,98.0,101.25,106.0,118.0,144.0,170.0,16.75,0.13104307418104846,0.4339622641509434,0.05263724499083226,83.55903596719352
芸豆,price,元/500g,1410,4.391368794326241,1.1370623369655062,2.43,2.88,3.6,4.13,5.08,6.38,10.13,1.48,0.25893118756835437,0.8474576271186441,0.044654603272347625,70.88698509172974
芸豆,volume,unknown,1410,97.70063829787233,8.235629005360382,48.0,86.0,93.0,97.0,102.0,111.0,133.0,9.0,0.08429452610382518,0.25773195876288657,0.047248567595856654,75.004775797597
芹菜,price,元/500g,1410,1.8080070921985816,0.5744287747553314,0.9,1.15,1.38,1.65,2.13,2.9,4.25,0.75,0.3177137839967274,1.0606060606060606,0.047105317975805944,74.77737407556181
芹菜,volume,unknown,1410,98.38787234042553,9.253284864229647,43.0,85.0,93.0,98.0,102.0,113.0,138.0,9.0,0.09404903921707904,0.2857142857142857,0.05227122458815817,82.9779965910427
茄子,price,元/500g,1410,2.0067163120567373,0.8101130205849285,0.58,0.85,1.4049999999999998,1.93,2.5,3.490999999999999,5.0,1.0950000000000002,0.40370081995029083,1.3683937823834194,0.0534780252523779,84.89373325477447
茄子,volume,unknown,1410,94.75787234042554,9.383736955263576,45.0,78.0,90.0,96.0,100.0,109.54999999999995,133.0,10.0,0.09902857381127893,0.32864583333333286,0.046572438647166606,73.93145436612976
西红柿,price,元/500g,1410,2.5237304964539007,0.8124322224669965,1.25,1.55,1.9,2.35,2.9225000000000003,4.25,5.18,1.0225000000000004,0.3219171871198398,1.148936170212766,0.03750503191200394,59.537392411622235
西红柿,volume,unknown,1410,78.58468085106382,9.194664308355797,32.0,66.0,71.0,77.0,82.0,94.0,111.0,11.0,0.11700326588819285,0.36363636363636365,0.05759368036820358,91.42713320592576
青椒,price,元/500g,1410,2.91531914893617,1.277191656841633,1.08,1.439,1.95,2.58,3.58,5.690999999999999,7.38,1.6300000000000001,0.43809668567768767,1.6480620155038754,0.0454263432998423,72.11208440545677
青椒,volume,unknown,1410,70.43794326241135,6.922455003515716,32.0,59.0,67.0,71.0,72.0,79.0,110.0,5.0,0.0982773585214807,0.28169014084507044,0.058954709179602716,93.58769946321934
韭菜,price,元/500g,1410,2.660127659574468,0.965660644583651,1.03,1.45,1.8,2.5149999999999997,3.38,4.33,6.13,1.5799999999999998,0.3630128956811511,1.1451292246520877,0.044347952147380534,70.40019152217707
韭菜,volume,unknown,1410,86.02052482269504,9.558521939557771,30.0,72.0,83.0,86.0,89.0,103.0,131.0,6.0,0.11111908418670702,0.36046511627906974,0.0622724297603403,98.85441760895878
黄瓜,price,元/500g,1410,2.3581205673758863,0.9685554862540587,0.85,1.18,1.55,2.15,2.9650000000000003,4.2,6.13,1.4150000000000003,0.4107319615688125,1.404651162790698,0.06332811855596716,100.53027161802237
黄瓜,volume,unknown,1410,102.39287943262411,9.174106698670846,43.0,86.0,99.0,103.0,107.0,112.0,140.0,8.0,0.08959711602511902,0.2524271844660194,0.0521260649329573,82.74756278220586
