offset,mean,count,ci_low,ci_high,group,response,n_units,analysis
-13,-0.04596104350019793,10,-0.04596104350019793,-0.04596104350019793,heat,price,1,primary
-12,-0.01616884182478529,10,-0.01616884182478529,-0.01616884182478529,heat,price,1,primary
-11,-0.02958170884652748,10,-0.02958170884652748,-0.02958170884652748,heat,price,1,primary
-10,0.009532374740739846,10,0.009532374740739846,0.009532374740739846,heat,price,1,primary
-7,-0.02584015799115492,10,-0.02584015799115492,-0.02584015799115492,heat,price,1,primary
-6,-0.03702143141368841,10,-0.03702143141368841,-0.03702143141368841,heat,price,1,primary
-5,0.012038690925983423,10,0.012038690925983423,0.012038690925983423,heat,price,1,primary
-4,0.062271801773171764,10,0.062271801773171764,0.062271801773171764,heat,price,1,primary
-3,0.070730316136459,10,0.070730316136459,0.070730316136459,heat,price,1,primary
0,0.0658283887721846,10,0.0658283887721846,0.0658283887721846,heat,price,1,primary
1,0.09993438132195048,10,0.09993438132195048,0.09993438132195048,heat,price,1,primary
2,0.10393749327691326,10,0.10393749327691326,0.10393749327691326,heat,price,1,primary
3,0.09822441076250217,10,0.09822441076250217,0.09822441076250217,heat,price,1,primary
4,0.09962081669250962,10,0.09962081669250962,0.09962081669250962,heat,price,1,primary
7,0.07558117425220758,10,0.07558117425220758,0.07558117425220758,heat,price,1,primary
8,0.09546918265742257,10,0.09546918265742257,0.09546918265742257,heat,price,1,primary
9,0.07219025829968732,10,0.07219025829968732,0.07219025829968732,heat,price,1,primary
10,0.07507961635176533,10,0.07507961635176533,0.07507961635176533,heat,price,1,primary
11,0.022833382493263877,10,0.022833382493263877,0.022833382493263877,heat,price,1,primary
14,0.024806200491615825,10,0.024806200491615825,0.024806200491615825,heat,price,1,primary
15,0.003757414464541997,10,0.003757414464541997,0.003757414464541997,heat,price,1,primary
16,-0.020972291347447915,10,-0.020972291347447915,-0.020972291347447915,heat,price,1,primary
17,-0.01687396617304724,10,-0.01687396617304724,-0.01687396617304724,heat,price,1,primary
21,-0.08586036470035104,10,-0.08586036470035104,-0.08586036470035104,heat,price,1,primary
-13,-0.2687865946105975,10,-0.2687865946105975,-0.2687865946105975,heat,volume,1,primary
-12,-0.29627720283774966,10,-0.29627720283774966,-0.29627720283774966,heat,volume,1,primary
-11,0.12213526535213663,10,0.12213526535213663,0.12213526535213663,heat,volume,1,primary
-10,0.11998245057285484,10,0.11998245057285484,0.11998245057285484,heat,volume,1,primary
-7,-0.03131131666587396,10,-0.03131131666587396,-0.03131131666587396,heat,volume,1,primary
-6,0.04300735336303482,10,0.04300735336303482,0.04300735336303482,heat,volume,1,primary
-5,-0.007490673662713781,10,-0.007490673662713781,-0.007490673662713781,heat,volume,1,primary
-4,0.1818533845603408,10,0.1818533845603408,0.1818533845603408,heat,volume,1,primary
-3,0.1368873339285678,10,0.1368873339285678,0.1368873339285678,heat,volume,1,primary
0,0.024891248642316587,10,0.024891248642316587,0.024891248642316587,heat,volume,1,primary
1,0.10358183724791936,10,0.10358183724791936,0.10358183724791936,heat,volume,1,primary
2,0.10358183724791936,10,0.10358183724791936,0.10358183724791936,heat,volume,1,primary
3,0.08859315370399504,10,0.08859315370399504,0.08859315370399504,heat,volume,1,primary
4,0.24810531240676484,10,0.24810531240676484,0.24810531240676484,heat,volume,1,primary
7,0.27396079152003433,10,0.27396079152003433,0.27396079152003433,heat,volume,1,primary
8,0.2889494750639586,10,0.2889494750639586,0.2889494750639586,heat,volume,1,primary
9,-0.12500479360500044,10,-0.12500479360500044,-0.12500479360500044,heat,volume,1,primary
10,-0.13849460879453232,10,-0.13849460879453232,-0.13849460879453232,heat,volume,1,primary
11,-0.0972757290487404,10,-0.0972757290487404,-0.0972757290487404,heat,volume,1,primary
14,0.247779785978446,10,0.247779785978446,0.247779785978446,heat,volume,1,primary
15,0.19253578091655346,10,0.19253578091655346,0.19253578091655346,heat,volume,1,primary
16,-0.012059749458013766,10,-0.012059749458013766,-0.012059749458013766,heat,volume,1,primary
17,0.3391566984804091,10,0.3391566984804091,0.3391566984804091,heat,volume,1,primary
21,-6.393616717823846e-05,10,-6.393616717823846e-05,-6.393616717823846e-05,heat,volume,1,primary
-14,-0.03773864953440587,60,-0.15058019179429477,0.08055944335142377,rain,price,8,primary
-13,0.050457989533950025,50,-0.1357835674315829,0.2948295055778884,rain,price,8,primary
-12,0.10014784195969702,40,-0.1439565941330283,0.354008445038658,rain,price,8,primary
-11,0.06441839329218799,60,-0.03982521994657336,0.19992951924613528,rain,price,8,primary
-10,0.058483389381334176,70,-0.062327898017324135,0.16074530614526095,rain,price,8,primary
-9,0.039305839657507204,50,-0.07456175873978134,0.163741661508552,rain,price,8,primary
-8,0.06753650974183441,40,-0.07424712770171041,0.17125905724461987,rain,price,8,primary
