offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
-14,-0.14323171073191734,6,-0.24388144355300997,-0.02796779560464121,rain,土豆,price,8,True
-13,0.09550025639893914,5,-0.15477154034418297,0.43909842574350844,rain,土豆,price,8,False
-12,0.24655140796738154,4,-0.0024928507605790533,0.604280120866066,rain,土豆,price,8,False
-11,0.20656860645894728,6,0.0339440582958946,0.4553457065805955,rain,土豆,price,8,True
-10,0.00818572867240631,7,-0.31956293283930437,0.32000282927673707,rain,土豆,price,8,False
-9,-0.1468026255561666,5,-0.5139749296973094,0.18946697132401288,rain,土豆,price,8,False
-8,0.08792460526935278,4,-0.03558107673371617,0.31526420766606944,rain,土豆,price,8,False
-7,0.06313200345153801,6,-0.04465049328203865,0.18177439959629477,rain,土豆,price,8,False
-6,-0.07318489738758406,6,-0.31160511638287713,0.14167932243414286,rain,土豆,price,8,False
-5,0.009108972601616406,5,-0.3585568330153908,0.33593084801619955,rain,土豆,price,8,False
-4,-0.01740754146075208,7,-0.267927736880084,0.20708349211322408,rain,土豆,price,8,False
-3,-0.01373655881150182,7,-0.26275611162983226,0.2141166407857946,rain,土豆,price,8,False
-2,-0.22722628069653528,4,-0.6266602849464035,0.20411272181810447,rain,土豆,price,8,False
-1,-0.09425683923242692,4,-0.529824277025684,0.3125130224482711,rain,土豆,price,8,False
0,-0.11275987914130141,6,-0.4192605497023418,0.1591933483412657,rain,土豆,price,8,False
1,-0.17170264915072436,5,-0.5318937056120645,0.17683365648796875,rain,土豆,price,8,False
2,-0.3803564413086482,4,-0.7162489342878633,-0.13562341077647652,rain,土豆,price,8,True
3,-0.31864938559476913,6,-0.5626097724479273,-0.10130102072031662,rain,土豆,price,8,True
4,-0.24796719588019092,6,-0.5902261147052337,0.08991850710700054,rain,土豆,price,8,False
5,0.009392633836179165,5,-0.4243979861138907,0.3637003436914549,rain,土豆,price,8,False
6,-0.013551864009103215,4,-0.44127741247665636,0.3534112598962438,rain,土豆,price,8,False
7,-0.06213820396511641,6,-0.39392283374085174,0.3003644855112671,rain,土豆,price,8,False
8,0.14531992941217373,6,-0.3779290300050943,0.676459772583681,rain,土豆,price,8,False
9,-0.023337993958481795,5,-0.6834388733776471,0.6192198000388744,rain,土豆,price,8,False
10,-0.02984055085202578,7,-0.5089522213768306,0.4509166352318083,rain,土豆,price,8,False
11,-0.056304814774957905,7,-0.3866330577007766,0.2952638989130026,rain,土豆,price,8,False
12,0.04793496294912767,5,-0.2909474620699832,0.38221143037007116,rain,土豆,price,8,False
13,0.2624001741588331,4,-0.04918161787850117,0.6118153601490558,rain,土豆,price,8,False
14,0.05467064983803255,6,-0.3257481668337926,0.46140233428197236,rain,土豆,price,8,False
15,0.16202080837333663,6,-0.26016651959851156,0.6240416221927566,rain,土豆,price,8,False
16,0.2081646409070334,5,-0.29899160005163866,0.7195157373924622,rain,土豆,price,8,False
17,0.08289337084000349,6,-0.41033334348695805,0.6013451635489865,rain,土豆,price,8,False
18,-0.08807160919125136,7,-0.4662106450023715,0.27909500099403006,rain,土豆,price,8,False
19,0.06635271963074521,4,-0.3252009018905002,0.5247480459945051,rain,土豆,price,8,False
20,0.025802811504043326,3,-0.4749539097981019,0.8775632462007321,rain,土豆,price,8,False
21,-0.09899770444671932,5,-0.6256262763194789,0.4873739681379267,rain,土豆,price,8,False
-14,-0.05650623212560513,6,-0.24989940287390713,0.14185229236696484,rain,土豆,volume,8,False
-13,-0.05338848179926829,5,-0.28954074442152816,0.22292645111233825,rain,土豆,volume,8,False
-12,0.09786791279395562,4,-0.39682539682539686,0.3082933688646985,rain,土豆,volume,8,False
-11,-0.06959273420323377,6,-0.3151889554155843,0.2138199590606802,rain,土豆,volume,8,False
