crop,response,o-7,o-6,o-5,o-4,o-3,o-2,o-1,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,cluster_label,n_obs_curve
土豆,price,0.06313200345153801,-0.07318489738758406,0.009108972601616406,-0.01740754146075208,-0.01373655881150182,-0.22722628069653528,-0.09425683923242692,-0.11275987914130141,-0.17170264915072436,-0.3803564413086482,-0.31864938559476913,-0.24796719588019092,0.009392633836179165,-0.013551864009103215,-0.06213820396511641,0.14531992941217373,-0.023337993958481795,-0.02984055085202578,-0.056304814774957905,0.04793496294912767,0.2624001741588331,0.05467064983803255,1,22
土豆,volume,0.0043291362157641495,0.07398402877778737,-0.056456692578195654,0.022588499956503156,-0.04030697748305456,-0.14689637983974424,0.0023848633367912625,0.12058254756248692,-0.1261373251728549,-0.18326135508736116,-0.0791477815928363,-0.05615584541043527,-0.10205111761022927,-0.07286480103987614,0.09519147920275305,0.021826526964241505,-0.0067459857590255416,0.005679552429485257,0.005695688221125816,0.009049595383382836,0.04369785742101556,0.1989340845131632,1,22
尖椒,price,-0.018058647751782175,0.002233597392607573,-0.02379371437403683,-0.043994094210522826,-0.020970095465824855,-0.030122144144806892,0.14666672874101283,0.16124855903914834,0.010465288499846124,0.045892663638633785,0.10797657842757198,0.15665546913993816,-0.012089735885769748,0.36337512347236867,0.3443184752237209,0.20378925779723178,0.18873039929813118,0.1890645671426708,0.10943862298523739,-0.09800214474435434,0.06167856227081271,0.15177305754038745,1,22
尖椒,volume,-0.123864815397708,-0.08389499261390991,-0.11191550379463511,-0.004996227847974742,-0.08886148101040861,0.20281562420372634,0.277915174043597,0.5506259440788871,0.981883677823243,0.6371751827370331,0.8494628222358783,0.41437464714140804,0.4938771227723068,-0.031226424049842355,-0.423638486276195,0.3376617320589621,0.045465673416570374,-0.31815265189067976,0.055672253163147487,0.2690468696134417,-0.3403680221432819,0.5974655801536507,1,22
甘蓝,price,0.13564572669115385,0.08053977325367673,-0.04872062568426839,-0.019774300101760695,-0.14421916388859804,-0.41533677388656925,-0.31850706527672124,-0.1797947870128841,-0.15908966793670545,-0.1981398534361427,-0.29589374597583423,-0.19043905727961677,-0.23201356853414062,-0.10424154407729555,-0.0873366514104243,0.1093634545434069,0.14082805378375746,-0.04665607530403365,-0.02785765403162729,-0.03847116989777779,0.11778367024154385,0.08637480575217071,1,22
甘蓝,volume,-0.13343545314407315,0.12845681276562834,-0.07793914701543196,-0.029765632814571945,-0.13206825506284953,-0.1550120682051074,-0.11193045389726893,-0.1171953013312787,0.20221238756244825,0.4878281183420803,0.2234741341715576,0.012865768969910318,0.032238961948593714,-0.3915251031803035,-0.19286452242070753,0.16233326307267357,0.1754766669022031,0.050052930700586376,0.01349786292623199,0.04558554550966535,0.05574820932975528,0.06766030643003525,1,22
芸豆,price,0.260162796584311,0.04553718508124501,0.08098882648182833,0.14231998307819246,-0.02058813209109037,-0.4571390315184219,-0.33314771940621396,-0.10308852546130054,-0.04899065200544719,-0.073319508999816,-0.26103242948093625,-0.32371769631458464,-0.7034238021351917,-0.7862565274517729,-0.3359354036155495,0.08591867951537946,0.024927917966409675,-0.5301469992322182,-0.4469667601102679,-0.7151516149252085,-0.8055191576389262,-0.493994776648173,1,22
芸豆,volume,0.1513579469722582,0.16247455393400204,-0.25828832564746956,0.06763940843710622,-0.12868855442712185,0.16450080189456967,0.08183404862662026,-0.11968741378037355,-0.2633844780524036,-0.011470506434308636,0.2415398596282031,0.1711208037931363,0.5740665797323024,-0.1336282773172921,0.3012447824115016,0.09714887482173196,0.21640328218861438,0.2825128932417931,0.08083182911187789,0.010492078480747225,-0.07742071402757578,-0.6655253061716182,1,22
芹菜,price,0.10918908045163256,0.07534779599798157,0.05563682195062358,-0.01631730374368018,-0.0786977221512569,-0.35347341473403815,-0.27464880678829146,-0.11180266059378376,0.11598315213230699,0.4530656379382303,0.22332596494038823,0.2287997217335435,-0.26034345034749723,-0.4079600173455562,0.3698947861614917,0.7437010583894553,0.8184153329239839,0.3395119933684069,0.23712711374551115,-0.26387215683047344,-0.2874067300581534,0.25777735791379425,1,22
芹菜,volume,0.11566267468061615,-0.2963387642330041,0.08955738417494793,0.43558184998897265,0.3274492044220899,-0.08670016637438732,-0.4981863692911851,-0.29465253733431257,0.17555495600821389,0.5032918896233345,0.19669524508995714,-0.033443500157381074,0.09420387607356455,-0.6724298154893056,-0.5232299613791588,0.3968878496734966,0.5684458234033306,0.11439577404773692,0.13955534999646704,0.2628265659427133,0.08075153259289244,-0.18036382531188955,1,22
茄子,price,0.08045250573346192,-0.0977693673120447,-0.08319423058856884,-0.1193474528687577,-0.22309412272825874,-0.3614825842810437,-0.40827857495929365,-0.3316929120581761,-0.18011504508878975,-0.25828310904855656,-0.3021649128762707,-0.15553200482886892,-0.3507732750298748,-0.03887000224943837,0.07448204636735394,0.210660326420273,0.1093158868457514,-0.1210416064859239,-0.13966321438020018,-0.2811867834514663,-0.02174625589797255,-0.0349393673641217,1,22
茄子,volume,0.06867411258346094,-0.019156109212528305,0.03102860959884795,0.039002723504286144,-0.0034397222450914334,-0.13068258464859037,-0.23988585046861055,-0.17849504393413748,0.2353700977739827,0.09066094658972029,-0.254776736970181,-0.1372761641883455,-0.16564699534204622,-0.19732869540639678,-0.17207132241531278,-0.1400078202753947,-0.35386276250894055,-0.07093239811256204,0.0025521524489382974,0.2514792508126952,0.15838488369852177,-0.07209186185309217,1,22
西红柿,price,-0.028928032158274903,0.028095204312056355,0.03898140628131297,0.023179739938974937,0.04389987537640405,0.11713956733757303,0.03899203157449334,-0.0023957411321465414,-0.07944324544841382,-0.15912807572275034,-0.22777422708593983,-0.33394623440969967,-0.28738621423945365,-0.35611154506118925,-0.23041680486964586,0.1491222765722335,0.10632494878355922,-0.1676646099413606,-0.19852298832875007,-0.18706648578039292,-0.3730058762825388,-0.28777716489614674,1,22
西红柿,volume,0.0128008192524322,-0.141186606876785,0.020697507022750798,-0.07056768913663729,-0.39409728867345045,-0.3432943841685242,-0.0901237768249948,-0.5187310539068348,0.08755228512150755,0.3377104088256685,-0.09311598775182794,-0.13932764173187479,0.1733676788310541,0.021213822273860747,-0.26215518343558436,0.16102738745611125,0.19012461259951513,-0.01594355840010962,0.1668019447160713,0.04264494592297112,0.3447828916817573,-0.07634385808299977,1,22
青椒,price,-0.03806153189861026,0.025585635934896895,-0.004095043440337687,0.018517499712055036,0.04545683818280758,-0.06369577962241926,0.14255517290557934,0.2589584756037892,0.00402764659855046,0.01816999377591144,0.3034707352947084,0.2217870881265094,-0.058046194804733074,0.31904372575393586,0.40053989332172385,0.2263710536949317,0.31405286677556105,0.29379845950477984,0.12802221742201278,-0.16863303141342323,0.1534890819833301,0.2558813502968576,1,22
青椒,volume,0.4419579883854357,0.12490569619936949,0.45565597973529987,0.45590579112769863,-0.3352825759408788,-0.03591038765731859,-0.7534936123226963,-0.32621204324068653,0.03747170885981084,0.14801324999625282,0.2883239820602113,0.13344091877299316,0.3984491708759888,0.0334122737333315,-0.17632520780144315,0.012490569619936923,-0.42118200758427393,-0.15434775316064936,0.17861514556509844,0.35348312024421574,0.0334122737333315,0.5356372605349629,1,22
韭菜,price,-0.03307933501177105,-0.038307863662406086,-0.026022341534231875,-0.09702955420138916,-0.00789210194934217,-0.17694857956191787,0.019946275229736354,0.08219379429266098,0.048274037848275345,-0.2879893996902228,-0.15663424251984845,0.21543009730161203,0.2573890990875912,0.6359988504743594,0.45588195580959373,0.5041227233931981,0.3206646397576292,0.26447458495928017,0.20685957882047687,0.29687425439850745,0.6568206163229204,0.1758088189633935,1,22
韭菜,volume,0.03934529430280139,0.04500508366183529,0.07349138900130396,0.13720667681614665,0.2531013192182759,-0.06979105775139768,-0.19930265149811893,0.1455151360722655,0.4254537823942922,0.5280700571068841,0.16984052040709252,0.33471603939026034,0.09687373532982584,-0.39134515940464953,-0.013739626581930656,0.7396056602265287,0.5004440397499886,0.20128329896642308,0.01606599517364376,0.29382503709699176,-0.6442791942083728,0.001873585442990544,1,22
