crop,response,metric,hazard_key,hazard_label,peak_lag,peak_effect,peak_se,peak_p,peak_fdr_p,peak_ci_low,peak_ci_high,sum_effect_0_14,n_lag_sig_within,n_lag_focus,corr_max_abs
土豆,price,pct,precip_1d,当日降水,11,0.48735168564526976,0.48792863901245503,0.31788308488276606,0.9993687142937572,-0.4689884468191421,1.4436918181096816,0.8407459656391092,0,15,0.02697620881288008
土豆,price,pct,precip_3d,3日累计降水,10,0.5662521094022182,0.8185174709535747,0.48906161452216046,0.9993687142937572,-1.0380421336667882,2.1705463524712245,1.9950209401994696,0,15,0.029310832767872927
土豆,price,pct,precip_7d,7日累计降水,9,0.3976701379125766,1.0645722628745162,0.7087397200572739,0.9993687142937572,-1.688891497321475,2.4842317731466284,3.8112851606927887,0,15,0.021079371460946048
土豆,price,pct,soil_z,土壤水分异常,5,1.4642781019279474,1.4433098216181375,0.31033091694524895,0.9993687142937572,-1.3646091484436018,4.293165352299496,19.961991084026394,0,15,0.07355462417205147
土豆,price,pct,temp_max,日最高气温,5,-0.22340133986232288,1.6603422036835909,0.8929665826355758,0.9993687142937572,-3.4776720590821606,3.030869379357515,-1.3016688487036672,0,15,0.011030859602356478
土豆,price,pct,temp_min,日最低气温,5,-0.8633888431614595,1.704538300552909,0.6124891402264243,0.9993687142937572,-4.2042839122451605,2.477506225922242,-11.452803324122733,0,15,0.04320728784488415
土豆,price,pct,vpd,饱和水汽压差VPD,0,0.6506820156395837,1.7910724541717402,0.7163868848786796,0.9993687142937572,-2.8598199945370273,4.161184025816195,2.860342685398629,0,15,0.03323140784602507
土豆,price,z,precip_1d,当日降水,1,-0.030170950098582727,0.035110075157766575,0.39016147448090543,0.9993687142937572,-0.09898669740780522,0.038644797210639764,-0.11780961356386128,0,15,0.028576582822119903
土豆,price,z,precip_3d,3日累计降水,0,-0.038099293606814785,0.04705772871122939,0.4181535360721953,0.9993687142937572,-0.13033244188082438,0.05413385466719481,-0.14943349075344953,0,15,0.03604741766063528
土豆,price,z,precip_7d,7日累计降水,0,-0.025335954778029163,0.05855305696066023,0.6652321462191266,0.9993687142937572,-0.14009994642092322,0.08942803686486489,-0.14246254231512384,0,15,0.02221402596440606
土豆,price,z,soil_z,土壤水分异常,5,0.06312206607491785,0.0771521526725063,0.41327130192831885,0.9993687142937572,-0.0880961531631945,0.2143402853130302,0.804656516825402,0,15,0.05742100455448735
土豆,price,z,temp_max,日最高气温,14,-0.0184499379041919,0.09418263878165012,0.8446921025485739,0.9993687142937572,-0.20304790991622612,0.16614803410784235,-0.12166120072594612,0,15,0.016218180363447958
土豆,price,z,temp_min,日最低气温,14,-0.057248287665555925,0.09420921448498079,0.5434051366368559,0.9993687142937572,-0.24189834805611826,0.1274017727250064,-0.7278787528812861,0,15,0.05142390434381031
土豆,price,z,vpd,饱和水汽压差VPD,0,0.04716448247649618,0.10524405723422516,0.6540493455976772,0.9993687142937572,-0.15911386970258512,0.2534428346555775,0.2818559777848956,0,15,0.043603685849802384
土豆,volume,pct,precip_1d,当日降水,14,0.43332887499603145,0.4428724591565585,0.3278514549312216,0.9993687142937572,-0.4347011449508231,1.301358894942886,3.4335755955515372,0,15,0.030595374492336985
土豆,volume,pct,precip_3d,3日累计降水,14,0.8057360285452664,0.6007305083834479,0.1798359293471833,0.9993687142937572,-0.37169576788629155,1.9831678249768243,5.9483032277599,0,15,0.05930861667220572
土豆,volume,pct,precip_7d,7日累计降水,13,1.0562419793087976,0.860746373791214,0.21977623045253036,0.9993687142937572,-0.6308209133219818,2.7433048719395767,9.2773938896209,0,15,0.0733387964236386
土豆,volume,pct,soil_z,土壤水分异常,0,-0.7882944945239293,1.1642090286224283,0.49833784349813093,0.9993687142937572,-3.0701441906238887,1.4935552015760298,-8.354227248832224,0,15,0.05143076464490849
土豆,volume,pct,temp_max,日最高气温,3,0.2836549132177899,1.2507743523355426,0.8205921393798639,0.9993687142937572,-2.1678628173598735,2.735172643795453,1.5449104958272906,0,15,0.02039037608816927
土豆,volume,pct,temp_min,日最低气温,3,0.7050646712536234,1.2490873192569851,0.5724384771646631,0.9993687142937572,-1.7431464744900675,3.1532758169973145,9.031545751881616,0,15,0.04901217968543715
土豆,volume,pct,vpd,饱和水汽压差VPD,3,0.24816468303130268,1.2398483072584778,0.8413575651632007,0.9993687142937572,-2.1819379991953136,2.678267365257919,0.6383288123068076,0,15,0.01778517664757366
