method,crop,response,hazard_key,hazard_label,window,lag_a,lag_b,effect,se,t,p_value,n,r2,p_joint_windows,fdr_p_within,fdr_p_joint,ci_low,ci_high
hist,土豆,price,precip_1d,当日降水,lag0-2,0,2,-0.058332255516114345,0.05928438030144331,-0.9839397024901383,0.32514516109290204,1400,0.0018780407655243359,,0.8804572182612304,,-0.17452964090694323,0.05786512987471454
hist,土豆,price,precip_1d,当日降水,lag3-6,3,6,0.02092930957077105,0.06527878710378973,0.3206142531033026,0.748502734989231,1400,0.0018780407655243359,,0.8804572182612304,,-0.10701711315265683,0.14887573229419893
hist,土豆,price,precip_1d,当日降水,lag7-13,7,13,0.010903670409884714,0.07250280514644492,0.1503896351025442,0.8804572182612304,1400,0.0018780407655243359,,0.8804572182612304,,-0.13120182767714733,0.15300916849691676
hist,土豆,price,precip_1d,当日降水,lag14-30,14,30,-0.03957061547273048,0.17503771091651354,-0.2260690868586838,0.821147687326016,1400,0.0018780407655243359,,0.8804572182612304,,-0.38264452886909706,0.30350329792363606
hist,土豆,price,precip_3d,3日累计降水,lag0-2,0,2,-0.037119406101746764,0.04509117635611511,-0.8232077559607237,0.410389859047535,1400,0.0013455360782606007,,0.8584350830027299,,-0.12549811175973238,0.05125929955623886
hist,土豆,price,precip_3d,3日累计降水,lag3-6,3,6,0.012597375753706785,0.0478181667770283,0.26344330204976674,0.7922089187404459,1400,0.0013455360782606007,,0.8584350830027299,,-0.08112623112926867,0.10632098263668224
hist,土豆,price,precip_3d,3日累计降水,lag7-13,7,13,0.009420584794016761,0.052815858631522015,0.17836659363508456,0.8584350830027299,1400,0.0013455360782606007,,0.8584350830027299,,-0.09409849812376639,0.11293966771179992
hist,土豆,price,precip_3d,3日累计降水,lag14-30,14,30,-0.02387497496923155,0.12019704708415496,-0.19863195934019648,0.8425506517815342,1400,0.0013455360782606007,,0.8584350830027299,,-0.2594611872541753,0.21171123731571218
hist,土豆,price,precip_7d,7日累计降水,lag0-2,0,2,-0.03269141023416703,0.06152271502352517,-0.5313713840760511,0.595161447365763,1400,0.0011449308583938445,,0.9043394538504272,,-0.15327593168027637,0.08789311121194229
hist,土豆,price,precip_7d,7日累计降水,lag3-6,3,6,0.0212083456824591,0.04263767461351812,0.4974085916902952,0.6189009480743621,1400,0.0011449308583938445,,0.9043394538504272,,-0.062361496560036415,0.10477818792495461
hist,土豆,price,precip_7d,7日累计降水,lag7-13,7,13,0.006758357912064857,0.056234642550401163,0.12018139718782021,0.9043394538504272,1400,0.0011449308583938445,,0.9043394538504272,,-0.10346154148672142,0.11697825731085114
hist,土豆,price,precip_7d,7日累计降水,lag14-30,14,30,-0.02886932302132368,0.10292023360525024,-0.2805019189137458,0.7790924534553232,1400,0.0011449308583938445,,0.9043394538504272,,-0.23059298088761415,0.17285433484496676
hist,土豆,price,temp_max,日最高气温,lag0-2,0,2,0.16919945388269844,0.14416848719339512,1.1736230099697549,0.24054606048536686,1400,0.0054568270908621486,,0.40779139266175524,,-0.11337078101635598,0.45176968878175283
hist,土豆,price,temp_max,日最高气温,lag3-6,3,6,-0.12707716550049059,0.08929712655450979,-1.4230823589034376,0.15471228167648765,1400,0.0054568270908621486,,0.40779139266175524,,-0.30209953354732977,0.0479452025463486
hist,土豆,price,temp_max,日最高气温,lag7-13,7,13,0.1380798955820102,0.14152439049671736,0.975661475010648,0.3292322493921709,1400,0.0054568270908621486,,0.40779139266175524,,-0.1393079097915558,0.41546770095557617
hist,土豆,price,temp_max,日最高气温,lag14-30,14,30,-0.1985642735766286,0.23987376140327937,-0.8277865507882679,0.40779139266175524,1400,0.0054568270908621486,,0.40779139266175524,,-0.6687168459270562,0.271588298773799
hist,土豆,price,temp_min,日最低气温,lag0-2,0,2,0.1677658552379811,0.16384763303010838,1.0239138163634791,0.3058759837414816,1400,0.007115767453404032,,0.4177337198641551,,-0.1533755055010313,0.4889072159769935
hist,土豆,price,temp_min,日最低气温,lag3-6,3,6,-0.18963215030932118,0.11102586056925953,-1.7079998239781795,0.08763637513760783,1400,0.007115767453404032,,0.3505455005504313,,-0.40724283702506986,0.0279785364064275
hist,土豆,price,temp_min,日最低气温,lag7-13,7,13,0.16902985077205518,0.16763492742879,1.0083211975252457,0.3133002898981163,1400,0.007115767453404032,,0.4177337198641551,,-0.15953460698837318,0.49759430853248354
hist,土豆,price,temp_min,日最低气温,lag14-30,14,30,-0.20860152124784206,0.263323082317349,-0.7921885138669379,0.42825076494595216,1400,0.007115767453404032,,0.42825076494595216,,-0.7247147625898461,0.30751172009416206
hist,土豆,price,vpd,饱和水汽压差VPD,lag0-2,0,2,0.11770673904814263,0.11559858322121311,1.0182368656101546,0.30856540366338814,1400,0.006181220902761075,,0.5730894961391068,,-0.10886648406543506,0.3442799621617203
hist,土豆,price,vpd,饱和水汽压差VPD,lag3-6,3,6,-0.03961995411273465,0.0785399642335946,-0.5044559734569837,0.6139409929727131,1400,0.006181220902761075,,0.6139409929727131,,-0.19355828401058006,0.11431837578511078
hist,土豆,price,vpd,饱和水汽压差VPD,lag7-13,7,13,0.09303824614918069,0.11784382520280892,0.7895046345369569,0.4298171221043301,1400,0.006181220902761075,,0.5730894961391068,,-0.1379356512483248,0.32401214354668617
hist,土豆,price,vpd,饱和水汽压差VPD,lag14-30,14,30,-0.16590391897967827,0.2042561896098745,-0.8122344752271726,0.4166571009334127,1400,0.006181220902761075,,0.5730894961391068,,-0.5662460506150322,0.23443821265567572
hist,土豆,price,soil_z,土壤水分异常,lag0-2,0,2,-0.004936124236309085,0.07829590109602548,-0.06304447828316337,0.9497310861940252,1400,0.008026686113356551,,0.9497310861940252,,-0.15839609038451904,0.14852384191190085
hist,土豆,price,soil_z,土壤水分异常,lag3-6,3,6,0.04127832418823092,0.0542352127402902,0.7610982257209092,0.4465984001614316,1400,0.008026686113356551,,0.8931968003228632,,-0.06502269278273787,0.1475793411591997
