crop,lead_k,direction,effect,se,t,p_value,n,r2,fdr_p,fdr_p_within,ci_low,ci_high
土豆,-14,价格领先成交量,-0.15057240107409067,0.09209795515764095,-1.6349157895673252,0.10206670200061961,1396,0.020038972215142503,0.2294522758153464,0.34300059714070275,-0.3310843931830669,0.029939591034885582
土豆,-13,价格领先成交量,-0.14694995610036796,0.0921684837999455,-1.5943623030549936,0.11085491057563664,1397,0.019088355148944358,0.24354487929495924,0.34300059714070275,-0.3276001843482611,0.03370027214752522
土豆,-12,价格领先成交量,-0.1436825016219041,0.0920602680600686,-1.5607438979881354,0.11858418922093909,1398,0.01827718887260177,0.25663742443337567,0.34300059714070275,-0.32412062701963856,0.03675562377583036
土豆,-11,价格领先成交量,-0.14026054886917225,0.0920574079319521,-1.5236204453296296,0.12760355282700722,1399,0.01743457343899424,0.27010971036373793,0.34300059714070275,-0.32069306841579837,0.04017197067745387
土豆,-10,价格领先成交量,-0.13758858219069253,0.09213918077693439,-1.4932689983839718,0.1353667872219616,1400,0.016801004755854443,0.28241991578682635,0.34300059714070275,-0.31818137651348394,0.043004212132098874
土豆,-9,价格领先成交量,-0.13484601145624728,0.09226876214181964,-1.4614481469794212,0.1438924958249808,1401,0.016155684229390177,0.2959491048882584,0.34300059714070275,-0.31569278525421374,0.04600076234171921
土豆,-8,价格领先成交量,-0.1336493772576016,0.0923552913830737,-1.4471220355230887,0.14786274741925917,1402,0.0158800185879171,0.3019732165604589,0.34300059714070275,-0.3146657483684261,0.04736699385322288
土豆,-7,价格领先成交量,-0.13319580196372904,0.09252558852021942,-1.4395563875243231,0.14999294597083665,1403,0.015774203381771823,0.3020691273023794,0.34300059714070275,-0.31454595546335906,0.048154351535901
土豆,-6,价格领先成交量,-0.13219794394265363,0.0926822474709294,-1.4263566923549051,0.1537654078539912,1404,0.015547925882137825,0.30542444025792775,0.34300059714070275,-0.31385514898567524,0.049459261100367996
土豆,-5,价格领先成交量,-0.1318967665830983,0.09281979540822574,-1.4209982472274392,0.15531726900266868,1405,0.015495094019771338,0.3064082177603668,0.34300059714070275,-0.3138235655832208,0.05003003241702417
土豆,-4,价格领先成交量,-0.1302016128436986,0.09292160916189847,-1.4011984297091404,0.16115474375995054,1406,0.015121955070291127,0.3157761870972004,0.34300059714070275,-0.3123279668010196,0.051924741113622386
土豆,-3,价格领先成交量,-0.1273582000787153,0.09317089357253952,-1.366931186288975,0.17164687574164772,1407,0.014494079677979554,0.33185062643385227,0.34300059714070275,-0.3099731514808928,0.05525675132346217
土豆,-2,价格领先成交量,-0.12446728038371788,0.09319256960607972,-1.3355923214676317,0.18168256126632765,1408,0.01385627181835436,0.34892677329294713,0.34300059714070275,-0.3071247168116341,0.05819015604419836
土豆,-1,价格领先成交量,-0.12248909967402724,0.09324938418449616,-1.3135647033516018,0.18899273337688272,1409,0.013427383676060778,0.3535993076083612,0.34300059714070275,-0.30525789267563974,0.06027969332758523
土豆,0,同日,-0.12231389852822548,0.09347140310090736,-1.308570262887582,0.19067995945836624,1410,0.013381948392685472,0.35446915540337315,0.34300059714070275,-0.3055178486060039,0.060890051549552945
土豆,1,成交量领先价格,-0.11807135570531632,0.09329890479265474,-1.2655170601167858,0.20568603674585917,1409,0.012501413965154029,0.37049037674719976,0.34300059714070275,-0.30093720909891963,0.06479449768828696
土豆,2,成交量领先价格,-0.11171161118168846,0.09307282060451325,-1.2002602957137778,0.23003826463556443,1408,0.011196926827452325,0.40677498014825414,0.34300059714070275,-0.29413433956653445,0.07071111720315751
土豆,3,成交量领先价格,-0.10764278015935995,0.0930268855668405,-1.1571147362771574,0.24722548677609202,1407,0.010389278035956462,0.4217375950886275,0.34300059714070275,-0.2899754758703673,0.0746899155516474
土豆,4,成交量领先价格,-0.10673315338337429,0.09309863169716887,-1.1464524390708102,0.25160799568786074,1406,0.010200421265995518,0.42209747883653886,0.34300059714070275,-0.28920647150982526,0.0757401647430767
土豆,5,成交量领先价格,-0.10710515307699543,0.09319018765556142,-1.1493179246817795,0.25042490955147667,1405,0.010249856009370117,0.42209747883653886,0.34300059714070275,-0.28975792088189584,0.07554761472790496
土豆,6,成交量领先价格,-0.10352152488207075,0.09300396172121753,-1.1130872595769628,0.2656709549063736,1404,0.009579206410198049,0.4309499586764503,0.34300059714070275,-0.2858092898556571,0.07876624009151559
土豆,7,成交量领先价格,-0.09876838499614884,0.09270601588868307,-1.0653934812034762,0.28669790548172136,1403,0.008738636348020079,0.4338544936322183,0.34300059714070275,-0.28047217613796765,0.08293540614566997
土豆,8,成交量领先价格,-0.09707403482857807,0.09262804259666303,-1.0479983394583274,0.2946393719435735,1402,0.008457073546054628,0.4375007616590596,0.34300059714070275,-0.2786249983180376,0.08447692866088147
土豆,9,成交量领先价格,-0.09701246448357456,0.09277094548765048,-1.0457203381255686,0.29569016994888164,1401,0.008443750156690077,0.4375007616590596,0.34300059714070275,-0.27884351763936954,0.08481858867222039
土豆,10,成交量领先价格,-0.09791975984811502,0.09291327410334072,-1.0538834283162377,0.2919362908529928,1400,0.008593272732642099,0.4363996100379789,0.34300059714070275,-0.2800297770906628,0.08419025739443278
土豆,11,成交量领先价格,-0.09408830308421817,0.09284881185164218,-1.0133495648232582,0.3108932206569477,1399,0.007948920196695797,0.4463318514381922,0.346765515348134,-0.27607197431343683,0.08789536814500049
土豆,12,成交量领先价格,-0.08981641201899193,0.09278573135075555,-0.9679981039267905,0.3330453166423547,1398,0.0072632162931843824,0.46434202801097535,0.3558339567244785,-0.2716764454664728,0.09204362142848893
土豆,13,成交量领先价格,-0.08697506724346879,0.09287609896156244,-0.9364633981823909,0.3490346492809445,1397,0.006820852081776407,0.4797158686799712,0.3558339567244785,-0.2690122212081312,0.0950620867211936
土豆,14,成交量领先价格,-0.08587408691393754,0.09300451031808273,-0.9233324988244271,0.3558339567244785,1396,0.006648197788256649,0.4844687673713557,0.3558339567244785,-0.26816292713737966,0.0964147533095046
尖椒,-14,价格领先成交量,0.06778858584388174,0.0524834849609896,1.2916174658422217,0.1964896524162708,1396,0.015434067307577237,0.3606455645615097,0.6956136271961373,-0.03507904467965786,0.17065621636742134
尖椒,-13,价格领先成交量,0.06103609840641676,0.05326099987950856,1.1459810845552594,0.2518029787542111,1397,0.013448117584514363,0.42209747883653886,0.6956136271961373,-0.04335546135742002,0.16542765817025354
尖椒,-12,价格领先成交量,0.054846891629916704,0.0539764464143205,1.0161263898129698,0.3095692037055834,1398,0.011810769504159269,0.4463318514381922,0.6956136271961373,-0.050946943342151475,0.1606407266019849
尖椒,-11,价格领先成交量,0.0467296019417768,0.0547621517825055,0.8533193167311807,0.39348225079285004,1399,0.009921577232787304,0.5210495558444133,0.6956136271961373,-0.06060421555193398,0.15406341943548757
尖椒,-10,价格领先成交量,0.03499220749582537,0.0550482806388986,0.6356639497128805,0.5249954782279277,1400,0.007722129259141841,0.6343695361920793,0.7249937556480907,-0.07290242255641588,0.14288683754806664
尖椒,-9,价格领先成交量,0.025899280225357268,0.0559481973512359,0.46291536549005813,0.64342503325128,1401,0.006453141631398873,0.7346191324522489,0.77747191517863,-0.0837591865830651,0.13555774703377962
尖椒,-8,价格领先成交量,0.01657489948420181,0.05725142996720789,0.2895106636409864,0.772190620725127,1402,0.005545203298586765,0.8110464806766435,0.8612895385011032,-0.09563790325152566,0.12878770221992927
尖椒,-7,价格领先成交量,0.0067640382711013055,0.05862587625810728,0.11537632702190813,0.9081468419409199,1403,0.005020624677522734,0.92084819637366,0.9405806577245241,-0.10814267919478895,0.12167075573699157
尖椒,-6,价格领先成交量,-0.0019204188447911625,0.05978728312905374,-0.03212085822073309,0.9743756695368532,1404,0.004924248465472125,0.9743756695368532,0.9743756695368532,-0.11910349377773648,0.11526265608815416
尖椒,-5,价格领先成交量,-0.013085076643804462,0.06011811580158392,-0.21765613358527303,0.8276970445363121,1405,0.005312328586537962,0.8542069142901442,0.889007936724187,-0.13091658361490893,0.10474643032730002
尖椒,-4,价格领先成交量,-0.020756590121675002,0.06047491236543286,-0.3432264605238082,0.731428099797844,1406,0.005911167788839489,0.7798314299315248,0.848456595765499,-0.1392874183579234,0.09777423811457342
尖椒,-3,价格领先成交量,-0.02872109403038683,0.061658411574479856,-0.46580982702892665,0.6413516303733402,1407,0.006816673443073684,0.7346191324522489,0.77747191517863,-0.14957158071636734,0.09212939265559368
尖椒,-2,价格领先成交量,-0.03701197765458952,0.06254425649995915,-0.5917726059244736,0.5540028695430492,1408,0.008067344871555249,0.6584460334732962,0.7302765098522013,-0.15959872039450945,0.0855747650853304
尖椒,-1,价格领先成交量,-0.04543026456185059,0.06311731029173814,-0.7197750403473272,0.4716635150003544,1409,0.009658422918682685,0.5832675332510688,0.6956136271961373,-0.16914019273365735,0.07827966360995617
尖椒,0,同日,-0.04673964640204246,0.06354692151518905,-0.7355139365936192,0.4620265554801626,1410,0.00992538725561043,0.5751489528630327,0.6956136271961373,-0.171291612571813,0.07781231976772807
尖椒,1,成交量领先价格,-0.047537372661431675,0.06458650338750649,-0.736026416792014,0.4617146214140644,1409,0.008873415860291223,0.5751489528630327,0.6956136271961373,-0.1741269193009444,0.07905217397808104
尖椒,2,成交量领先价格,-0.04678423481005238,0.06619806049445486,-0.7067312011954082,0.47973353599733604,1408,0.00881235125450841,0.5870157191528584,0.6956136271961373,-0.1765324333791839,0.08296396375907912
尖椒,3,成交量领先价格,-0.048174219326634814,0.06738416428090266,-0.7149189997491423,0.4746590960250078,1407,0.009216258938934074,0.5832675332510688,0.6956136271961373,-0.18024718131720402,0.08389874266393438
尖椒,4,成交量领先价格,-0.04816596290728058,0.06732015013955678,-0.7154761658646189,0.4743148631888435,1406,0.009313152891796905,0.5832675332510688,0.6956136271961373,-0.18011345718081184,0.0837815313662507
尖椒,5,成交量领先价格,-0.05142339568376686,0.06714715529688603,-0.7658313365086314,0.4437766659059017,1405,0.010189904425405238,0.5620066346414985,0.6956136271961373,-0.1830318200656635,0.08018502869812977
尖椒,6,成交量领先价格,-0.05286821702429156,0.06757250091795654,-0.7823924866785935,0.43398394795747597,1404,0.01067144127441888,0.5593570884785246,0.6956136271961373,-0.18531031882348636,0.07957388477490324
尖椒,7,成交量领先价格,-0.05564366578977291,0.06794033124051117,-0.8190078672532868,0.41278192501836397,1403,0.011506643575914799,0.5441216284332979,0.6956136271961373,-0.1888067150211748,0.077519383441629
尖椒,8,成交量领先价格,-0.06036382070053059,0.0677002445535717,-0.8916337171096075,0.37258929165689714,1402,0.012928284150954927,0.5049107223387859,0.6956136271961373,-0.19305630002553112,0.07232865862446994
尖椒,9,成交量领先价格,-0.06614632414194133,0.06625820874188912,-0.9983113850785849,0.318128388574772,1401,0.014819444067655785,0.4522413366994308,0.6956136271961373,-0.196012413276044,0.06371976499216134
尖椒,10,成交量领先价格,-0.07091257291939759,0.06537947990865847,-1.084630422549543,0.27808537515365506,1400,0.01653921737487707,0.43132320661410656,0.6956136271961373,-0.19905635354036819,0.057231207701573
尖椒,11,成交量领先价格,-0.07686693623596523,0.06447748215174878,-1.1921516422595049,0.233201790820746,1399,0.018834582963397017,0.4074007189037128,0.6956136271961373,-0.20324280125339284,0.04950892878146239
尖椒,12,成交量领先价格,-0.07872145647040073,0.06480924199941461,-1.2146640516349778,0.224494248589731,1398,0.01966547197115709,0.39940694534369314,0.6956136271961373,-0.20574757078925338,0.04830465784845191
尖椒,13,成交量领先价格,-0.08362260603601522,0.06410592646003001,-1.3044442324400982,0.1920821621463591,1397,0.02174288879415076,0.3548014460028289,0.6956136271961373,-0.20927022189767402,0.0420250098256436
尖椒,14,成交量领先价格,-0.0888592059756818,0.06362155715777446,-1.3966839220127976,0.16250864116095098,1396,0.024113278332204557,0.3162919861521865,0.6956136271961373,-0.2135574580049197,0.03583904605355613
甘蓝,-14,价格领先成交量,-0.015595951821101905,0.0823873699876841,-0.18930027531444818,0.8498574795556899,1396,0.0009079611864633019,0.8678122150392608,0.8498574795556899,-0.17707519699696275,0.14588329335475894
甘蓝,-13,价格领先成交量,-0.023288677874379424,0.0843316906797852,-0.2761557095162312,0.7824284735871213,1397,0.0011761910364711525,0.8132769080296244,0.8103723476438043,-0.1885787916067584,0.14200143585799957
甘蓝,-12,价格领先成交量,-0.03088377547309991,0.0862325347309037,-0.35814528205016216,0.7202345933423522,1398,0.0015479420358267548,0.7734918006750178,0.7938104736154783,-0.19989954354567113,0.13813199259947134
甘蓝,-11,价格领先成交量,-0.034317684118266405,0.0877662666457534,-0.3910122354501093,0.6957881918428261,1399,0.0017561528153400285,0.7614285872996965,0.7938104736154783,-0.20633956674394308,0.13770419850741025
