target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_wx,baseline_mean,valid,crop,土豆,250,1.29413272475877,1.4127664173956116,-5.215278627106473,1.29413272475877,2.4880549657509676,
hist,price,F_wx,baseline_mean,valid,crop,尖椒,250,0.8310730142919109,1.1293765462633207,-0.060634520037033734,0.27003238838892035,1.0278093120598224,
hist,price,F_wx,baseline_mean,valid,crop,甘蓝,250,1.204199391648032,1.402926404306363,-0.0967372166578333,0.4166586404094559,1.0451556189349038,
hist,price,F_wx,baseline_mean,valid,crop,芸豆,250,0.8947009973506213,1.1315958172374778,-0.07701801373438943,0.30260493540314226,1.035717114698532,
hist,price,F_wx,baseline_mean,valid,crop,芹菜,250,0.7525856583429508,0.9095937870343594,-0.09175530427619116,0.2636941042493676,1.0427791151816794,
hist,price,F_wx,baseline_mean,valid,crop,茄子,250,1.1332737995447992,1.3234146263334494,-0.13289808951431237,0.4532730276526999,1.0622459682937164,
hist,price,F_wx,baseline_mean,valid,crop,西红柿,250,0.8642021135122329,1.186947379723876,-0.05618120328179299,-0.27375229406927976,1.0256492960406427,
hist,price,F_wx,baseline_mean,valid,crop,青椒,250,0.9172082340737276,1.2425734861850284,-0.3070194225512739,0.6022322201503088,1.1409607113573494,
hist,price,F_wx,baseline_mean,valid,crop,韭菜,250,0.8957610954044747,1.4033853466736719,-0.08873376773447728,-0.40064576121764933,1.041335120248779,
hist,price,F_wx,baseline_mean,valid,crop,黄瓜,250,1.2680070366485452,1.756465236639766,-0.14499762148784945,-0.625054240192374,1.067903380930081,
hist,price,F_wx,baseline_mean,valid,season,冬(12-2),640,1.480911077103173,1.6829265291158146,-0.057691065641759964,0.2603724641790521,1.0276373014598559,
hist,price,F_wx,baseline_mean,valid,season,夏(6-8),620,0.6431173303119119,0.8482835801937775,-0.8137279143266147,0.43325488863038475,1.3456606357930152,
hist,price,F_wx,baseline_mean,valid,season,春(3-5),600,0.7882829150641552,0.9596665089578975,-1.712696212349396,0.7041451235421817,1.645653381485749,
hist,price,F_wx,baseline_mean,valid,season,秋(9-11),640,1.0848444269001674,1.513091230556585,-0.2378551316095625,-0.4405461652615633,1.1117198311474086,
hist,price,F_wx,baseline_mean,valid,period,normal,2360,1.0272687422613695,1.3301866509840352,-0.11997488049190941,0.23157674781323892,1.0580644190523478,
hist,price,F_wx,baseline_mean,valid,period,extreme,140,0.63879846183703,0.8486221535362519,-0.4941473707746422,0.20909151102926105,1.2179798395518802,
hist,price,F_wx,baseline_mean,valid,overall,all,2500,1.0055144065576065,1.3079140859800544,-0.12660650405828222,0.23031757455333618,1.0612049102113403,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,土豆,250,1.2144740863328078,1.4458529787974082,-5.509807481054783,1.2079386908860406,2.546324459123496,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,尖椒,250,1.0755578784429245,1.4706766171292818,-0.7985503641088152,0.02882994033284791,1.3384155418450503,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,甘蓝,250,1.610959304120402,2.1317065898460217,-1.5321396767731268,0.036014785692503895,1.588084102957408,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,芸豆,250,1.2316609597489045,1.5517666956129894,-1.0253176786353415,0.1113599805578188,1.4202874384858863,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,芹菜,250,1.0360050912964716,1.4853755187262938,-1.911406610180669,-0.08564327084157111,1.7028684575562336,
hist,price,F_wx,baseline_seasonal_naive,valid,crop,茄子,250,1.3958897317488295,1.699986087492214,-0.8693461095592594,0.3791952535238709,1.364503105573975,
