target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_wx,baseline_mean,valid,period,normal,2360,1.0272687422613695,1.3301866509840352,-0.11997488049190941,0.23157674781323892,1.0580644190523478,
hist,price,F_wx,baseline_mean,valid,period,extreme,140,0.63879846183703,0.8486221535362519,-0.4941473707746422,0.20909151102926105,1.2179798395518802,
hist,price,F_wx,baseline_seasonal_naive,valid,period,normal,2360,1.2868207016146949,1.7241100323973468,-0.8815383286691454,0.034779595889926025,1.3714011326615827,
hist,price,F_wx,baseline_seasonal_naive,valid,period,extreme,140,0.7285212789877766,1.050685957246434,-1.2903959160014726,0.0630858392206592,1.507990697972932,
hist,price,F_wx,baseline_persistence,valid,period,normal,2360,0.15019986699632668,0.2590095881116134,0.9575365971098642,-0.007475005960035472,0.2060228383524736,
hist,price,F_wx,baseline_persistence,valid,period,extreme,140,0.08830887841795013,0.13658419712819653,0.9612951299871451,-0.030526647162652906,0.19603164707674184,
hist,price,F_wx,elasticnet,valid,period,normal,2360,1.323633572016392,1.6556566268888149,-0.7350965861123406,0.2774544166868627,1.3169515464490318,
hist,price,F_wx,elasticnet,valid,period,extreme,140,0.8357209829899012,1.0517833201166964,-1.2951827087549446,0.4919742872457101,1.5095656814294478,
hist,price,F_wx,gam,valid,period,normal,2360,1.3827154374616994,1.7285687935650065,-0.8912826927741333,0.2472346374212521,1.3749477451171077,
hist,price,F_wx,gam,valid,period,extreme,140,0.9999098324725005,1.243697230128311,-2.209179720969298,0.7163869338875253,1.7850089659933532,
hist,price,F_wx,lightgbm,valid,period,normal,2360,1.4339181726980277,1.7742219222339073,-0.9925030457338639,0.5279736744207939,1.4112614090884372,
hist,price,F_wx,lightgbm,valid,period,extreme,140,1.05007538461328,1.3167057607678958,-2.597014399111646,0.8659130175191354,1.8897940202884524,
hist,price,F_lag,baseline_mean,valid,period,normal,2360,1.0272687422613695,1.3301866509840352,-0.11997488049190941,0.23157674781323892,1.0580644190523478,
hist,price,F_lag,baseline_mean,valid,period,extreme,140,0.63879846183703,0.8486221535362519,-0.4941473707746422,0.20909151102926105,1.2179798395518802,
hist,price,F_lag,baseline_seasonal_naive,valid,period,normal,2360,1.2868207016146949,1.7241100323973468,-0.8815383286691454,0.034779595889926025,1.3714011326615827,
hist,price,F_lag,baseline_seasonal_naive,valid,period,extreme,140,0.7285212789877766,1.050685957246434,-1.2903959160014726,0.0630858392206592,1.507990697972932,
hist,price,F_lag,baseline_persistence,valid,period,normal,2360,0.15019986699632668,0.2590095881116134,0.9575365971098642,-0.007475005960035472,0.2060228383524736,
hist,price,F_lag,baseline_persistence,valid,period,extreme,140,0.08830887841795013,0.13658419712819653,0.9612951299871451,-0.030526647162652906,0.19603164707674184,
hist,price,F_lag,elasticnet,valid,period,normal,2360,0.1602314164155357,0.26230219329153365,0.9564501206809268,-0.0021268453219322188,0.20864186056584783,
hist,price,F_lag,elasticnet,valid,period,extreme,140,0.1044769055971652,0.13946588781963112,0.95964468917723,-0.007769545279814603,0.2001675763019759,
hist,price,F_lag,gam,valid,period,normal,2360,0.1705443117160824,0.26809919770992613,0.9545039030724992,-0.01845817317512888,0.2132529458655333,
hist,price,F_lag,gam,valid,period,extreme,140,0.13707225605456538,0.17067485086752363,0.9395628788456698,-0.020801096290886185,0.24496005272656038,
hist,price,F_lag,lightgbm,valid,period,normal,2360,0.1926431447570265,0.29880264647722155,0.9434865278155026,-0.02955508345494527,0.23767525280932916,
hist,price,F_lag,lightgbm,valid,period,extreme,140,0.10825742399645437,0.13886140369078964,0.9599937534504673,0.0010758170359090697,0.19929999409334512,
hist,price,F_now,baseline_mean,valid,period,normal,2360,1.0272687422613695,1.3301866509840352,-0.11997488049190941,0.23157674781323892,1.0580644190523478,
hist,price,F_now,baseline_mean,valid,period,extreme,140,0.63879846183703,0.8486221535362519,-0.4941473707746422,0.20909151102926105,1.2179798395518802,
hist,price,F_now,baseline_seasonal_naive,valid,period,normal,2360,1.2868207016146949,1.7241100323973468,-0.8815383286691454,0.034779595889926025,1.3714011326615827,
hist,price,F_now,baseline_seasonal_naive,valid,period,extreme,140,0.7285212789877766,1.050685957246434,-1.2903959160014726,0.0630858392206592,1.507990697972932,
hist,price,F_now,baseline_persistence,valid,period,normal,2360,0.15019986699632668,0.2590095881116134,0.9575365971098642,-0.007475005960035472,0.2060228383524736,
hist,price,F_now,baseline_persistence,valid,period,extreme,140,0.08830887841795013,0.13658419712819653,0.9612951299871451,-0.030526647162652906,0.19603164707674184,
hist,price,F_now,elasticnet,valid,period,normal,2360,0.16143711883420733,0.26370783929636576,0.95598211286947,-0.014947325527636645,0.2097599472812691,
hist,price,F_now,elasticnet,valid,period,extreme,140,0.1087302992537457,0.14428423320365658,0.9568080853279733,-0.023127699812673996,0.20708307752155392,
hist,price,F_now,gam,valid,period,normal,2360,0.17457615969107287,0.27027056192439325,0.9537639631745473,-0.022090120667743796,0.21498010439206913,
hist,price,F_now,gam,valid,period,extreme,140,0.16995397723463876,0.20387033352255818,0.9137671436421873,-0.03218233129395371,0.2926036694640523,
