target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_wx,baseline_mean,valid,overall,all,2500,1.0055144065576065,1.3079140859800544,-0.12660650405828222,0.23031757455333618,1.0612049102113403,
hist,price,F_wx,baseline_seasonal_naive,valid,overall,all,2500,1.2555559339475877,1.6934913628719555,-0.8887731136739854,0.03636474551644707,1.3740515290295758,
hist,price,F_wx,baseline_persistence,valid,overall,all,2500,0.1467339716359376,0.2537200153699869,0.9576041567197037,-0.008765897867382048,0.2058613245439371,
hist,price,F_wx,elasticnet,valid,overall,all,2500,1.2963104670309085,1.6277719822488899,-0.7450222064598533,0.28946752943815823,1.320728661602098,
hist,price,F_wx,gam,valid,overall,all,2500,1.3612783235823045,1.705064428914854,-0.9146765067165854,0.27350716602336345,1.383441591146478,
hist,price,F_wx,lightgbm,valid,overall,all,2500,1.4124229765652818,1.7517622740192815,-1.020989970584603,0.546898277634301,1.4213309166398826,
hist,price,F_lag,baseline_mean,valid,overall,all,2500,1.0055144065576065,1.3079140859800544,-0.12660650405828222,0.23031757455333618,1.0612049102113403,
hist,price,F_lag,baseline_seasonal_naive,valid,overall,all,2500,1.2555559339475877,1.6934913628719555,-0.8887731136739854,0.03636474551644707,1.3740515290295758,
hist,price,F_lag,baseline_persistence,valid,overall,all,2500,0.1467339716359376,0.2537200153699869,0.9576041567197037,-0.008765897867382048,0.2058613245439371,
hist,price,F_lag,elasticnet,valid,overall,all,2500,0.15710916380970696,0.25698004791830853,0.9565076743128168,-0.002442836519573634,0.20850642377852127,
hist,price,F_lag,gam,valid,overall,all,2500,0.16866987659903743,0.2635969127426173,0.9542391103645377,-0.018589376869611287,0.2138751628394662,
hist,price,F_lag,lightgbm,valid,overall,all,2500,0.18791754439443448,0.29216945723981785,0.9437809571188162,-0.02783975302745742,0.23705812634042173,
hist,price,F_now,baseline_mean,valid,overall,all,2500,1.0055144065576065,1.3079140859800544,-0.12660650405828222,0.23031757455333618,1.0612049102113403,
hist,price,F_now,baseline_seasonal_naive,valid,overall,all,2500,1.2555559339475877,1.6934913628719555,-0.8887731136739854,0.03636474551644707,1.3740515290295758,
hist,price,F_now,baseline_persistence,valid,overall,all,2500,0.1467339716359376,0.2537200153699869,0.9576041567197037,-0.008765897867382048,0.2058613245439371,
hist,price,F_now,elasticnet,valid,overall,all,2500,0.15848553693770145,0.25848266280597465,0.9559975702756119,-0.01540542648759874,0.20972560347391625,
hist,price,F_now,gam,valid,overall,all,2500,0.17431731747351256,0.266988998036992,0.9530537884942045,-0.022655284462811547,0.216627405979006,
hist,price,F_now,lightgbm,valid,overall,all,2500,0.1985244979600963,0.3059227458947094,0.9383635868620638,-0.03169199766863477,0.24821716010920966,
hist,volume,F_wx,baseline_mean,valid,overall,all,2500,1.0373632618918258,1.3052572703361678,-0.6617114669158193,0.23389273849993653,1.288816038978819,
hist,volume,F_wx,baseline_seasonal_naive,valid,overall,all,2500,1.0254639473659477,1.379224766349097,-0.8553825557219827,0.15502076533390233,1.3618518284672874,
hist,volume,F_wx,baseline_persistence,valid,overall,all,2500,0.3616238531497471,0.5978524913627263,0.651380671776975,-0.0008836874840582368,0.5903218448369802,
hist,volume,F_wx,elasticnet,valid,overall,all,2500,1.005699900639326,1.2422724566200218,-0.5052099740503446,0.07752105562156336,1.2266245921473793,
hist,volume,F_wx,gam,valid,overall,all,2500,1.0321643668163483,1.2771788305604281,-0.5909876109430898,0.030576839943009963,1.261091279764757,
hist,volume,F_wx,lightgbm,valid,overall,all,2500,0.7902521030732359,0.9958214727446517,0.03277759457678864,-0.24586182318540567,0.9832779446631772,
hist,volume,F_lag,baseline_mean,valid,overall,all,2500,1.0373632618918258,1.3052572703361678,-0.6617114669158193,0.23389273849993653,1.288816038978819,
hist,volume,F_lag,baseline_seasonal_naive,valid,overall,all,2500,1.0254639473659477,1.379224766349097,-0.8553825557219827,0.15502076533390233,1.3618518284672874,
hist,volume,F_lag,baseline_persistence,valid,overall,all,2500,0.3616238531497471,0.5978524913627263,0.651380671776975,-0.0008836874840582368,0.5903218448369802,
hist,volume,F_lag,elasticnet,valid,overall,all,2500,0.4032368571614508,0.5844322754187644,0.6668561818745509,0.009816846698658852,0.5770706721002195,
