scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
all,price,土豆,precip_3d,3日累计降水,300,-0.03281293864612367,0.4934077510749627,-0.038372289526956656,0.8110275646123066,1410,0.0035106023240487616,-0.07171955953116481,-0.03210485841139736,0.9950342515612569,False
all,price,土豆,soil_z,土壤水分异常,300,0.08804615454149076,0.22567402930092018,-0.19581785489888942,0.2064437894484975,1410,0.009474129942570686,-0.10709410014847767,0.0887391022881907,0.9362359353377184,False
all,price,土豆,temp_max,日最高气温,300,-0.00935009466703865,0.9200337851509489,0.1284590744861605,0.7877448307317607,1410,0.0027737528206772666,0.12489398083041314,-0.00793157082189598,0.9950342515612569,False
all,price,土豆,vpd,饱和水汽压差VPD,300,-0.00011072685650941527,0.999097948199748,0.2051977430967813,0.41107474334055216,1410,0.008505860644517416,0.2076698798023949,-9.709561781958491e-05,0.9735980763328868,False
all,price,土豆,wind,风速,300,0.2026615186063755,0.001030092646306562,0.22486992486166324,0.13311259030151107,1410,0.06648150117568963,0.42900685270589056,0.2012993013041119,0.9362359353377184,False
all,price,尖椒,precip_3d,3日累计降水,924,-0.20306824916340155,0.6895273309694521,0.2519100376643452,0.6234366358056816,1410,0.011474722008523841,0.04474718635334093,-0.19200519398912483,0.9950342515612569,False
all,price,尖椒,soil_z,土壤水分异常,924,-0.8499971962411174,0.012094468002834443,1.091987151840529,0.0015259244163468946,1410,0.08784341211667646,0.24037941812299182,-0.8611999016356708,0.13733319747122053,False
all,price,尖椒,temp_max,日最高气温,924,-0.09468464008485193,0.7912499461742674,0.0027077535656910984,0.995034251561257,1410,0.01048843406599953,-0.10368885276247364,-0.12040161317088026,0.9950342515612569,False
all,price,尖椒,vpd,饱和水汽压差VPD,924,0.06671932208477813,0.9233547128209006,-0.2390089968119708,0.7350475596292667,1410,0.016979070837477184,-0.17379776002996875,0.03222239200044928,0.9950342515612569,False
all,price,尖椒,wind,风速,924,0.17786076951421081,0.2212193350197208,-0.15662047327647027,0.3458494279344202,1410,0.014349937394668277,0.02676843016811821,0.1750515771226947,0.9735980763328868,False
all,price,甘蓝,precip_3d,3日累计降水,445,0.0430501928540505,0.4557362916325668,-0.1690645725652916,0.2629917810993869,1410,0.0031593253017340173,-0.13128712564846257,0.04271644635046638,0.9735980763328868,False
