scope,response,hazard,hazard_label,n_crops,beta_interaction,se,ci_low,ci_high,p_interaction,beta_hazard,p_hazard,n,r2,fdr_p_interaction,sig_fdr05
open_field,price,precip_3d,3日累计降水,6,0.030042247147915035,0.04469923692133847,-0.057568257217908356,0.11765275151373843,0.5015216028842682,0.008864558698598604,0.7558242818594985,8460,0.004324979000193574,0.9077318956210544,False
open_field,price,temp_max,日最高气温,6,0.05754700174806936,0.2142990622880618,-0.36247916033653177,0.4775731638326705,0.7882868084796082,-0.007252073820093498,0.8840635766983453,8460,0.004045303275129641,0.9077318956210544,False
open_field,price,vpd,饱和水汽压差VPD,6,-0.013209292062598015,0.11397158267627702,-0.236593594108101,0.21017500998290495,0.9077318956210544,-0.02151520281056162,0.6092010892854071,8460,0.004239339930343755,0.9077318956210544,False
open_field,price,soil_z,土壤水分异常,6,0.041593498460355954,0.08203227487569659,-0.11918976029600936,0.20237675721672127,0.612128003138815,0.039429530859472456,0.3507137731969323,8460,0.0056236589839656626,0.9077318956210544,False
open_field,price,wind,风速,6,-0.11670254392080268,0.07050059357846154,-0.2548837073345873,0.021478619492981937,0.0978552866914321,0.11104413611470738,0.0006616345891483896,8460,0.009779172915161949,0.36532272029710516,False
all,price,precip_3d,3日累计降水,9,0.012731625078602817,0.03418770468597911,-0.054276276105916246,0.07973952626312188,0.7095923570274536,0.01977192403936978,0.4446929688992599,12690,0.005062375339451863,0.9004096438597072,False
all,price,temp_max,日最高气温,9,0.022208894870121444,0.09255617584483805,-0.15920120978576113,0.20361899952600404,0.8103686794737366,-0.004079897869563822,0.9293457168575782,12690,0.004614293477867237,0.9004096438597072,False
all,price,vpd,饱和水汽压差VPD,9,0.0051490894576393265,0.06243782085838167,-0.11722903942478874,0.1275272183400674,0.9342749810577414,-0.032452965276141534,0.46625766061479534,12690,0.005058816497735985,0.9342749810577414,False
all,price,soil_z,土壤水分异常,9,-0.017629294383607212,0.05830840755648258,-0.13191377319431308,0.09665518442709864,0.7623885689040792,0.0871204155635024,0.0807704915466859,12690,0.008282100876065734,0.9004096438597072,False
all,price,wind,风速,9,-0.03201182069392623,0.04470034101819291,-0.11962448908958434,0.055600847701731876,0.4739032705441436,0.09767133420897664,0.0020932789318118374,12690,0.009192879129668041,0.9004096438597072,False
open_field,volume,precip_3d,3日累计降水,6,-0.011613175770027573,0.054652546037615525,-0.118732166003754,0.09550581446369885,0.8317239754542591,-0.0627565224190107,0.07081094953770542,8460,0.03145809080159656,0.9077318956210544,False
open_field,volume,temp_max,日最高气温,6,-0.17835171395710717,0.2202307565645151,-0.6100039968235568,0.2533005689093424,0.4180320404083163,0.03906787309476568,0.4323291249791368,8460,0.030547970656980783,0.9077318956210544,False
open_field,volume,vpd,饱和水汽压差VPD,6,-0.018014185712442336,0.12241872343847468,-0.2579548836518527,0.22192651222696802,0.8830118806717852,-0.002588018583282936,0.9540682261691504,8460,0.029515225329203698,0.9077318956210544,False
open_field,volume,soil_z,土壤水分异常,6,0.15712610500373722,0.09133982217412455,-0.021899946457546893,0.33615215646502133,0.08538944288833014,0.06221897953727858,0.19149345300745424,8460,0.03593043479290847,0.36532272029710516,False
open_field,volume,wind,风速,6,0.14772202297414552,0.09232580465779384,-0.03323655415513041,0.3286806001034215,0.10959681608913154,0.011255611420516804,0.71790175381047,8460,0.03149867016922592,0.36532272029710516,False
all,volume,precip_3d,3日累计降水,9,0.03622930355536323,0.0398539762936294,-0.04188448998015039,0.11434309709087685,0.36332311900818715,-0.07718649588985653,0.007157784754360888,12690,0.02707609567112279,0.9004096438597072,False
all,volume,temp_max,日最高气温,9,-0.08757390577805994,0.0975363965524441,-0.27874524302085035,0.10359743146473048,0.36926086576044026,0.06561051044759815,0.15486485436905584,12690,0.026412242687915866,0.9004096438597072,False
all,volume,vpd,饱和水汽压差VPD,9,-0.08194039016568386,0.07274848732928764,-0.22452742533108763,0.06064664499971992,0.26001663710454925,0.04354967557162372,0.3712564060985727,12690,0.025955746592835505,0.9004096438597072,False
all,volume,soil_z,土壤水分异常,9,0.0787651986202002,0.0643113671124892,-0.04728508092027864,0.20481547816067905,0.22067029779756397,0.03658839623493629,0.47413686427397717,12690,0.02860858580869552,0.9004096438597072,False
all,volume,wind,风速,9,0.022449986954751512,0.04610869251183059,-0.06792305036843643,0.11282302427793947,0.6263343545289888,0.00726414732086253,0.8006975952872231,12690,0.02552233310354124,0.9004096438597072,False
