crop,response,window,window_label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,n_lag_fdr_sig_within,max_abs_effect,n_obs_min,sd_mm
土豆,price,precip_14d,14日,0.0,-0.01900443771440382,-0.14455301743322813,0.10654414200442047,0.7667050787934147,0.9941663880747483,0.0,0.0,0.01900443771440382,1400.0,48.034396725796334
土豆,price,precip_1d,1日,1.0,-0.030170950098582727,-0.09898669740780522,0.038644797210639764,0.39016147448090543,0.9937046081237755,0.0,0.0,0.030170950098582727,1400.0,8.148008274397107
土豆,price,precip_3d,3日,0.0,-0.038099293606814785,-0.13033244188082438,0.05413385466719481,0.4181535360721953,0.9937046081237755,0.0,0.0,0.038099293606814785,1400.0,16.14456317656136
土豆,price,precip_5d,5日,0.0,-0.031039741643671348,-0.134101089333529,0.0720216060461863,0.5549844657831785,0.9941663880747483,0.0,0.0,0.031039741643671348,1400.0,22.566304924935245
土豆,price,precip_7d,7日,0.0,-0.025335954778029163,-0.14009994642092322,0.08942803686486489,0.6652321462191266,0.9941663880747483,0.0,0.0,0.025335954778029163,1400.0,28.659743783036618
土豆,volume,precip_14d,14日,12.0,0.0740968754172381,-0.058322054660361985,0.20651580549483817,0.2727526269341466,0.9937046081237755,0.0,0.0,0.0740968754172381,1400.0,48.034396725796334
土豆,volume,precip_1d,1日,14.0,0.028745828196772686,-0.031197765759616417,0.08868942215316179,0.34726167470353564,0.9937046081237755,0.0,0.0,0.028745828196772686,1400.0,8.148008274397107
土豆,volume,precip_3d,3日,14.0,0.0544744758339433,-0.025274014203508693,0.1342229658713953,0.1806247900697613,0.9937046081237755,0.0,0.0,0.0544744758339433,1400.0,16.14456317656136
土豆,volume,precip_5d,5日,14.0,0.06918847941335887,-0.024732130290509274,0.16310908911722702,0.14877474127222168,0.9937046081237755,0.0,0.0,0.06918847941335887,1400.0,22.566304924935245
土豆,volume,precip_7d,7日,13.0,0.07106548487093878,-0.042117818061048334,0.1842487878029259,0.21845604876247993,0.9937046081237755,0.0,0.0,0.07106548487093878,1400.0,28.659743783036618
尖椒,price,precip_14d,14日,14.0,0.14007349319993223,-0.05778447233865161,0.33793145873851604,0.16526452717745055,0.9937046081237755,0.0,0.0,0.14007349319993223,1400.0,48.034396725796334
尖椒,price,precip_1d,1日,12.0,0.07855761657824238,-0.021154728448661134,0.1782699616051459,0.1225468710796628,0.9937046081237755,0.0,0.0,0.07855761657824238,1400.0,8.148008274397107
尖椒,price,precip_3d,3日,12.0,0.09815812258591582,-0.03566430711361741,0.23198055228544906,0.15053316544506576,0.9937046081237755,0.0,0.0,0.09815812258591582,1400.0,16.14456317656136
尖椒,price,precip_5d,5日,11.0,0.10537819942965782,-0.043166384914346045,0.2539227837736617,0.16439747467928212,0.9937046081237755,0.0,0.0,0.10537819942965782,1400.0,22.566304924935245
尖椒,price,precip_7d,7日,14.0,0.10713736481685701,-0.059264216105198886,0.2735389457389129,0.20696946024588558,0.9937046081237755,0.0,0.0,0.10713736481685701,1400.0,28.659743783036618
尖椒,volume,precip_14d,14日,14.0,0.17337202042309902,-0.12589971264130578,0.4726437534875038,0.2561853219190745,0.9937046081237755,0.0,0.0,0.17337202042309902,1400.0,48.034396725796334
尖椒,volume,precip_1d,1日,5.0,0.15440532897389503,-0.012667302289808585,0.32147796023759867,0.07007980728373638,0.8277142592567288,0.0,0.0,0.15440532897389503,1400.0,8.148008274397107
尖椒,volume,precip_3d,3日,11.0,0.1683003216350751,-0.05851545322195709,0.3951160964921073,0.14585038419311708,0.9937046081237755,0.0,0.0,0.1683003216350751,1400.0,16.14456317656136
尖椒,volume,precip_5d,5日,10.0,0.14614320338480238,-0.09711127994975471,0.3893976867193595,0.23898201893208315,0.9937046081237755,0.0,0.0,0.14614320338480238,1400.0,22.566304924935245
尖椒,volume,precip_7d,7日,10.0,0.12798370466400416,-0.11018200702693781,0.36614941635494613,0.2922263794209271,0.9937046081237755,0.0,0.0,0.12798370466400416,1400.0,28.659743783036618
甘蓝,price,precip_14d,14日,14.0,0.11930584601911884,-0.09559347361868609,0.33420516565692376,0.2765355411956123,0.9937046081237755,0.0,0.0,0.11930584601911884,1400.0,48.034396725796334
甘蓝,price,precip_1d,1日,14.0,0.0522889155155049,-0.043178914935275765,0.14775674596628557,0.2830395184627651,0.9937046081237755,0.0,0.0,0.0522889155155049,1400.0,8.148008274397107
甘蓝,price,precip_3d,3日,14.0,0.07570720059145641,-0.06112981908190132,0.21254422026481415,0.2781873249551924,0.9937046081237755,0.0,0.0,0.07570720059145641,1400.0,16.14456317656136
甘蓝,price,precip_5d,5日,12.0,0.07764125236909866,-0.086213558764374,0.24149606350257133,0.3530291056200089,0.9937046081237755,0.0,0.0,0.07764125236909866,1400.0,22.566304924935245
甘蓝,price,precip_7d,7日,14.0,0.09665925050898315,-0.08788552154173578,0.28120402255970206,0.304612764638441,0.9937046081237755,0.0,0.0,0.09665925050898315,1400.0,28.659743783036618
甘蓝,volume,precip_14d,14日,0.0,-0.11511611377370566,-0.2587987662263014,0.02856653867889007,0.11634094217487899,0.9937046081237755,0.0,0.0,0.11511611377370566,1400.0,48.034396725796334
甘蓝,volume,precip_1d,1日,2.0,-0.07214061679811154,-0.13995571771973386,-0.004325515876489203,0.03706779672549145,0.6608470719363908,0.0,0.0,0.07214061679811154,1400.0,8.148008274397107
甘蓝,volume,precip_3d,3日,0.0,-0.10277675473708842,-0.19306156077235526,-0.01249194870182159,0.02566863196752813,0.6192781379200781,0.0,0.0,0.10277675473708842,1400.0,16.14456317656136
甘蓝,volume,precip_5d,5日,0.0,-0.11578163533788893,-0.22166334471902516,-0.009899925956752695,0.03209224742074259,0.6409538890088456,0.0,0.0,0.11578163533788893,1400.0,22.566304924935245
甘蓝,volume,precip_7d,7日,0.0,-0.1071408209374694,-0.23414151668153668,0.01985987480659787,0.09822857188618006,0.9693093544917228,0.0,0.0,0.1071408209374694,1400.0,28.659743783036618
芸豆,price,precip_14d,14日,14.0,0.06028738313418811,-0.12198931939543273,0.24256408566380894,0.5168147580230678,0.9941663880747483,0.0,0.0,0.06028738313418811,1400.0,48.034396725796334
芸豆,price,precip_1d,1日,5.0,-0.04520404448550018,-0.12290694883628402,0.032498859865283655,0.25418650108462826,0.9937046081237755,0.0,0.0,0.04520404448550018,1400.0,8.148008274397107
芸豆,price,precip_3d,3日,4.0,-0.05261334054016284,-0.15415956884289378,0.048932887762568114,0.3098583852262007,0.9937046081237755,0.0,0.0,0.05261334054016284,1400.0,16.14456317656136
芸豆,price,precip_5d,5日,3.0,-0.04495436092872001,-0.15430104057648772,0.06439231871904769,0.42036348918448563,0.9937046081237755,0.0,0.0,0.04495436092872001,1400.0,22.566304924935245
芸豆,price,precip_7d,7日,2.0,-0.034883206719103,-0.15308785771279768,0.08332144427459168,0.5629854426717252,0.9941663880747483,0.0,0.0,0.034883206719103,1400.0,28.659743783036618
芸豆,volume,precip_14d,14日,14.0,0.0463312298116741,-0.09650859885091745,0.18917105847426563,0.5249449065389995,0.9941663880747483,0.0,0.0,0.0463312298116741,1400.0,48.034396725796334
芸豆,volume,precip_1d,1日,5.0,0.03073215035330222,-0.04742911231743015,0.10889341302403459,0.4409141306737956,0.9937046081237755,0.0,0.0,0.03073215035330222,1400.0,8.148008274397107
芸豆,volume,precip_3d,3日,4.0,0.027908805850492543,-0.06254383560427784,0.11836144730526293,0.5453449400516013,0.9941663880747483,0.0,0.0,0.027908805850492543,1400.0,16.14456317656136
芸豆,volume,precip_5d,5日,14.0,0.021863312176894585,-0.08610089679013264,0.1298275211439218,0.691433708911759,0.9941663880747483,0.0,0.0,0.021863312176894585,1400.0,22.566304924935245
芸豆,volume,precip_7d,7日,13.0,0.018669374433086444,-0.10648517999414506,0.14382392886031795,0.7700004640841431,0.9941663880747483,0.0,0.0,0.018669374433086444,1400.0,28.659743783036618
芹菜,price,precip_14d,14日,14.0,0.1222658810156138,-0.11056139537332126,0.35509315740454883,0.3033548422576752,0.9937046081237755,0.0,0.0,0.1222658810156138,1400.0,48.034396725796334
芹菜,price,precip_1d,1日,8.0,0.03853088172856841,-0.038257034357542706,0.11531879781467952,0.3253638963547697,0.9937046081237755,0.0,0.0,0.03853088172856841,1400.0,8.148008274397107
芹菜,price,precip_3d,3日,14.0,0.06549943114951597,-0.06366072161921481,0.19465958391824673,0.3202466403284928,0.9937046081237755,0.0,0.0,0.06549943114951597,1400.0,16.14456317656136
芹菜,price,precip_5d,5日,14.0,0.0649441786138974,-0.08409237053117075,0.21398072775896554,0.3930552587413798,0.9937046081237755,0.0,0.0,0.0649441786138974,1400.0,22.566304924935245
芹菜,price,precip_7d,7日,14.0,0.08260861066361797,-0.0897469885176845,0.2549642098449204,0.34751937706381075,0.9937046081237755,0.0,0.0,0.08260861066361797,1400.0,28.659743783036618
芹菜,volume,precip_14d,14日,0.0,-0.0513207249376569,-0.2126194509578977,0.10997800108258388,0.5328791709297536,0.9941663880747483,0.0,0.0,0.0513207249376569,1400.0,48.034396725796334
芹菜,volume,precip_1d,1日,1.0,-0.0699590507635672,-0.14882485721813982,0.008906755691005394,0.0820970040299492,0.9158063777596233,0.0,0.0,0.0699590507635672,1400.0,8.148008274397107
芹菜,volume,precip_3d,3日,0.0,-0.08540553972815734,-0.19055290457442214,0.019741825118107445,0.1113841638421316,0.9937046081237755,0.0,0.0,0.08540553972815734,1400.0,16.14456317656136
芹菜,volume,precip_5d,5日,0.0,-0.08066176890493523,-0.21147999521801863,0.05015645740814817,0.22684547337672323,0.9937046081237755,0.0,0.0,0.08066176890493523,1400.0,22.566304924935245
芹菜,volume,precip_7d,7日,0.0,-0.0639890177886973,-0.213037405222063,0.08505936964466838,0.4000894626683028,0.9937046081237755,0.0,0.0,0.0639890177886973,1400.0,28.659743783036618
茄子,price,precip_14d,14日,6.0,0.0858441502576464,-0.06964013876466855,0.24132843927996134,0.2791938503927702,0.9937046081237755,0.0,0.0,0.0858441502576464,1400.0,48.034396725796334
茄子,price,precip_1d,1日,12.0,0.05372593806809389,-0.03853250954504092,0.1459843856812287,0.2537078035809027,0.9937046081237755,0.0,0.0,0.05372593806809389,1400.0,8.148008274397107
茄子,price,precip_3d,3日,12.0,0.07171012296136833,-0.04711835475021933,0.190538600672956,0.23688335801375016,0.9937046081237755,0.0,0.0,0.07171012296136833,1400.0,16.14456317656136
茄子,price,precip_5d,5日,11.0,0.07757914340037282,-0.050998367033410305,0.20615665383415593,0.23696969471152385,0.9937046081237755,0.0,0.0,0.07757914340037282,1400.0,22.566304924935245
茄子,price,precip_7d,7日,10.0,0.07359972062245151,-0.06102487198238157,0.2082243132272846,0.2839273078441491,0.9937046081237755,0.0,0.0,0.07359972062245151,1400.0,28.659743783036618
茄子,volume,precip_14d,14日,0.0,-0.051637300145469196,-0.20959950728166687,0.1063249069907285,0.5217064156219886,0.9941663880747483,0.0,0.0,0.051637300145469196,1400.0,48.034396725796334
茄子,volume,precip_1d,1日,8.0,-0.053856256749459305,-0.12835453433933408,0.020642020840415484,0.15650567568547435,0.9937046081237755,0.0,0.0,0.053856256749459305,1400.0,8.148008274397107
茄子,volume,precip_3d,3日,7.0,-0.07126838432997555,-0.17637985463477243,0.03384308597482133,0.18387028968359753,0.9937046081237755,0.0,0.0,0.07126838432997555,1400.0,16.14456317656136
茄子,volume,precip_5d,5日,7.0,-0.06402420808840419,-0.18721905460948124,0.05917063843267288,0.3083883660212585,0.9937046081237755,0.0,0.0,0.06402420808840419,1400.0,22.566304924935245
茄子,volume,precip_7d,7日,3.0,-0.05652773470436759,-0.20114431868614177,0.0880888492774066,0.4436020127763658,0.9937046081237755,0.0,0.0,0.05652773470436759,1400.0,28.659743783036618
西红柿,price,precip_14d,14日,12.0,-0.04271287842263157,-0.19857059966848892,0.11314484282322576,0.5911716866670262,0.9941663880747483,0.0,0.0,0.04271287842263157,1400.0,48.034396725796334
西红柿,price,precip_1d,1日,13.0,-0.026016816864558513,-0.11807739068458464,0.06604375695546763,0.579642755995062,0.9941663880747483,0.0,0.0,0.026016816864558513,1400.0,8.148008274397107
西红柿,price,precip_3d,3日,11.0,-0.034154154789489966,-0.14810474700090404,0.07979643742192412,0.556890514888782,0.9941663880747483,0.0,0.0,0.034154154789489966,1400.0,16.14456317656136
西红柿,price,precip_5d,5日,9.0,-0.035514361439595535,-0.15487694559608,0.08384822271688892,0.5597818521128068,0.9941663880747483,0.0,0.0,0.035514361439595535,1400.0,22.566304924935245
西红柿,price,precip_7d,7日,13.0,-0.03815827399324962,-0.17007096420155288,0.09375441621505365,0.5707362169897565,0.9941663880747483,0.0,0.0,0.03815827399324962,1400.0,28.659743783036618
西红柿,volume,precip_14d,14日,0.0,-0.020767154946729986,-0.16234051772299546,0.1208062078295355,0.7737225698721842,0.9941663880747483,0.0,0.0,0.020767154946729986,1400.0,48.034396725796334
西红柿,volume,precip_1d,1日,1.0,-0.04210120270259311,-0.10552485954072705,0.02132245413554082,0.1932358979572526,0.9937046081237755,0.0,0.0,0.04210120270259311,1400.0,8.148008274397107
