response,window,window_label,n_crops,mean_peak_effect,mean_max_abs_effect,median_peak_lag,n_crops_fdr_sig,min_fdr_p,n_lag_fdr_sig_total,sign_positive
price,precip_14d,14日,10,0.10412287052268607,0.11646633375009316,13.0,0,0.580481718923149,0,8
price,precip_1d,1日,10,0.04266996875351531,0.06294833104324359,8.0,0,0.580481718923149,0,7
price,precip_3d,3日,10,0.05973760913398045,0.08471096692127397,9.5,0,0.580481718923149,0,7
price,precip_5d,5日,10,0.06948181927199762,0.091783512074395,8.5,0,0.580481718923149,0,7
price,precip_7d,7日,10,0.07691674849588517,0.09659223559396153,11.5,0,0.580481718923149,0,7
volume,precip_14d,14日,10,-0.011026105613981999,0.08005602823318902,0.0,0,0.9693093544917228,0,4
volume,precip_1d,1日,10,-0.02713581084283333,0.06991247234762732,3.5,0,0.6608470719363908,0,3
volume,precip_3d,3日,10,-0.035387581917372415,0.08552430258127461,2.0,0,0.6192781379200781,0,3
volume,precip_5d,5日,10,-0.023277647364213724,0.08192968971862429,7.0,0,0.6409538890088456,0,4
volume,precip_7d,7日,10,-0.02130695221752103,0.07491139816777934,5.0,0,0.9693093544917228,0,4
