cluster,crop,response,shock_magnitude,trough_offset,price_shock,recovery_offset,recovery_days,recovery_slope_z_per_day,censored
1,土豆,price,0.45247088448221606,5,1.0595125680111526,8.0,3.0,0.20234722784297884,False
1,土豆,volume,-0.14832551423675122,11,0.9258634730778262,12.0,1.0,0.37471708859810837,False
1,尖椒,price,0.29508970727101025,5,0.9088762983947123,8.0,3.0,0.03822114303700704,False
1,尖椒,volume,-0.028103781644858133,11,0.646386977831737,15.0,4.0,0.1686226898691488,False
1,甘蓝,price,0.285361475163175,5,2.4255725388869873,8.0,3.0,0.15997537243996182,False
1,甘蓝,volume,-0.39520942938081755,17,0.11065864022662891,18.0,1.0,0.42155672467287203,False
1,芸豆,price,0.45415711138090775,5,1.8031386303340993,8.0,3.0,0.07794115442840677,False
1,芸豆,volume,-0.5058680696074462,12,0.4384189936597871,15.0,3.0,0.04496605063177306,False
1,芹菜,price,0.688944132893951,5,2.1053747277948003,8.0,3.0,0.0032118607594121182,False
1,芹菜,volume,0.04215567246728724,15,1.2225145015513288,16.0,1.0,0.843113449345744,False
1,茄子,price,0.05365267404927476,5,0.8661074525097184,8.0,3.0,0.05620756328971619,False
1,茄子,volume,-0.1388657445981223,18,0.9720602121868578,,,,True
1,西红柿,price,0.36102550266856226,5,1.2430518804456487,8.0,3.0,0.23636000973111485,False
1,西红柿,volume,0.0,8,0.11241512657943253,9.0,1.0,0.0,False
1,青椒,price,-0.03199507448799266,12,0.549104656753382,15.0,3.0,0.11299161440804524,False
1,青椒,volume,-0.22483025315886507,18,0.0,19.0,1.0,0.22483025315886507,False
1,韭菜,price,0.472143531633616,12,0.8768379873195727,15.0,3.0,0.028906746834711432,False
1,韭菜,volume,0.8958080399298527,5,1.2330534196681504,8.0,3.0,0.11241512657943258,False
1,黄瓜,price,2.1790467839638215,5,3.8733033345538406,8.0,3.0,0.4041591455593883,False
1,黄瓜,volume,-3.2178829983362567,8,-1.1944107199064709,9.0,1.0,0.6744907594765959,False
2,土豆,price,-0.8872147682345981,4,-0.005188390457512071,8.0,4.0,0.03891292843134203,False
2,土豆,volume,-0.7908532874473667,1,-0.5437116351200646,2.0,1.0,0.10297568846970917,False
2,尖椒,price,-1.1834246961725716,11,-0.5702512784665759,16.0,5.0,0.06744907594765948,False
2,尖椒,volume,-0.21920949682989388,19,5.277890192904356,,,,True
2,甘蓝,price,-0.9882755910591846,15,-0.5483903131396661,18.0,3.0,0.08797705558390363,False
2,甘蓝,volume,0.5636815632768689,11,2.035998535391494,12.0,1.0,0.0,False
2,芸豆,price,-1.2038910622480032,9,0.6966740111216031,11.0,2.0,0.10192304809868546,False
2,芸豆,volume,0.29677593416970266,16,1.375961149332255,17.0,1.0,0.6070416835289356,False
2,芹菜,price,-0.7563932088416099,2,-0.17825827214738577,8.0,6.0,0.016059303797061737,False
2,芹菜,volume,0.22764063132335088,17,2.2005261027923924,18.0,1.0,0.8431134493457441,False
2,茄子,price,-0.9808558393834341,5,0.07557547064014858,11.0,6.0,0.01896158761580785,False
2,茄子,volume,-1.2815324430055308,8,1.7941454202077427,11.0,3.0,0.08993210126354605,False
2,西红柿,price,-0.6829749199731557,10,0.0805995247173289,12.0,2.0,0.042420802482804554,False
2,西红柿,volume,0.021583704303251183,12,1.9641170915958452,15.0,3.0,0.5395926075812761,False
2,青椒,price,-1.4441596594571091,15,-0.6047933809973469,17.0,2.0,0.07494341771962165,False
2,青椒,volume,0.022483025315886484,1,1.371464544269077,2.0,1.0,1.1241512657943253,False
2,韭菜,price,-0.8720512787039336,1,0.7554296506137865,2.0,1.0,0.13924970518226498,False
2,韭菜,volume,-0.10960474841494683,18,1.4079994604073924,19.0,1.0,0.8431134493457441,False
2,黄瓜,price,-0.44170919248650214,1,1.5324101035425572,2.0,1.0,0.131607953068604,False
2,黄瓜,volume,0.6070416835289358,17,2.79913665182787,18.0,1.0,0.843113449345744,False
3,土豆,price,-0.5909000243277855,10,0.05764878286124819,12.0,2.0,0.1426807375815874,False
3,土豆,volume,-0.28833192771518573,11,0.08238055077576735,12.0,1.0,0.30892706540912757,False
3,尖椒,price,-1.3413168512318654,18,0.2835927056890233,,,,True
3,尖椒,volume,-2.5106044936073273,5,1.1990946835139464,6.0,1.0,1.6862268986914888,False
3,甘蓝,price,-1.0345450054773857,5,-0.667973940544454,7.0,2.0,0.10263989818122088,False
3,甘蓝,volume,-0.5246039240373517,0,0.24624265822161417,3.0,3.0,0.09635582278237072,False
3,芸豆,price,-3.2075782783998097,14,-2.0564473822264198,,,,True
3,芸豆,volume,-0.014988683543924353,18,1.0641965316186281,21.0,3.0,0.1798642025270921,False
3,芹菜,price,-2.3446583543710213,14,-0.619889126566585,,,,True
3,芹菜,volume,-0.7869058860560276,0,1.405189082242907,3.0,3.0,0.2529340348037232,False
3,茄子,price,-1.7841951013731618,21,-0.6546262391171775,,,,True
3,茄子,volume,-1.843608075902694,18,0.8543549620036868,,,,True
3,西红柿,price,-2.045625364170805,11,-0.06033180797554405,18.0,7.0,0.03151259613008354,False
3,西红柿,volume,-1.918551493622315,18,-0.2997736708784864,21.0,3.0,0.1798642025270921,False
3,青椒,price,-0.9642719746591313,21,0.8193813670678642,,,,True
3,青椒,volume,-1.4364155062927486,5,1.0367172784547671,6.0,1.0,1.1241512657943253,False
3,韭菜,price,-1.3895960162980179,21,-0.21467662882265803,,,,True
3,韭菜,volume,-2.922793291065246,21,-0.22483025315886507,,,,True
3,黄瓜,price,-1.1259791540313888,13,-0.3856844180204926,21.0,8.0,0.030845614000454005,False
3,黄瓜,volume,-0.39345294302801337,21,1.630019335401772,,,,True
4,土豆,price,-0.7559917262466833,0,0.3681595395476407,3.0,3.0,0.13115098100933795,False
4,土豆,volume,0.04496605063177311,13,0.38221143037007077,14.0,1.0,0.22483025315886512,False
4,尖椒,price,-0.2105910037921369,14,0.14913740126204705,17.0,3.0,0.024981139239873922,False
4,尖椒,volume,-0.8993210126354603,10,1.3489815189531904,12.0,2.0,0.5620756328971627,False
