crop,response,shock_magnitude,trough_offset,price_shock,recovery_days,recovery_slope,censored,n_events
土豆,price,-0.530317330195921,4.5,0.33021943432708234,3.0,0.07252588811576292,1,8
土豆,volume,-0.25134869327503884,3.0,0.36088138071140907,1.0,0.11280518600545414,0,8
尖椒,price,-0.01808861582232682,8.0,0.3788900743574967,3.0,0.041820698100207096,2,8
尖椒,volume,-0.38658312973704856,3.5,0.945536120229227,3.0,0.3747170885981084,1,8
甘蓝,price,-0.41379815931279584,5.5,0.2675502768688993,2.5,0.06896966703182586,0,8
甘蓝,volume,-0.4599066767090846,14.0,0.30485911708088964,2.0,0.12890846561425276,2,8
芸豆,price,-0.4708204066037953,12.5,0.7313203852979413,3.0,0.07211536422076797,3,8
芸豆,volume,-0.978386318329661,15.0,0.7344454936522927,3.0,0.22483025315886507,1,8
芹菜,price,-0.35755151989434597,3.5,0.48603271635178624,3.0,0.040878227847066406,3,8
芹菜,volume,-0.3541076487252125,6.0,0.4777642879625882,2.0,0.28103781644858133,0,8
茄子,price,-0.43554302998324124,3.0,0.4947624553133561,2.0,0.06578482966031039,2,8
茄子,volume,-0.655219594920121,16.5,0.3681595395476416,3.0,0.18267458069157788,4,8
西红柿,price,-0.2841575540699329,4.5,0.27340864887027844,2.0,0.03921457903933698,1,8
西红柿,volume,-0.2870557383553297,3.0,0.5576118371643235,2.5,0.19872093343719044,0,8
青椒,price,-0.02203775300050337,9.5,0.703426705045483,1.0,0.09635582278237072,1,8
青椒,volume,-0.5246039240373519,7.5,0.7681700316261223,1.0,1.1241512657943253,0,8
韭菜,price,-0.6131646266892545,13.0,0.8161338189666796,2.0,0.16112553701625204,2,8
韭菜,volume,-0.7325719082093021,8.0,1.042299001753676,2.0,0.4349394778370902,2,8
黄瓜,price,-0.6818937068367048,9.0,0.9624205454371972,3.5,0.19468756114766408,2,8
黄瓜,volume,-0.3864269976167991,7.5,0.857165340168173,1.0,0.6744907594765959,1,8
