crop,month,month_label,seasonal_index,variable,unit
土豆,1,1月,0.9322033898305084,volume,unknown
土豆,2,2月,0.9152542372881356,volume,unknown
土豆,3,3月,0.9661016949152542,volume,unknown
土豆,4,4月,0.9830508474576272,volume,unknown
土豆,5,5月,0.9830508474576272,volume,unknown
土豆,6,6月,1.0254237288135593,volume,unknown
土豆,7,7月,1.0169491525423728,volume,unknown
土豆,8,8月,1.0338983050847457,volume,unknown
土豆,9,9月,1.0305084745762711,volume,unknown
土豆,10,10月,1.023728813559322,volume,unknown
土豆,11,11月,1.006779661016949,volume,unknown
土豆,12,12月,1.0,volume,unknown
尖椒,1,1月,1.0,volume,unknown
尖椒,2,2月,1.0,volume,unknown
尖椒,3,3月,1.0,volume,unknown
尖椒,4,4月,1.0,volume,unknown
尖椒,5,5月,0.9767441860465116,volume,unknown
尖椒,6,6月,1.0,volume,unknown
尖椒,7,7月,0.9767441860465116,volume,unknown
尖椒,8,8月,1.0,volume,unknown
尖椒,9,9月,1.0,volume,unknown
尖椒,10,10月,1.0,volume,unknown
尖椒,11,11月,0.9418604651162791,volume,unknown
尖椒,12,12月,1.0,volume,unknown
甘蓝,1,1月,1.0377358490566038,volume,unknown
甘蓝,2,2月,1.0,volume,unknown
甘蓝,3,3月,1.0,volume,unknown
甘蓝,4,4月,1.0,volume,unknown
甘蓝,5,5月,1.0377358490566038,volume,unknown
甘蓝,6,6月,1.0188679245283019,volume,unknown
甘蓝,7,7月,1.0,volume,unknown
甘蓝,8,8月,0.9905660377358491,volume,unknown
甘蓝,9,9月,1.0188679245283019,volume,unknown
甘蓝,10,10月,1.0188679245283019,volume,unknown
甘蓝,11,11月,1.0,volume,unknown
甘蓝,12,12月,1.0,volume,unknown
芸豆,1,1月,1.0618556701030928,volume,unknown
芸豆,2,2月,1.0,volume,unknown
芸豆,3,3月,1.0,volume,unknown
芸豆,4,4月,1.0,volume,unknown
芸豆,5,5月,1.0,volume,unknown
芸豆,6,6月,0.979381443298969,volume,unknown
芸豆,7,7月,0.9896907216494846,volume,unknown
芸豆,8,8月,0.9896907216494846,volume,unknown
芸豆,9,9月,1.0,volume,unknown
芸豆,10,10月,1.0103092783505154,volume,unknown
芸豆,11,11月,1.0103092783505154,volume,unknown
芸豆,12,12月,1.041237113402062,volume,unknown
芹菜,1,1月,1.0,volume,unknown
芹菜,2,2月,0.9591836734693877,volume,unknown
芹菜,3,3月,1.0153061224489797,volume,unknown
芹菜,4,4月,1.0204081632653061,volume,unknown
