year,region,crop,planting_area_kha,production_ton,yield_kg_per_ha,planting_area_kha_implied,value_is_derived,season_precip_mm,season_precip_clim_mm,season_precip_pct_of_clim,season_temp_mean_c,heat_days,heavy_rain_days,soil_moisture_anomaly,max_3d_precip_mm,n_days_in_season,season_complete,weather_source,source_table,quality_grade,weather_available
2018,沈阳,大豆,8.5953,21484.22,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2019,沈阳,大豆,10.048746666666672,21417.40670000003,,,False,,,,,,,,,,,,fact_production_yearly.csv,年鉴1981-2020口径,False
2020,沈阳,大豆,7.8,17000.0,2218.0,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
2021,沈阳,大豆,9.0,22000.0,2494.0,,False,578.3000000000001,619.58,0.933374221246651,21.22483660130719,0.0,0.0,0.3614760135625612,57.3,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2022,沈阳,大豆,10.6,23000.0,2137.0,,False,851.9,619.58,1.3749636850769875,20.848366013071896,0.0,2.0,0.6873939769197741,78.00000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2023,沈阳,大豆,11.2,24000.0,2115.0,,False,555.7,619.58,0.8968978985764551,22.05032679738562,0.0,1.0,-0.8106436832808211,59.10000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2024,沈阳,大豆,11.7,23000.0,2010.0,,False,830.8,620.9333333333334,1.3379858277861283,21.99281045751634,0.0,3.0,-0.0653698944374686,112.60000000000001,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
2025,沈阳,大豆,11.68,25000.0,2155.5,,False,675.8,619.58,1.090738887633558,22.859477124183005,3.0,1.0,0.01642652878629979,60.8,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2025_shenyang.csv,A,True
2020,沈阳,小麦,1.0,6000.0,5942.0,,False,,,,,,,,,,,,fact_production_yearly_2020_2024.csv,B,False
2021,沈阳,小麦,0.8,3000.0,4129.0,,False,578.3000000000001,619.58,0.933374221246651,21.22483660130719,0.0,0.0,0.3614760135625612,57.3,153.0,True,Open-Meteo ERA5 / ERA5-Land 再分析（非气象站实测）,fact_production_yearly_2020_2024.csv,B,True
