crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,9.0,0.07303638483483389,-0.07442867019889714,0.2205014398685649,0.3316740968389116,0.5059435375508821,0.0,0.07303638483483389
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,10.0,0.23059285322034623,0.08383919095088563,0.3773465154898068,0.0020718673454238074,0.01428027768101481,15.0,0.23059285322034623
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,14.0,0.18865673159226928,0.01935460933124092,0.3579588538532976,0.028957318352887593,0.10446889370694602,0.0,0.18865673159226928
土豆,volume,soil_moisture_0_7,土壤水分 0–7cm,0.0,-0.06321641567889985,-0.20185064166994837,0.07541781031214867,0.37145630266693086,0.5317306540937942,0.0,0.06321641567889985
土豆,volume,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.08475706340828396,-0.036408293097939956,0.20592241991450788,0.17035915840010718,0.3468851641631142,0.0,0.08475706340828396
土豆,volume,soil_moisture_7_28,土壤水分 7–28cm,0.0,-0.08411975601178417,-0.26625798930434474,0.09801847728077637,0.3653501563316607,0.5269473408629721,0.0,0.08411975601178417
尖椒,price,soil_moisture_0_7,土壤水分 0–7cm,12.0,0.08515487259596652,-0.09268771088885952,0.26299745608079256,0.3479924684637268,0.5137149747098089,0.0,0.08515487259596652
尖椒,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.046182226046058206,-0.20362043882624056,0.295984890918357,0.717087006579692,0.8017121812692208,0.0,0.046182226046058206
尖椒,price,soil_moisture_7_28,土壤水分 7–28cm,12.0,0.01570070798447245,-0.22516962543356359,0.25657104140250847,0.8983395832705087,0.9327736720839435,0.0,0.01570070798447245
尖椒,volume,soil_moisture_0_7,土壤水分 0–7cm,10.0,0.349399182272529,0.12987128452775037,0.5689270800173076,0.0018114391903575526,0.013586804226426457,15.0,0.349399182272529
尖椒,volume,soil_moisture_28_100,土壤水分 28–100cm,12.0,0.5175527141762016,0.2236553284856137,0.8114500998667895,0.0005573638360088465,0.008564318666485125,15.0,0.5175527141762016
尖椒,volume,soil_moisture_7_28,土壤水分 7–28cm,10.0,0.544130046313022,0.240582292851292,0.847677799774752,0.00044235488042115146,0.008564318666485125,15.0,0.544130046313022
甘蓝,price,soil_moisture_0_7,土壤水分 0–7cm,13.0,0.08410604217724986,-0.10820870486666194,0.27642078922116164,0.3913468855517993,0.547763914458195,0.0,0.08410604217724986
甘蓝,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.2518702186938289,0.015140420440644342,0.4886000169470135,0.03703710362715005,0.11947452782951629,0.0,0.2518702186938289
甘蓝,price,soil_moisture_7_28,土壤水分 7–28cm,14.0,0.12484036658893582,-0.13954906105251125,0.3892297942303829,0.35471629999757903,0.5157426009657853,0.0,0.12484036658893582
甘蓝,volume,soil_moisture_0_7,土壤水分 0–7cm,5.0,0.12210073168301835,-0.039516165963775385,0.2837176293298121,0.138667905409687,0.3021818761954438,0.0,0.12210073168301835
甘蓝,volume,soil_moisture_28_100,土壤水分 28–100cm,12.0,0.14146099156330133,-0.026586814886251003,0.3095087980128537,0.09896160424813605,0.23194125995656886,0.0,0.14146099156330133
甘蓝,volume,soil_moisture_7_28,土壤水分 7–28cm,5.0,0.20270545402437384,0.010040522181329309,0.39537038586741835,0.03919409916227895,0.1233380742868918,0.0,0.20270545402437384
芸豆,price,soil_moisture_0_7,土壤水分 0–7cm,14.0,0.04620626934328301,-0.10383605200792326,0.19624859069448927,0.5461151851524371,0.6615123373313504,0.0,0.04620626934328301
芸豆,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.2640571939896102,0.10864328332475467,0.4194711046544657,0.0008679827670902852,0.009815681450792636,8.0,0.2640571939896102
芸豆,price,soil_moisture_7_28,土壤水分 7–28cm,14.0,0.09198482232389589,-0.08943315014610288,0.2734027947938947,0.3203281086667361,0.4970608582759698,0.0,0.09198482232389589
芸豆,volume,soil_moisture_0_7,土壤水分 0–7cm,14.0,0.14608269084201977,0.017500187331936784,0.2746651943521028,0.025963474814043458,0.09655837740759964,0.0,0.14608269084201977
芸豆,volume,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.25033031133074757,0.10615208201335802,0.3945085406481371,0.0006663523083479192,0.008692101030402716,15.0,0.25033031133074757
芸豆,volume,soil_moisture_7_28,土壤水分 7–28cm,3.0,0.19702691883200812,0.030165075135364067,0.3638887625286522,0.020649827711072932,0.08080367365202451,0.0,0.19702691883200812
芹菜,price,soil_moisture_0_7,土壤水分 0–7cm,7.0,0.0732820350869689,-0.08129437913195939,0.2278584493058972,0.3527841579897697,0.5154313996603778,0.0,0.0732820350869689
芹菜,price,soil_moisture_28_100,土壤水分 28–100cm,14.0,0.09536159206681027,-0.1298744784091671,0.32059766254278765,0.40663221502495417,0.5552178819932038,0.0,0.09536159206681027
芹菜,price,soil_moisture_7_28,土壤水分 7–28cm,14.0,0.04987723129874206,-0.16572121315074895,0.26547567574823305,0.6502372325398953,0.7531705396215003,0.0,0.04987723129874206
芹菜,volume,soil_moisture_0_7,土壤水分 0–7cm,14.0,0.24961941140539523,0.08719456721718516,0.4120442555936053,0.002593725417545436,0.015772654566154676,11.0,0.24961941140539523
