crop,variable,unit,n_weeks,period_weeks,robust,seasonal_strength,trend_strength,resid_std,note
土豆,price,元/500g,299,52,True,0.4970665010091644,0.6301240349930664,0.10166610047513987,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
土豆,volume,unknown,299,52,True,0.15104912251265445,0.49331938959458876,26.35693090880354,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
尖椒,price,元/500g,299,52,True,0.4890944806918268,0.09015247072964894,0.8588064369284535,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
尖椒,volume,unknown,299,52,True,0.07973210364197802,0.15593984466606403,6.230481310293033,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
甘蓝,price,元/500g,299,52,True,0.15895701764001502,0.03317755410626577,0.42583518224553923,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
甘蓝,volume,unknown,299,52,True,0.2882684337233927,0.46263989662868765,9.236129316926911,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
芸豆,price,元/500g,299,52,True,0.48252403237325736,0.018852264251947082,0.8094192710835245,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
芸豆,volume,unknown,299,52,True,0.13987010662377386,0.09462204471970015,7.751820373780013,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
芹菜,price,元/500g,299,52,True,0.047834932471442104,0.05654650881594059,0.5587123200844023,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
芹菜,volume,unknown,299,52,True,0.04224772248700859,0.20533585649834163,8.297847189545696,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
茄子,price,元/500g,299,52,True,0.5600999495565422,0.1598650645478622,0.529998003396596,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
茄子,volume,unknown,299,52,True,0.01873346670315046,0.32093781245048936,7.979625782382403,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
西红柿,price,元/500g,299,52,True,0.49266413901486594,0.1684266024161064,0.5782068251762847,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
西红柿,volume,unknown,299,52,True,0.0,0.32504159258253773,7.689415888348558,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
青椒,price,元/500g,299,52,True,0.6528744633738777,0.053318168474033034,0.7672199970326202,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
青椒,volume,unknown,299,52,True,0.04022842071186594,0.09766810236144041,6.546074811399733,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
韭菜,price,元/500g,299,52,True,0.6152548773812507,0.130235705539127,0.5946626223364665,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
韭菜,volume,unknown,299,52,True,0.13412973763211533,0.03910437056365568,9.198876913468943,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
黄瓜,price,元/500g,299,52,True,0.44770369131498966,0.06900929657561872,0.7185866400430175,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
黄瓜,volume,unknown,299,52,True,0.0,0.15069148454104453,8.844716383815681,季节强度=1-Var(resid)/Var(seasonal+resid)；值越大季节性越明显
