crop,response,bin_label,n_days,mean_z,se,ci_low,ci_high
土豆,price,0-10,1096,0.21899689343098322,0.0321591670509448,0.15596492601113143,0.282028860850835
土豆,price,10-25,174,0.07417798882212077,0.10244029865838832,-0.1266049965483203,0.2749609741925619
土豆,price,25-50,99,0.1522102158299246,0.10500227067536412,-0.05359423469378907,0.3580146663536383
土豆,price,50-100,35,-0.05337119763078387,0.1524133356380286,-0.35210133548131994,0.24535894021975221
土豆,price,100+,6,0.18639153245751025,0.28509562848811726,-0.3723958993791996,0.7451789642942201
土豆,volume,0-10,1096,-0.10325906984271474,0.030623997959270906,-0.16328210584288572,-0.043236033842543764
土豆,volume,10-25,174,-0.07608442105476468,0.08056828883712357,-0.23399826717552685,0.0818294250659975
土豆,volume,25-50,99,-0.07341725726111642,0.1137087771552959,-0.29628646048549634,0.14945194596326353
土豆,volume,50-100,35,-0.04437385755330399,0.1890370709910179,-0.4148865166956991,0.32613880158909114
土豆,volume,100+,6,-0.12509785880890698,0.2949590271177831,-0.7032175519597619,0.45302183434194787
尖椒,price,0-10,1096,0.11695409883203116,0.04481356511043006,0.029119511215588242,0.2047886864484741
尖椒,price,10-25,174,0.05160050911273265,0.09567317256274098,-0.13591890911023968,0.23911992733570497
尖椒,price,25-50,99,0.004688427759153013,0.09391558055338788,-0.17938611012548722,0.18876296564379325
尖椒,price,50-100,35,0.6468154820622392,0.16294075239459743,0.32745160736882817,0.9661793567556501
尖椒,price,100+,6,0.6538287277316153,0.2859433447910783,0.09337977194110181,1.2142776835221287
尖椒,volume,0-10,1096,0.25450333355980465,0.06532101532235508,0.1264741435279887,0.3825325235916206
尖椒,volume,10-25,174,0.23161392459038263,0.14814572394014797,-0.0587516943323074,0.5219795435130726
尖椒,volume,25-50,99,0.3395163923964681,0.20452247846641772,-0.06134766539771064,0.7403804501906468
尖椒,volume,50-100,35,0.1535269442999106,0.49775593858094275,-0.8220746953187372,1.1291285839185583
尖椒,volume,100+,6,-1.330245664523285,0.17027995514639094,-1.6639943766102112,-0.9964969524363587
甘蓝,price,0-10,1096,0.2219975962861004,0.04580364243294239,0.13222245711753333,0.3117727354546675
甘蓝,price,10-25,174,-0.06161291481838292,0.08434829545147648,-0.22693557390327684,0.10370974426651099
甘蓝,price,25-50,99,0.07019230342893132,0.09835729039470106,-0.12258798574468277,0.2629725926025454
甘蓝,price,50-100,35,0.5755232618185093,0.2262596987298376,0.13205425230802764,1.018992271328991
甘蓝,price,100+,6,0.5530307376551394,0.4654436858947667,-0.35923888669860327,1.465300362008882
