crop,response,hazard_key,hazard_label,hazard_unit,n,wald_F,wald_p,wald_df1,gam_edof,gam_r2,pd_range_z,linear_effect,note,fdr_p,evidence_level
土豆,price,precip_3d,3日累计降水,mm,1410,1.7073513359205161,0.12981212660153796,5,5.257511145797296,0.005515186366445546,0.7962867865034964,-0.002359883831488688,,0.531600170093694,B
土豆,price,temp_max,日最高气温,℃,1410,0.3172558431728151,0.902807584039796,5,6.66118900730245,0.0044656694874838365,0.36327783523402224,0.0007366363017799287,,0.9194674204024096,B
土豆,price,vpd,饱和水汽压差VPD,kPa,1410,1.64057197225021,0.14619004677576586,5,6.3519536884472405,0.011434650500304011,1.6765386159104971,0.05681942762568307,,0.531600170093694,B
土豆,price,soil_z,土壤水分异常,稳健z,1410,1.0848248649092842,0.36685972566515257,5,6.535507449298346,0.005679462571236749,0.2122827169389071,0.028383191369987106,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
土豆,volume,precip_3d,3日累计降水,mm,1410,0.6963012936125975,0.6262783142163293,5,5.257511145797296,0.0024742109550601743,0.8931180155719813,0.0006719657965189986,,0.7634211495449907,B
土豆,volume,temp_max,日最高气温,℃,1410,0.44160526416591067,0.8195857489558084,5,6.66118900730245,0.00496995308160364,0.408755921886221,-0.00030380944609474225,,0.8742247988861955,B
土豆,volume,vpd,饱和水汽压差VPD,kPa,1410,2.549325840702923,0.02633104086376979,5,6.3519536884472405,0.010865260530007692,1.4035180430698886,-0.011189396903484701,,0.28577834002958513,B
土豆,volume,soil_z,土壤水分异常,稳健z,1410,0.9965665994668449,0.41840957630998943,5,6.535507449298346,0.016071607086670325,1.0479144786749428,-0.055554567475314995,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
尖椒,price,precip_3d,3日累计降水,mm,1410,1.5374843228757353,0.17510331881510677,5,5.257511145797296,0.010113385879906178,1.1339381972314526,0.0034114621270797713,,0.5657236137248699,B
尖椒,price,temp_max,日最高气温,℃,1410,0.7735090047206429,0.5688144570006156,5,6.66118900730245,0.012279785049923775,0.9731781763195209,0.003717322447450413,,0.727940302412362,B
尖椒,price,vpd,饱和水汽压差VPD,kPa,1410,0.9713860599598562,0.43399209373828973,5,6.3519536884472405,0.01271668884840682,0.4038187198847993,-0.029578652766950563,,0.7119649363627567,B
尖椒,price,soil_z,土壤水分异常,稳健z,1410,2.1002067376101503,0.06288806274782612,5,6.535507449298346,0.02813883651013327,1.2412764061718504,0.07117594614102424,；土壤水分为观测期自建基线（B 级）,0.4703891486420352,B*
尖椒,volume,precip_3d,3日累计降水,mm,1410,1.1184564077750703,0.3484868357957583,5,5.257511145797296,0.010746609211592761,1.9227385834543864,-0.004167785489920835,,0.7119649363627567,B
尖椒,volume,temp_max,日最高气温,℃,1410,1.3945761656812856,0.22340407839650409,5,6.66118900730245,0.0353738931953268,1.9211080224877175,0.011382844778574147,,0.6382973668471544,B
尖椒,volume,vpd,饱和水汽压差VPD,kPa,1410,3.4987920131882504,0.0037935667877438857,5,6.3519536884472405,0.041075757849675765,1.4454255432559775,-0.02265374945700164,,0.15174267150975543,B
尖椒,volume,soil_z,土壤水分异常,稳健z,1410,1.2189714423875453,0.29773588798969064,5,6.535507449298346,0.05001091520767198,1.498253084026033,0.35862418783036687,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
甘蓝,price,precip_3d,3日累计降水,mm,1410,1.6436300595199402,0.14540137507468598,5,5.257511145797296,0.0048890757588654354,0.8148193456768114,0.0009773250642493643,,0.531600170093694,B
甘蓝,price,temp_max,日最高气温,℃,1410,0.3917037741278947,0.8547550515935001,5,6.66118900730245,0.0041414260489816,0.4414838011921298,0.0006352392039116225,,0.8997421595721053,B
甘蓝,price,vpd,饱和水汽压差VPD,kPa,1410,1.2817605021429965,0.2691279937480757,5,6.3519536884472405,0.005273630396263718,0.8293882094046334,-0.03632238966491251,,0.7119649363627567,B
甘蓝,price,soil_z,土壤水分异常,稳健z,1410,1.6436831130849456,0.1453877263410826,5,6.535507449298346,0.014012398814734373,0.9988507752267538,0.021373001724112273,；土壤水分为观测期自建基线（B 级）,0.531600170093694,B*
甘蓝,volume,precip_3d,3日累计降水,mm,1410,0.9680605863711851,0.43607852352218845,5,5.257511145797296,0.020219372245695477,1.1003902138402801,-0.006366028836648829,,0.7119649363627567,B
甘蓝,volume,temp_max,日最高气温,℃,1410,0.9924799784960678,0.42091244087879,5,6.66118900730245,0.025437022815786636,0.786613290289312,-0.0033897667880803278,,0.7119649363627567,B
甘蓝,volume,vpd,饱和水汽压差VPD,kPa,1410,0.6916202156434924,0.6298224483746174,5,6.3519536884472405,0.021624811690982182,1.1098983036087746,-0.0548793844414114,,0.7634211495449907,B
甘蓝,volume,soil_z,土壤水分异常,稳健z,1410,0.8330418414399373,0.5261269708842167,5,6.535507449298346,0.021187514249802475,0.6998577037839546,0.07228585431435304,；土壤水分为观测期自建基线（B 级）,0.727940302412362,B*
芸豆,price,precip_3d,3日累计降水,mm,1410,0.6129831510895596,0.6899893005761017,5,5.257511145797296,0.013103186799054534,0.7052627768791946,-3.111261887263838e-05,,0.7999875948708426,B
芸豆,price,temp_max,日最高气温,℃,1410,0.45339421203097896,0.8110191032334834,5,6.66118900730245,0.017332655710238565,0.5518456661216056,-0.00035994674186445353,,0.8742247988861955,B
芸豆,price,vpd,饱和水汽压差VPD,kPa,1410,0.7698676079053552,0.5714759273844151,5,6.3519536884472405,0.01820681300519733,0.30711694742041423,-0.0409832164586623,,0.727940302412362,B
芸豆,price,soil_z,土壤水分异常,稳健z,1410,1.1210683163591106,0.34708934642855144,5,6.535507449298346,0.021723341187066203,0.680686997711449,0.03050089190350192,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
芸豆,volume,precip_3d,3日累计降水,mm,1410,0.3526039229963439,0.8807665343111373,5,5.257511145797296,0.024299259794201333,0.5427041726800604,-0.0015858065351625093,,0.9150821135700127,B
芸豆,volume,temp_max,日最高气温,℃,1410,1.1587500587540747,0.3273977676186845,5,6.66118900730245,0.05167306947904016,1.4699139868418474,0.0038444722829866,,0.7119649363627567,B
芸豆,volume,vpd,饱和水汽压差VPD,kPa,1410,3.8535562060054063,0.0017968788899516705,5,6.3519536884472405,0.0630448178757872,1.251526087576978,0.013266150038186791,,0.14375031119613363,B
芸豆,volume,soil_z,土壤水分异常,稳健z,1410,1.2089658878392153,0.3025115389947665,5,6.535507449298346,0.038005305532551104,1.4165180942413311,0.11820648412356137,；土壤水分为观测期自建基线（B 级）,0.7119649363627567,B*
芹菜,price,precip_3d,3日累计降水,mm,1410,1.4417322559120733,0.20633489302853736,5,5.257511145797296,0.008995609579368291,0.8344206730562259,0.0015983801552294868,,0.6308923966840531,B
芹菜,price,temp_max,日最高气温,℃,1410,0.734660306557849,0.5974735416748994,5,6.66118900730245,0.01506852331711761,0.6135241229926525,0.004597133377659941,,0.7468419270936243,B
芹菜,price,vpd,饱和水汽压差VPD,kPa,1410,0.925969969284076,0.46305166869082726,5,6.3519536884472405,0.02451991715029389,0.6355983786820096,-0.012020372519470723,,0.7146138420345716,B
芹菜,price,soil_z,土壤水分异常,稳健z,1410,1.3436186126248537,0.24318013487324242,5,6.535507449298346,0.013562166630594952,0.8716047219023588,0.05026028250271768,；土壤水分为观测期自建基线（B 级）,0.6708417513744619,B*
芹菜,volume,precip_3d,3日累计降水,mm,1410,1.1169919727056417,0.3492722265904238,5,5.257511145797296,0.028229109626154547,1.4097756189630668,-0.005290049584751174,,0.7119649363627567,B
芹菜,volume,temp_max,日最高气温,℃,1410,1.1232991831010204,0.34589908195720204,5,6.66118900730245,0.039246391350359455,1.686068997223123,-0.0006389512599388969,,0.7119649363627567,B
芹菜,volume,vpd,饱和水汽压差VPD,kPa,1410,1.7532314057467295,0.11953876283021346,5,6.3519536884472405,0.04746975254703478,1.0509669610703212,-0.03605719636441457,,0.531600170093694,B
芹菜,volume,soil_z,土壤水分异常,稳健z,1410,0.5371647873426996,0.7482399161862023,5,6.535507449298346,0.056594506905628394,0.9972278438895184,0.21675319822294833,；土壤水分为观测期自建基线（B 级）,0.8430872295055801,B*
茄子,price,precip_3d,3日累计降水,mm,1410,0.9834378428468049,0.4264863081874569,5,5.257511145797296,0.005605077929490276,0.7037201353973066,0.002020597984928751,,0.7119649363627567,B
茄子,price,temp_max,日最高气温,℃,1410,1.034812701908591,0.39548041287798924,5,6.66118900730245,0.008805328173851601,0.5573339036957551,-0.0010023799866627943,,0.7119649363627567,B
茄子,price,vpd,饱和水汽压差VPD,kPa,1410,0.9237560749241537,0.46449899732247146,5,6.3519536884472405,0.011318437103349344,0.3932693364928501,-0.07490249849532751,,0.7146138420345716,B
茄子,price,soil_z,土壤水分异常,稳健z,1410,0.9289333340919693,0.4611187890954661,5,6.535507449298346,0.041758055030236996,1.3478913879269077,0.1806759483277643,；土壤水分为观测期自建基线（B 级）,0.7146138420345716,B*
茄子,volume,precip_3d,3日累计降水,mm,1410,0.4627794714065313,0.8041404413162849,5,5.257511145797296,0.005279751529458254,0.991153174244239,-0.003383279927277834,,0.8742247988861955,B
茄子,volume,temp_max,日最高气温,℃,1410,0.5009413946916703,0.7757195493002429,5,6.66118900730245,0.01339717577110111,0.8594343909906867,0.0073085360630671115,,0.8619106103336033,B
茄子,volume,vpd,饱和水汽压差VPD,kPa,1410,2.0118901146004604,0.07427066881807584,5,6.3519536884472405,0.015745894312746977,1.572915324505916,0.14258577158488603,,0.4703891486420352,B
茄子,volume,soil_z,土壤水分异常,稳健z,1410,0.8014474111524951,0.5485812553543701,5,6.535507449298346,0.022386804244027392,0.7221220579301044,-0.14783321320636075,；土壤水分为观测期自建基线（B 级）,0.727940302412362,B*
西红柿,price,precip_3d,3日累计降水,mm,1410,2.013314633873877,0.07407271490139124,5,5.257511145797296,0.005931594504175464,0.6654106870885095,-0.0006122332913939071,,0.4703891486420352,B
西红柿,price,temp_max,日最高气温,℃,1410,0.28859160025524466,0.9194674204024096,5,6.66118900730245,0.010488602629636357,0.39924908172111984,-0.00716816954176263,,0.9194674204024096,B
西红柿,price,vpd,饱和水汽压差VPD,kPa,1410,1.4231415351679655,0.21292618388086793,5,6.3519536884472405,0.008342824362482348,0.5152606528811021,-0.07955041804226592,,0.6308923966840531,B
