crop,response,n_obs,ar1,n_eff
土豆,price,1410,0.9809427791682549,13.564592402837036
土豆,volume,1410,0.9646860500893808,25.34383005962089
尖椒,price,1410,0.9698903626914263,21.551752020901322
尖椒,volume,1410,0.8843019524233894,86.57542750683615
甘蓝,price,1410,0.9579898407864023,30.252620957104703
甘蓝,volume,1410,0.9408193990700292,42.99454516542986
芸豆,price,1410,0.9673032169894193,23.434345883635423
芸豆,volume,1410,0.8627224990604103,103.91310376207788
芹菜,price,1410,0.9619501009494493,27.345424144739134
芹菜,volume,1410,0.897915918484981,75.84032228944912
茄子,price,1410,0.9725366889415566,19.63120321639424
茄子,volume,1410,0.9317405774412466,49.823349435113045
西红柿,price,1410,0.9784148735223174,15.383542016820154
西红柿,volume,1410,0.9224379377652773,56.88740614330917
青椒,price,1410,0.9710029875224904,20.743645672846576
青椒,volume,1410,0.8568535435179193,108.69812772489452
韭菜,price,1410,0.969065286729003,22.15159954628194
韭菜,volume,1410,0.8905685023374987,81.61482195083238
黄瓜,price,1410,0.9506313902734882,35.685747733518234
黄瓜,volume,1410,0.890605829365895,81.58537237020035
