hazard_key,hazard_label,window,beta_WV,beta_VP,indirect,boot_ci_low,boot_ci_high,boot_p_twosided,ci_excl0
precip_3d,3日累计降水,lag0-2,-0.06419591515669747,0.01403600070192112,-0.0009010539101998743,-0.0037273256520815794,3.40883389222573e-05,1.0,False
precip_3d,3日累计降水,lag3-14,-0.06722385597771383,0.011385979321512342,-0.0007654094340745735,-0.00337457709256397,0.0009122086606831788,1.0,False
temp_max,日最高气温,lag0-2,0.5079162061138981,-0.023933906632572645,-0.01215641905430056,-0.047405946809143736,0.01630022659284204,1.0,False
temp_max,日最高气温,lag3-14,-0.6356430123300993,0.010635386378780441,-0.006760309035102507,-0.049308028093238684,0.03714571138477997,1.0,False
vpd,饱和水汽压差VPD,lag0-2,0.03230861880975144,-0.009486328187819585,-0.0003064901613244631,-0.003066754184151209,0.002506575710044996,1.0,False
vpd,饱和水汽压差VPD,lag3-14,0.3382415569845373,0.007518034495693894,0.002542911693286963,-0.01230079071754145,0.018527023063952645,1.0,False
soil_z,土壤水分异常,lag0-2,0.13861698017375237,0.007332408728643424,0.0010163963553642143,-0.0010817787397000337,0.0033044071152367495,1.0,False
soil_z,土壤水分异常,lag3-14,0.10492500103692999,0.002819069385434087,0.0002957908581898492,-0.0016093850145696615,0.002506736589761425,1.0,False
wind,风速,lag0-2,-0.05040141994276439,0.025397662089710202,-0.0012800782325479109,-0.0050899190710895275,0.0015507629731148275,1.0,False
wind,风速,lag3-14,0.09420133442024652,-0.02586904961605291,-0.00243689899401575,-0.007954969427184464,0.0021765748204224367,1.0,False
