crop,model,hazard_key,hazard_label,window,beta_A,se_A,p_A,beta_C,se_C,p_C,beta_B,se_B,p_B,delta_C_to_B,r2_A,r2_C,r2_B,n,fdr_p_volume
土豆,per-crop HAC,precip_3d,3日累计降水,lag0-2,0.005624541259121627,0.05490484042416024,0.9184061427848432,-0.005355614600953584,0.008860281173870495,0.5455431782970923,-0.004836335566872855,0.00880725331219333,0.5829155719937293,0.0005192790340807288,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.20374506179984594,0.1395154339730018,0.14418662645758643,0.016653254279127352,0.009548739888278045,0.08115448965476225,0.0183946468209005,0.009954672547361095,0.06462542411675241,0.0017413925417731485,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,temp_max,日最高气温,lag0-2,0.06955263005443539,0.15165494145244748,0.6465040370094011,0.0005420767262417497,0.02904763926689661,0.9851110259390933,-0.0011093025592217379,0.028982059330229522,0.9694680315873853,-0.0016513792854634876,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,temp_max,日最高气温,lag3-14,-0.37599607990897105,0.2933236591594448,0.19989629036260015,-0.008143551740607873,0.028756715321573686,0.7770328587821513,-0.009685071351825156,0.028980864603640084,0.7382373296139019,-0.0015415196112172833,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.020101301910499955,0.13764828778417246,0.8838947094438129,-0.013033435089900812,0.018771934374104085,0.4874913837495225,-0.012240843819402623,0.01853549334545969,0.508997033250404,0.0007925912704981886,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.21459519831628468,0.3482388667175794,0.5377428041386683,-0.0002697718469071436,0.024582462375377468,0.9912440638395648,0.001186579375839325,0.025073638224909153,0.96225517444698,0.0014563512227464687,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,soil_z,土壤水分异常,lag0-2,-0.03225547935602258,0.08845028461106465,0.7153551043392272,0.011232371555975023,0.00951559731028608,0.23783445710509898,0.01076329242103768,0.00952038097176886,0.25824340502378695,-0.00046907913493734327,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.03873551211117296,0.1294541988364461,0.7647708538785782,-0.012292846441047393,0.009519915443568035,0.19660769453287052,-0.013083889758764965,0.009466894188701482,0.16695087990813506,-0.0007910433177175727,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,wind,风速,lag0-2,0.16583661263974217,0.06386486669874257,0.009412961224311662,0.013111927133319082,0.008830310025766987,0.13757632354264593,0.01397520439860872,0.00885319900607679,0.11443964520878121,0.0008632772652896383,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
土豆,per-crop HAC,wind,风速,lag3-14,0.6894359941278458,0.17974520141045558,0.00012524310057416402,0.023835162174938234,0.014225093075929722,0.09382213263771987,0.026943510155249942,0.014365790651345328,0.060719474961323905,0.0031083479803117077,0.20791738495646306,0.9627451177474362,0.9627789087742855,1409,
