crop,var,slope_per_day,se_hac,annualized_trend_pct,ci_low_annual_pct,ci_high_annual_pct,p_value,n_obs,note
土豆,log_price,-8.403550065774816e-05,2.427420577946164e-05,-3.0672957740078077,-4.8038724554704935,-1.3307190925451222,0.0005363248812678691,1410,沈阳批发口径；HAC maxlags=14
尖椒,log_price,-1.4461610414486761e-05,7.470203300259288e-05,-0.5278487801287668,-5.872032221134261,4.816334660876728,0.8464964692938243,1410,沈阳批发口径；HAC maxlags=14
甘蓝,log_price,-0.0001291123190587724,7.336637655518672e-05,-4.712599645645192,-9.96123022440325,0.5360309331128651,0.07843670742552267,1410,沈阳批发口径；HAC maxlags=14
芸豆,log_price,-4.3849934270778464e-05,4.000902168642981e-05,-1.600522600883414,-4.462768012330601,1.2617228105637743,0.2730782658266041,1410,沈阳批发口径；HAC maxlags=14
芹菜,log_price,1.5878487194401737e-05,4.367184549636872e-05,0.5795647825956634,-2.544719044214555,3.703848609405882,0.7161669162726322,1410,沈阳批发口径；HAC maxlags=14
茄子,log_price,-0.00010686176580920536,6.168783387379989e-05,-3.900454452035996,-8.31360208736764,0.5126931832956484,0.08322036048486219,1410,沈阳批发口径；HAC maxlags=14
西红柿,log_price,7.702871318781071e-05,5.4407346231061605e-05,2.811548031355091,-1.0807535180150563,6.703849580725238,0.15684057007813518,1410,沈阳批发口径；HAC maxlags=14
青椒,log_price,-6.627715543776132e-05,6.924210840861977e-05,-2.4191161734782884,-7.372696609030946,2.5344642620743696,0.33847645291556516,1410,沈阳批发口径；HAC maxlags=14
韭菜,log_price,8.531569439369058e-05,6.602728630210892e-05,3.114022845369706,-1.6095692166831659,7.837614907422578,0.19631287837444134,1410,沈阳批发口径；HAC maxlags=14
黄瓜,log_price,6.468792789646887e-05,6.625282898426273e-05,2.361109368221114,-2.3786180173130425,7.10083675375527,0.328876258100377,1410,沈阳批发口径；HAC maxlags=14
