response,exposure,label,n_crops,mean_peak_effect,mean_max_abs_effect,median_peak_lag,n_crops_fdr_sig,min_fdr_p,sign_positive,n_lag_fdr_sig_total,raw_sd,unit
price,cloud_cover,云量,10,0.05483744013012913,0.0726249552177311,9.0,0,0.5181478037564653,8,0,32.80183773100013,%
price,dew_point,露点温度,10,0.008948236440973284,0.06554681723338321,11.5,0,0.9997788117577607,5,0,14.741838900531697,℃
price,et0,参考蒸散ET0,10,-0.01898873163322551,0.05907511284186858,8.0,0,0.9997788117577607,4,0,1.7703082170552114,mm
price,humidity,相对湿度,10,0.034269385237349535,0.07807600888743724,8.0,0,0.9997788117577607,7,0,17.118768197786306,%
price,pressure_msl,海平面气压,10,0.014134704045328827,0.05678240319326733,11.5,0,0.9997788117577607,6,0,9.993018952261645,hPa
price,radiation,短波辐射,10,-0.005921431090377865,0.0622257477923265,10.0,0,0.9997788117577607,5,0,6.2180283917676515,MJ/m²
price,temp_mean,日平均气温,10,-0.0019444723375331998,0.05812738617969411,12.0,0,0.9997788117577607,5,0,12.941995254262475,℃
price,wind_speed,日最大风速,10,0.07540846763579671,0.12463099183378903,1.5,1,0.004875661547917585,7,15,7.226834680447293,km/h
volume,cloud_cover,云量,10,-0.11362217207015526,0.11362217207015526,6.5,1,0.02579986920364251,0,1,32.80183773100013,%
volume,dew_point,露点温度,10,-0.009249388430840607,0.06968662707792259,2.5,0,0.9997788117577607,5,0,14.741838900531697,℃
volume,et0,参考蒸散ET0,10,-0.01893727805178585,0.07180022844631588,5.0,0,0.9997788117577607,3,0,1.7703082170552114,mm
volume,humidity,相对湿度,10,-0.06522903321738839,0.11926949224762048,6.5,0,0.8531977075943656,2,0,17.118768197786306,%
volume,pressure_msl,海平面气压,10,0.06798828518202726,0.08269940799376703,2.5,0,0.9997788117577607,8,0,9.993018952261645,hPa
volume,radiation,短波辐射,10,-0.031708691532561145,0.09018116309671734,5.5,0,0.9997788117577607,3,0,6.2180283917676515,MJ/m²
volume,temp_mean,日平均气温,10,0.0030127808886100367,0.07151199773197399,3.0,0,0.9997788117577607,5,0,12.941995254262475,℃
volume,wind_speed,日最大风速,10,0.023310911780575296,0.17864497533906504,12.0,4,3.26674769974865e-05,5,51,7.226834680447293,km/h
