crop,response,exposure,label,lag_days,effect_z_per_1sd,se_hac,ci_low,ci_high,p_value,n_obs,fdr_p,fdr_p_within
土豆,price,humidity,相对湿度,0,-0.07594412000803119,0.07918547893681888,-0.23114765872419618,0.0792594187081338,0.3375253734665774,1410,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,1,-0.07248609524931321,0.07976168407718785,-0.2288189960406014,0.08384680554197499,0.3634644653418231,1409,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,2,-0.07355145746478586,0.07943251035509365,-0.2292391777607694,0.08213626283119768,0.3544659163896522,1409,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,3,-0.06725882442487241,0.07991560647971638,-0.2238934131251165,0.0893757642753717,0.3999989271911025,1409,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,4,-0.06691786567144348,0.0787021048329159,-0.22117399114395864,0.08733825980107168,0.3951762134993456,1408,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,5,-0.08281196824495182,0.07822800656917885,-0.23613886112054236,0.07051492463063871,0.2897831488952979,1407,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,6,-0.0964863264084616,0.07872335458277528,-0.2507841013907011,0.05781144857377794,0.22033497164373006,1406,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,7,-0.09008145314483386,0.08119841207661245,-0.24923034081499423,0.06906743452532653,0.2672580086932035,1405,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,8,-0.08497837596527286,0.08213336228443824,-0.2459597660427718,0.0760030141122261,0.30083755536014845,1404,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,9,-0.08536379885843277,0.08108935031124427,-0.24429892546847154,0.073571327751606,0.29247262999205215,1404,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,10,-0.07642310523789446,0.08188844466291915,-0.23692445677721602,0.08407824630142709,0.35068640194782663,1404,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,11,-0.06823439950155005,0.08089760155699864,-0.2267936985532674,0.09032489955016729,0.3989677136449631,1403,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,12,-0.09363601418848014,0.08119458642143418,-0.25277740357449113,0.06550537519753086,0.24881608757679607,1402,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,13,-0.10103006999682684,0.08229925280430779,-0.2623366054932701,0.06027646549961643,0.21959941050418164,1401,0.9997788117577607,0.3999989271911025
土豆,price,humidity,相对湿度,14,-0.0829884621703888,0.08431413888098954,-0.24824417437712828,0.08226725003635069,0.3249793671308626,1400,0.9997788117577607,0.3999989271911025
土豆,price,wind_speed,日最大风速,0,0.2578168466699817,0.0661421229627005,0.12817828566308875,0.3874554076768747,9.702159083058376e-05,1410,0.004518338919052038,0.000176557345236594
土豆,price,wind_speed,日最大风速,1,0.24363944923610228,0.0623960802448552,0.1213431319561861,0.36593576651601845,9.433312447436318e-05,1409,0.004518338919052038,0.000176557345236594
土豆,price,wind_speed,日最大风速,2,0.2517032415408272,0.06313440145597696,0.12795981468711234,0.375446668394542,6.69748579969319e-05,1409,0.0034943404172312295,0.000176557345236594
