crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
土豆,price,cloud_cover,云量,0.0,-0.0573320351163912,-0.14807846538276365,0.03341439514998124,0.21560695048546652,0.9997788117577607,0.0,0.0573320351163912
土豆,price,dew_point,露点温度,13.0,-0.06545478617629699,-0.24721240239784206,0.11630283004524808,0.48028906357803025,0.9997788117577607,0.0,0.06545478617629699
土豆,price,et0,参考蒸散ET0,0.0,0.0991745850701343,-0.10136051654551911,0.2997096866857877,0.33238679208032784,0.9997788117577607,0.0,0.0991745850701343
土豆,price,humidity,相对湿度,13.0,-0.10103006999682684,-0.2623366054932701,0.06027646549961643,0.21959941050418164,0.9997788117577607,0.0,0.10103006999682684
土豆,price,pressure_msl,海平面气压,12.0,0.03303259502958103,-0.13567954335602425,0.2017447334151863,0.7011611000055517,0.9997788117577607,0.0,0.03303259502958103
土豆,price,radiation,短波辐射,0.0,0.08373888879526085,-0.08273205135881916,0.25020982894934085,0.32416885557927766,0.9997788117577607,0.0,0.08373888879526085
土豆,price,temp_mean,日平均气温,14.0,-0.03948595396576176,-0.22586654015775218,0.14689463222622864,0.6779670238817385,0.9997788117577607,0.0,0.03948595396576176
土豆,price,wind_speed,日最大风速,12.0,0.28656517634829903,0.14152964702726012,0.43160070566933795,0.00010767085918318001,0.004875661547917585,15.0,0.28656517634829903
土豆,volume,cloud_cover,云量,5.0,-0.06654623803979046,-0.1525681081937439,0.019475632114162977,0.12945624947741916,0.9997788117577607,0.0,0.06654623803979046
土豆,volume,dew_point,露点温度,2.0,0.015582679657657295,-0.14913447089545623,0.18029983021077084,0.852898679564291,0.9997788117577607,0.0,0.015582679657657295
土豆,volume,et0,参考蒸散ET0,14.0,-0.052689340086816715,-0.22088323363539802,0.11550455346176458,0.5392151074589467,0.9997788117577607,0.0,0.052689340086816715
土豆,volume,humidity,相对湿度,5.0,-0.04396314332865422,-0.1957719432472667,0.10784565658995826,0.5703017481188193,0.9997788117577607,0.0,0.04396314332865422
土豆,volume,pressure_msl,海平面气压,7.0,0.04743203207306756,-0.11449218875703973,0.20935625290317486,0.5658746940116056,0.9997788117577607,0.0,0.04743203207306756
