crop,variable,n_years,years,first_value,last_value,total_change_pct,linear_slope_per_year,r2,has_gap_years
大豆,planting_area_kha,8,2018-2025,8.5953,11.68,35.88821797959349,0.49582341269838687,0.6757724591869125,False
大豆,production_ton,8,2018-2025,21484.22,25000.0,16.364475880436903,649.0884107142479,0.4368787634430079,False
大豆,yield_kg_per_ha,6,2020-2025,2218.0,2155.5,-2.817853922452662,-51.042857142877786,0.3372193119778053,False
小麦,planting_area_kha,5,2020-2024,1.0,0.4,-60.0,-0.14999999999997926,0.986842105263158,False
小麦,production_ton,5,2020-2024,6000.0,2000.0,-66.66666666666667,-899.9999999999154,0.7500000000000043,False
小麦,yield_kg_per_ha,5,2020-2024,5942.0,4365.0,-26.539885560417364,-317.3000000000046,0.36146986286594207,False
水稻,planting_area_kha,8,2018-2025,117.554,110.5,-6.0006465113905065,-1.5579702380951348,0.4547068062279469,False
水稻,production_ton,8,2018-2025,980071.635,785000.0,-19.903813969679884,-31936.29217671601,0.7624051845848646,False
水稻,yield_kg_per_ha,6,2020-2025,8149.0,7105.5,-12.80525217818137,-210.10000000004024,0.9370871487050004,False
油料,planting_area_kha,6,2020-2025,32.7,32.1,-1.834862385321101,0.04000000000005361,0.013907284768217343,False
油料,production_ton,6,2020-2025,120574.6,128000.0,6.158345124097431,2384.462857143487,0.5934816306004924,False
玉米,planting_area_kha,8,2018-2025,397.5,419.3,5.484276729559756,4.227148809523518,0.8163372973051577,False
玉米,production_ton,8,2018-2025,2576628.68,3349000.0,29.97604295858416,75054.02326785677,0.5668086761990245,False
玉米,yield_kg_per_ha,6,2020-2025,7631.0,7987.1,4.666491940767936,39.32857142857359,0.07484577212002741,False
粮食,planting_area_kha,9,2017-2025,543.5067344030314,549.6,1.1211021338422444,0.43475553979786696,0.18411019988771615,False
粮食,production_ton,9,2017-2025,3822921.63546779,4200000.0,9.863617423747396,38502.19491695397,0.32063286314968575,False
粮食,yield_kg_per_ha,9,2017-2025,7033.807298941297,7641.9,8.64528519497869,64.66345471142154,0.26681042510806274,False
花生,planting_area_kha,5,2020-2024,32.7,32.0,-2.140672782874631,-0.1500000000000092,0.28553299492383055,False
花生,production_ton,5,2020-2024,120414.0,130553.3,8.420366402577773,3214.209999999294,0.7206080840751454,False
花生,yield_kg_per_ha,5,2020-2024,3683.0,3930.0,6.706489275047511,89.29999999998441,0.6332116324643993,False
蔬菜及食用菌,planting_area_kha,3,2018-2025,61.15328,68.2,11.523045043536495,1.0213954651163126,0.9987800429472788,True
蔬菜及食用菌,production_ton,4,2017-2025,3480930.5999999996,4337000.0,24.593118863099427,104774.8987096672,0.9973277490394148,True
蔬菜及食用菌,yield_kg_per_ha,4,2017-2025,60019.25275316439,63592.4,5.953335109869773,515.0633382354174,0.9190611533011738,True
薯类,planting_area_kha,5,2020-2024,10.0,6.9,-30.999999999999993,-0.7599999999999106,0.9450261780104889,False
薯类,production_ton,5,2020-2024,50000.0,28000.0,-43.99999999999999,-4899.999999999666,0.6963457076566459,False
薯类,yield_kg_per_ha,5,2020-2024,4992.0,4065.0,-18.56971153846154,-179.10000000000272,0.32084060997788555,False
谷子,planting_area_kha,5,2020-2024,1.3,0.7,-46.15384615384615,-0.12999999999998355,0.7971698113207922,False
谷子,production_ton,5,2020-2024,4000.0,2000.0,-50.0,-399.99999999999056,0.5714285714285714,False
谷子,yield_kg_per_ha,5,2020-2024,3144.0,3150.0,0.1908396946564972,-9.90000000004465,0.0005210873153276285,False
高粱,planting_area_kha,5,2020-2024,1.4,0.8,-42.85714285714285,-0.18999999999998426,0.631118881118885,False
高粱,production_ton,5,2020-2024,7000.0,5000.0,-28.57142857142857,-600.0000000000439,0.2432432432432432,False
高粱,yield_kg_per_ha,5,2020-2024,5162.0,6045.0,17.105772956218512,311.2999999998835,0.22178906727545833,False
