crop,variable,weather,n_years,years,pearson_r,spearman_r,interpretation_allowed,note
大豆,production_ton,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.10789192182138221,-0.15389675281277312,False,n<8，仅探索性描述，不作统计推断
大豆,production_ton,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.8261884909391936,0.8207826816681234,False,n<8，仅探索性描述，不作统计推断
大豆,production_ton,heat_days,5,"2021,2022,2023,2024,2025",0.7844645405527361,0.7254762501100117,False,n<8，仅探索性描述，不作统计推断
大豆,production_ton,heavy_rain_days,5,"2021,2022,2023,2024,2025",0.038461538461538464,0.10526315789473685,False,n<8，仅探索性描述，不作统计推断
大豆,production_ton,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.4750940032084003,-0.46169025843831935,False,n<8，仅探索性描述，不作统计推断
大豆,production_ton,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.22277764983857476,0.15389675281277312,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.5630009666003096,-0.19999999999999998,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,season_temp_mean_c,5,"2021,2022,2023,2024,2025",-0.3737330069603608,-0.09999999999999999,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,heat_days,5,"2021,2022,2023,2024,2025",-0.0818096431208728,0.35355339059327373,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,heavy_rain_days,5,"2021,2022,2023,2024,2025",-0.8400451062515842,-0.8207826816681233,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",0.357672417677541,0.6,False,n<8，仅探索性描述，不作统计推断
大豆,yield_kg_per_ha,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.6245665373913205,-0.7,False,n<8，仅探索性描述，不作统计推断
小麦,production_ton,season_precip_mm,4,"2021,2022,2023,2024",0.07939110646867835,0.4472135954999579,False,n<8，仅探索性描述，不作统计推断
小麦,production_ton,season_temp_mean_c,4,"2021,2022,2023,2024",-0.9645979937566341,-0.8944271909999159,False,n<8，仅探索性描述，不作统计推断
小麦,production_ton,heat_days,4,"2021,2022,2023,2024",,,False,n<8，仅探索性描述，不作统计推断
小麦,production_ton,heavy_rain_days,4,"2021,2022,2023,2024",-0.447213595499958,-0.4472135954999579,False,n<8，仅探索性描述，不作统计推断
