outcome,exposure,window,window_key,crop,beta,se,p_raw,n,r2,q_fdr
price,precipitation,0日,w0,土豆,0.0010299128695696403,0.0008089532539542649,0.20296743561112296,916,0.9673734089643045,0.552849040353819
price,temp_max,0日,w0,土豆,-0.0005796768796884249,0.0005177500885593936,0.26288106026164915,916,0.9673734089643045,0.6572026506541229
price,precipitation,0日,w0,尖椒,0.000590744705610208,0.000489341175980774,0.22734565895272918,916,0.939239139094564,0.552849040353819
price,temp_max,0日,w0,尖椒,-0.00027062472423201585,0.0006589340425340635,0.6812919560423876,916,0.939239139094564,0.8739105124115434
price,precipitation,0日,w0,甘蓝,0.001166792620672295,0.0004159133254241633,0.0050258154944639154,916,0.9361361062817011,0.040206523955711324
price,temp_max,0日,w0,甘蓝,0.0003075747093937882,0.0006258039269147629,0.6230818018167811,916,0.9361361062817011,0.8739105124115434
price,precipitation,0日,w0,芸豆,0.0004179279987125351,0.001281862925974435,0.744400341856156,916,0.9254791657149741,0.8668015395663987
price,temp_max,0日,w0,芸豆,0.001154786212710797,0.0007634034425463662,0.13036059826997656,916,0.9254791657149741,0.5598454586817186
price,precipitation,0日,w0,芹菜,0.0016097619374599982,0.0010405979529216393,0.1218732324470075,916,0.9562355986567567,0.4431753907163909
price,temp_max,0日,w0,芹菜,-0.00039339326899727706,0.00048221954505145377,0.41461623654689395,916,0.9562355986567567,0.8121345342013921
price,precipitation,0日,w0,茄子,0.0015366738862485046,0.0004318035326206689,0.0003726467880925601,916,0.9477879498386168,0.004968623841234135
price,temp_max,0日,w0,茄子,-0.0013056991360410313,0.0006007091863713692,0.029735482661474234,916,0.9477879498386168,0.32787479230363625
price,precipitation,0日,w0,西红柿,0.0006834313308721242,0.0006456484374264356,0.2898187573894466,916,0.9238715879379229,0.610144752398835
price,temp_max,0日,w0,西红柿,-0.0008411638188595156,0.0006620282150276063,0.20387595009380144,916,0.9238715879379229,0.6572026506541229
price,precipitation,0日,w0,青椒,0.000437318723848197,0.000699183875570239,0.5316624583094102,916,0.9386474205602119,0.8019909682925944
price,temp_max,0日,w0,青椒,-0.0002640040540701932,0.0007391873272130372,0.7209761727395233,916,0.9386474205602119,0.8739105124115434
price,precipitation,0日,w0,韭菜,0.0006773767427423347,0.001038291789135061,0.5141461586080993,916,0.9321074874720027,0.8019909682925944
price,temp_max,0日,w0,韭菜,-0.0002831801538472657,0.0006833338987441781,0.6785741314215377,916,0.9321074874720027,0.8739105124115434
price,precipitation,0日,w0,黄瓜,0.0014710676826088023,0.001224612747911621,0.22965372661494887,916,0.9264985735733108,0.552849040353819
price,temp_max,0日,w0,黄瓜,-0.0007120876907963881,0.001039912844692786,0.4934972184898715,916,0.9264985735733108,0.8121345342013921
price,precipitation,1-3日,w13,土豆,0.001275042872185648,0.0021954250619712445,0.5613936778048161,916,0.9673588820507018,0.8019909682925944
price,temp_max,1-3日,w13,土豆,-0.0006131124584093772,0.0005399495664408918,0.2561660946224861,916,0.9673588820507018,0.6572026506541229
price,precipitation,1-3日,w13,尖椒,0.0007381272700493877,0.0011492044700454084,0.5206822334970675,916,0.9392228247778328,0.8019909682925944
price,temp_max,1-3日,w13,尖椒,-1.4733094361610386e-06,0.0007220119558104173,0.998371869015268,916,0.9392228247778328,0.998371869015268
price,precipitation,1-3日,w13,甘蓝,0.001501003176127987,0.0009160327051208269,0.10129841567800298,916,0.9361444592297565,0.4051936627120119
price,temp_max,1-3日,w13,甘蓝,0.0004485325235197221,0.0006187944590476343,0.4685446924701536,916,0.9361444592297565,0.8121345342013921
price,precipitation,1-3日,w13,芸豆,0.000388412135350299,0.0020657410580745155,0.8508566084286104,916,0.9257396091009747,0.8726734445421647
price,temp_max,1-3日,w13,芸豆,0.0017653143264998697,0.0008269705899213073,0.032787479230363625,916,0.9257396091009747,0.32787479230363625
price,precipitation,1-3日,w13,芹菜,0.002224402263619458,0.0011189594917132158,0.04682050769802294,916,0.9561935842779402,0.2675457582744168
price,temp_max,1-3日,w13,芹菜,-0.0003166407957820303,0.0004778732145027977,0.5075840838758701,916,0.9561935842779402,0.8121345342013921
price,precipitation,1-3日,w13,茄子,0.0011492477236245003,0.00078481201194732,0.14309547006168682,916,0.9475272919158685,0.4769849002056228
price,temp_max,1-3日,w13,茄子,-0.001107582712543472,0.0006020061655515826,0.06579473424982121,916,0.9475272919158685,0.38328625697115903
price,precipitation,1-3日,w13,西红柿,0.0005419366414827615,0.0007519558233476786,0.47109241050450523,916,0.9237643585898533,0.8019909682925944
price,temp_max,1-3日,w13,西红柿,-0.0005251679279923275,0.0006483312022864096,0.41792275279867763,916,0.9237643585898533,0.8121345342013921
price,precipitation,1-3日,w13,青椒,0.00124367651504628,0.0012339342680422467,0.313504741529245,916,0.9386882203598776,0.62700948305849
price,temp_max,1-3日,w13,青椒,-0.0003301427180433542,0.0008042508317878384,0.6814412538584653,916,0.9386882203598776,0.8739105124115434
price,precipitation,1-3日,w13,韭菜,0.007841988522059534,0.0015256257278389541,2.744776330893254e-07,916,0.9341187943403337,1.0979105323573015e-05
price,temp_max,1-3日,w13,韭菜,-0.0015709579996159649,0.0006702348812728484,0.01908370997232722,916,0.9341187943403337,0.32787479230363625
price,precipitation,1-3日,w13,黄瓜,0.009505669761175948,0.0026411674889853065,0.000319392984864034,916,0.928054259892719,0.004968623841234135
price,temp_max,1-3日,w13,黄瓜,-0.0015116404100965716,0.0010602860019016142,0.1539575011374726,916,0.928054259892719,0.5598454586817186
price,precipitation,4-7日,w47,土豆,0.0032085410290781206,0.0018559520897539396,0.0838476882931837,916,0.9674178951201051,0.3726563924141498
