hazard,start,end,n,ids,contaminated
heat,2025-06-23,2025-06-24,1,['EV00096'],False
heat,2026-07-29,2026-08-01,1,['EV00103'],True
heat,2026-08-05,2026-08-06,1,['EV00104'],True
rain,2021-10-03,2021-10-03,1,['EV00086'],False
rain,2022-08-07,2022-08-07,1,['EV00087'],False
rain,2022-09-16,2022-09-16,1,['EV00088'],False
rain,2023-08-04,2023-08-04,1,['EV00089'],False
rain,2024-07-23,2024-07-28,4,"['EV00090', 'EV00091', 'EV00092', 'EV00093']",False
rain,2024-08-19,2024-08-21,2,"['EV00094', 'EV00095']",False
rain,2025-08-28,2025-08-28,1,['EV00097'],False
rain,2026-07-11,2026-07-15,4,"['EV00098', 'EV00099', 'EV00100', 'EV00101']",False
rain,2026-07-19,2026-07-19,1,['EV00102'],True
rain,2026-08-24,2026-08-24,1,['EV00105'],False
