model,crop,beta_volume,se,p_raw,n,r2,ci_low,ci_high,q_fdr
price_z ~ volume_z + price_lag1,土豆,0.015655908175758577,0.009142771392090807,0.0868264750232883,916,0.9673986266853731,-0.002263923752739403,0.033575740104256555,0.43413237511644154
price_z ~ volume_z + price_lag1,尖椒,0.008328256049629335,0.010582906590673676,0.43130905037622125,916,0.9392773565825344,-0.012414240868091071,0.02907075296734974,0.8626181007524425
price_z ~ volume_z + price_lag1,甘蓝,0.006535271775376356,0.017323051744727026,0.705981369924575,916,0.9360180386274273,-0.027417909644288613,0.040488453195041324,0.9359822827170288
price_z ~ volume_z + price_lag1,芸豆,0.019019285424074314,0.013685765225146572,0.1646160550367407,916,0.9254792560443781,-0.007804814417212966,0.045843385265361594,0.5487201834558023
price_z ~ volume_z + price_lag1,芹菜,0.0006979451221817649,0.008689491981222467,0.9359822827170288,916,0.9560215655525004,-0.016333459161014273,0.0177293494053778,0.9359822827170288
price_z ~ volume_z + price_lag1,茄子,-0.012538880595149689,0.012346796743707908,0.30984020751510866,916,0.947561343432647,-0.03673860221281719,0.011660841022517809,0.7746005187877716
price_z ~ volume_z + price_lag1,西红柿,-0.006506094622786181,0.011686600859701577,0.5777228318408365,916,0.9240555955492028,-0.029411832307801273,0.01639964306222891,0.9359822827170288
price_z ~ volume_z + price_lag1,青椒,-0.003124721314365704,0.01111946346084484,0.7786999095615711,916,0.9386776542351626,-0.02491886969762159,0.01866942706889018,0.9359822827170288
price_z ~ volume_z + price_lag1,韭菜,-0.002009650587311146,0.011495101501785494,0.8612158129467496,916,0.9321764889201698,-0.024540049530810713,0.02052074835618842,0.9359822827170288
price_z ~ volume_z + price_lag1,黄瓜,-0.0657504607425306,0.03401686194446503,0.05325116827577802,916,0.9274642703327097,-0.13242351015368206,0.0009225886686208551,0.43413237511644154
price_z ~ volume_z + price_lag1,POOLED,-0.00231815706825933,0.0034842222787583926,0.5058395456470847,9160,0.9429856079036711,-0.009147232734625779,0.004510918598107119,
