crop,district,years,sown_area_median_ha,production_median_t,yield_median_kg_ha
粮食,于洪区,7,18934.0,180480.0,9169.0
粮食,康平县,7,88676.0,568144.0,6469.0
粮食,新民市,7,160585.0,1153104.0,7167.0
粮食,沈北新区,7,29634.0,237275.0,7965.0
粮食,法库县,7,110328.0,772802.0,7022.0
粮食,浑南区,7,21899.0,201553.0,9232.0
粮食,苏家屯区,7,35980.0,334756.0,9292.0
粮食,辽中区,7,64906.0,551721.0,8441.0
谷物,于洪区,7,18466.0,177224.0,9349.0
谷物,康平县,7,83817.0,553412.0,6657.0
谷物,新民市,7,155256.0,1134981.0,7299.0
谷物,沈北新区,7,29031.0,235588.0,8069.0
谷物,法库县,7,105554.0,758527.0,7173.0
谷物,浑南区,7,20948.0,197350.0,9460.0
谷物,苏家屯区,7,35587.0,333261.0,9356.0
谷物,辽中区,7,63804.0,547638.0,8503.0
稻谷,于洪区,7,8815.0,86950.0,9647.0
稻谷,康平县,7,2160.0,10268.0,5578.0
稻谷,新民市,7,38770.0,268732.0,6659.0
稻谷,沈北新区,7,13888.0,109505.0,7729.0
稻谷,法库县,7,4748.0,27031.0,7059.0
稻谷,浑南区,7,351.0,2106.0,8150.0
稻谷,苏家屯区,7,8532.0,71684.0,8279.0
稻谷,辽中区,7,35357.0,280759.0,7944.0
玉米,于洪区,7,9858.0,90467.0,9177.0
玉米,康平县,7,79678.0,538473.0,6758.0
玉米,新民市,7,115170.0,861184.0,7432.0
玉米,沈北新区,7,14912.0,128294.0,8385.0
玉米,法库县,7,99593.0,726375.0,7244.0
玉米,浑南区,7,20525.0,193606.0,9481.0
玉米,苏家屯区,7,26882.0,264465.0,9667.0
玉米,辽中区,7,28449.0,263359.0,9127.0
豆类,于洪区,7,260.0,823.0,2607.0
豆类,康平县,7,1719.0,3453.0,2013.0
豆类,新民市,7,2905.0,5832.0,2245.0
豆类,沈北新区,7,468.0,1503.0,2348.0
豆类,法库县,7,2941.0,6023.0,2128.0
豆类,浑南区,7,470.0,1248.0,2845.0
豆类,苏家屯区,7,391.0,1052.0,2580.0
豆类,辽中区,7,714.0,1616.0,2390.0
大豆,于洪区,7,260.0,823.0,2607.0
大豆,康平县,7,1542.0,3088.0,2026.0
大豆,新民市,7,2883.0,5823.0,2253.0
大豆,沈北新区,7,468.0,1503.0,2348.0
大豆,法库县,7,2913.0,5782.0,2167.0
大豆,浑南区,7,470.0,1248.0,2845.0
大豆,苏家屯区,7,391.0,1052.0,2580.0
大豆,辽中区,7,714.0,1616.0,2390.0
蔬菜及食用菌,于洪区,7,2280.0,155671.0,67951.0
蔬菜及食用菌,康平县,7,5475.0,363977.0,66479.0
蔬菜及食用菌,新民市,7,27300.0,1648281.0,60375.0
蔬菜及食用菌,沈北新区,7,2383.0,155439.0,64025.0
蔬菜及食用菌,法库县,7,7384.0,253144.0,34284.0
蔬菜及食用菌,浑南区,7,553.0,31865.0,60736.0
蔬菜及食用菌,苏家屯区,7,4457.0,236792.0,53124.0
蔬菜及食用菌,辽中区,7,10184.0,891677.0,87826.0
瓜果,于洪区,7,98.0,4387.0,37819.0
瓜果,康平县,7,545.0,22665.0,45262.0
瓜果,新民市,7,11631.0,823867.0,69530.0
瓜果,沈北新区,7,67.0,3154.0,46897.0
瓜果,法库县,7,284.0,13703.0,49149.0
瓜果,浑南区,7,66.0,1768.0,25754.0
瓜果,苏家屯区,7,338.0,16939.0,47412.0
瓜果,辽中区,7,1450.0,47811.0,33554.0
甜瓜,于洪区,7,28.0,1074.0,38125.0
甜瓜,康平县,7,239.0,7442.0,40427.0
甜瓜,新民市,7,244.0,7775.0,31865.0
甜瓜,沈北新区,7,34.0,1413.0,41571.0
甜瓜,法库县,7,242.0,11936.0,49021.0
甜瓜,浑南区,7,56.0,1486.0,29265.0
甜瓜,苏家屯区,7,245.0,11858.0,44987.0
甜瓜,辽中区,7,1290.0,41139.0,32820.0
