crop,buffer_frac,price_gap_z_remaining,price_impact_avoided_z,avoided_fraction
土豆,0.1,-0.3331217750688257,0.0,-0.0
尖椒,0.1,-0.3196447681614481,0.0,-0.0
甘蓝,0.1,-0.369431937557541,0.0,-0.0
芸豆,0.1,-0.30759993368050975,0.0,-0.0
芹菜,0.1,-0.3450198529093019,0.0,-0.0
茄子,0.1,-0.3929496130530719,0.0,-0.0
西红柿,0.1,-0.335537785764574,0.0,-0.0
青椒,0.1,-0.3893865549590072,0.0,-0.0
韭菜,0.1,-0.3405931776365379,0.0015360986732660398,-0.0045305017018460085
黄瓜,0.1,-0.43097139992399197,0.0,-0.0
POOLED,0.1,-0.356425679871481,0.00015360986732659843,-0.0004311588818197487
土豆,0.2,-0.3331217750688257,0.0,-0.0
尖椒,0.2,-0.3196447681614481,0.0,-0.0
甘蓝,0.2,-0.36944866357036504,1.672601282404207e-05,-4.527495087356085e-05
芸豆,0.2,-0.30759993368050975,0.0,-0.0
芹菜,0.2,-0.3450198529093019,0.0,-0.0
茄子,0.2,-0.3929496130530719,0.0,-0.0
西红柿,0.2,-0.335537785764574,0.0,-0.0
青椒,0.2,-0.3893865549590072,0.0,-0.0
韭菜,0.2,-0.3405931776365379,0.0015360986732660398,-0.0045305017018460085
黄瓜,0.2,-0.4309507368385869,-2.0663085405048243e-05,4.794537504969582e-05
POOLED,0.2,-0.3564252861642228,0.00015321616006841454,-0.0004300538070992428
土豆,0.3,-0.3331217750688257,0.0,-0.0
尖椒,0.3,-0.3196447681614481,0.0,-0.0
甘蓝,0.3,-0.36873129885422606,-0.0007006387033149375,0.0018965298667655373
芸豆,0.3,-0.30759993368050975,0.0,-0.0
芹菜,0.3,-0.3450198529093019,0.0,-0.0
茄子,0.3,-0.3929496130530719,0.0,-0.0
西红柿,0.3,-0.335537785764574,0.0,-0.0
青椒,0.3,-0.3893865549590072,0.0,-0.0
韭菜,0.3,-0.3405931776365379,0.0015360986732660398,-0.0045305017018460085
黄瓜,0.3,-0.4309507368385869,-2.0663085405048243e-05,4.794537504969582e-05
POOLED,0.3,-0.35635354969260896,8.147968845456655e-05,-0.00022870074674564422
